Entry name (Uniprot)	Accession (UNIPROT)	Gene	Locus_Tag	Subcellular Location(this study)	Name of deletion Island (Posfai 2006)	Mobile Element	Mobile from paper	Pseudogene/Mobile Element Notes	Common Core	Deletion	Subcellular Location (UNIPROT)	Subcellular Location (EchoLOCATION)	1st Secr Sys	2nd Secr Sys	Uniprot Link	Total Length (aa)	Gene_Type	Left End	Right End	Strand	Comments/Annotation	Description (UNIPROT)
GSPJ_ECOLI	P45761	gspJ	b3331	G	MD6	0	2			del-MD6	"Membrane; Single-pass membrane protein. "	Membrane anchored	SEC	T2S	P45761	195	CDS	3460366	3460953	+		Probable general secretion pathway protein J
GSPK_ECOLI	P45762	gspK	b3332	G	MD6	0	2			del-MD6		Cytoplasmic	SEC	T2S	P45762	327	CDS	3460946	3461929	+		Probable general secretion pathway protein K
GSPL_ECOLI	P45763	gspL	b3333	B	MD6	0	2			del-MD6	Cytoplasm. 	Cytoplasmic >EXP<	SEC		P45763	387	CDS	3461944	3463107	+		Probable general secretion pathway protein L
GSPM_ECOLI	P36678	gspM	b3334	B	MD6	0	2			del-MD6	Periplasm. 	Membrane anchored >EXP<	SEC		P36678	153	CDS	3463104	3463565	+		Putative general secretion pathway protein M (Transport protein pshM)
LEP4_ECOLI	P25960	gspO	b3335	B	MD6	0	2			del-MD6		Cytoplasmic	SEC		P25960	225	CDS	3463565	3464242	+		"Type 4 prepilin-like proteins leader peptide-processing enzyme [Includes: Leader peptidase (EC 3.4.23.43) (Prepilin peptidase); N-methyltransferase (EC 2.1.1.-)]"
BFR_ECOLI	P0ABD3	bfr	b3336	A	MD6	0	2			del-MD6	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<			P0ABD3	158	CDS	3464271	3464747	-		Bacterioferritin (BFR) (Cytochrome b-1) (Cytochrome b-557)
BFD_ECOLI	P0AE56	bfd	b3337	A	MD6	0	2			del-MD6	Cytoplasm. 	Cytoplasmic			P0AE56	64	CDS	3464819	3465013	-		Bacterioferritin-associated ferredoxin
CHIA_ECOLI	P13656	chiA	b3338	G	MD6	0	2			del-MD6	"Cell membrane; Peripheral membrane protein. "	Cytoplasmic	SEC		P13656	897	CDS	3465182	3467875	-		"Probable bifunctional chitinase/lysozyme [Includes: Chitinase (EC 3.2.1.14); Lysozyme (EC 3.2.1.17)]"
YHHY_ECOLI	P46854	yhhY	b3441	A	MD38	0	2			del-MD38	Periplasm. 	-			P46854	162	CDS	3579161	3579649	+		Uncharacterized N-acetyltransferase yhhY (EC 2.3.1.-)
YHHZ_ECOLI	P46855	yhhZ	b3442	A	MD38	0	2			del-MD38	"Cell membrane; Lipid-anchor. "	Outer membrane Lipoprotein >EXP<			P46855	392	CDS	3579886	3581064	+		Uncharacterized protein yhhZ
YRHA_ECOLI	P46856	yrhA	b3443	A		2	0	pseudogene (Uniprot) 		del-MD38		Cytoplasmic			P46856	138	CDS	3581064	3581477	+		Putative uncharacterized protein yrhA
INSA6_ECOLI	P0CF12	insA-6	b3444	A	MD9	2	2	Insertion Element 		del-MD38		Cytoplasmic			P0CF12	91	CDS	3581506	3581781	+	new id	Insertion element IS1 6 protein insA (IS1e)
INSB6_ECOLI	P0CF29	insB-6	b3445	A		2	0	"Insertion Element ;Transposase"		del-MD38	Periplasm. 	Cell surface appendage >EXP<			P0CF29	167	CDS	3581700	3582203	+	new id	Insertion element IS1 6 protein insB (IS1e)
YRHB_ECOLI	P46857	yrhB	b3446	A		0	0			del-MD38	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<			P46857	94	CDS	3582782	3583066	+		Uncharacterized protein yrhB
RHSB_ECOLI	P16917	rhsB	b3482	A	MD33	2	2	Rhs Element		del-MD33		-			P16917	1411	CDS	3617215	3621450	+		Protein rhsB
YHHH_ECOLI	P28911	yhhH	b3483	B	MD33	0	2			del-MD33	Periplasm. 	Periplasmic >EXP<	SEC		P28911	127	CDS	3621422	3621805	+		Uncharacterized protein yhhH (ORF-B2)
YHHI_ECOLI	P28912	yhhI	b3484	B	MD33	2	2	"Transposase;Rhs Element"		del-MD33		-	SEC		P28912	378	CDS	3622401	3623537	+		H repeat-associated protein yhhI (ORF-H)
YHIS_ECOLI	P37635	yhiS	b3504	A		2	0	pseudogene (Uniprot) 		del-MD25		Cytoplasmic			P37635	260	CDS	3649314	3650096	+		Putative uncharacterized protein yhiS
INH11_ECOLI	P0CE58	insH-11	b3505	A	MD23	2	2	"Insertion Sequence;Transposase"		del-MD25		Cytoplasmic			P0CE58	338	CDS	3650205	3651221	-	new id	Transposase insH for insertion sequence element IS5T
INSJ_ECOLI	P19768	insJ	b3557	A	MD39	2	2	Insertion Element 		del-MD39		Outer Membrane &#223-barrel protein >EXP<			P19768	173	CDS	3718703	3719224	+		Insertion element IS150 uncharacterized 19.7 kDa protein (ORFA)
INSK_ECOLI	P19769	insK	b3558	A	MD39	2	2	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"		del-MD39	"Cell membrane; Lipid-anchor. "	Cytoplasmic			P19769	283	CDS	3719221	3720072	+		Putative transposase InsK for insertion sequence element IS150
RHSA_ECOLI	P16916	rhsA	b3593	A	MD34	2	2	Rhs Element		del-MD34		-			P16916	1377	CDS	3760206	3764339	+		Protein rhsA
YIBA_ECOLI	P0ADK6	yibA	b3594	A	MD34	0	2			del-MD34	Periplasm. 	Periplasmic >EXP<			P0ADK6	280	CDS	3764360	3765202	+		Protein yibA
YIBJ_ECOLI	P32109	yibJ	b3595	A		2	0	"pseudogene (Uniprot);Rhs Element"		del-MD34	"Cell membrane; Multi-pass membrane protein. "	-			P32109	233	CDS	3765244	3765945	+		Putative uncharacterized protein yibJ
YIBG_ECOLI	P32106	yibG	b3596	G	MD34	0	2			del-MD34		Cytoplasmic	SEC		P32106	153	CDS	3766200	3766661	+		Uncharacterized protein yibG (ORF-A3)
INTB_ECOLI	P39347	intB	b4271	B		2	0	"pseudogene (Uniprot);Rhs Element;Prophage Integrase"		del-MD9	"Cell outer membrane; Peripheral membrane protein. "	-	SEC		P39347	396	CDS	4494773	4495963	+		Putative prophage P4 integrase (Int(P4))
INSC6_ECOLI	P0CF45	insC-6	b4272	A	MD5	2	2	"Insertion Sequence;Insertion Element ;Transposase"		del-MD9		-			P0CF45	121	CDS	4496250	4496660	+	new id	Transposase insC for insertion element IS2K
INSD6_ECOLI	P0CF58	insD-6	b4273	A	MD5	2	2	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"		del-MD9		-			P0CF58	301	CDS	4496618	4497523	+	new id	Transposase insD for insertion element IS2K
YJGW_ECOLI	Q9Z3A0	yjgW	b4274	A		2	0	pseudogene (Ecogene/Uniprot)		del-MD9		Cytoplasmic			Q9Z3A0	111	CDS	4497622	4497957	+		Putative uncharacterized protein yjgW
YJGX_ECOLI	P39349	yjgX	b4575	B		2	0	pseudogene (Uniprot)		del-MD9		Cytoplasmic	SEC		P39349	371	pseudogene	4497700	4498814	-		Putative phosphoethanolamine transferase yjgX (EC 2.7.-.-)
YJGZ_ECOLI	P39351	yjgZ	b4277	A	MD9	0	2			del-MD9		Membrane anchored			P39351	109	CDS	4499283	4499612	+		Uncharacterized protein yeaG
INSG_ECOLI	P03835	insG	b4278	B	MD9	2	2	"Insertion Sequence;Transposase"		del-MD9		-	SEC		P03835	442	CDS	4500126	4501454	-		Transposase insG for insertion sequence element IS4
YJHB_ECOLI	P39352	yjhB	b4279	B	MD9	0	2			del-MD9		Cytoplasmic	SEC		P39352	405	CDS	4502081	4503298	+		Putative metabolite transport protein yjhB
YJHC_ECOLI	P39353	yjhC	b4280	A	MD9	0	2			del-MD9		Integral Membrane Protein			P39353	372	CDS	4503310	4504428	+		Uncharacterized oxidoreductase yjhC (EC 1.-.-.-)
YJHD_ECOLI	P39354	yjhD	b4281	A		2	0	pseudogene (Uniprot) 		del-MD9	"Cell membrane; Multi-pass membrane protein. "	Cytoplasmic			P39354	76	pseudogene	4504649	4504879	-		Putative uncharacterized protein yjhD
YJHE_ECOLI	P39355	yjhE	b4282	B		2	0	pseudogene (Uniprot) 		del-MD9		Cytoplasmic	SEC		P39355	82	pseudogene	4504884	4505132	+		Putative uncharacterized protein yjhE
INSN2_ECOLI	P39212	insN-2	b4283	A		2	0	"Insertion Sequence;Transposase"		del-MD9	"Cell membrane; Peripheral membrane protein. "	Membrane anchored			P39212	100	CDS	4505220	4505486	+		Transposase insN for insertion sequence element IS911B
INSI4_ECOLI	P0CF90	insI-3	b4284	A	MD9	2	2	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"		del-MD9	"Cell inner membrane; Peripheral membrane protein. "	Cytoplasmic			P0CF90	383	CDS	4505489	4506640	-	new id	Transposase InsI for insertion sequence element IS30D
INSO2_ECOLI	Q47718	insO-2	b4285	B		2	0	"pseudogene (Uniprot);Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"		del-MD9		-	SEC		Q47718	198	pseudogene	4506981	4507577	+		Putative transposase insO for insertion sequence element IS911B
Y4286_ECOLI	Q47719	yjhV	b4286	A		2	0	pseudogene (Uniprot)		del-MD9	"Cell inner membrane; Multi-pass membrane protein. "	Cytoplasmic			Q47719	137	CDS	4507743	4508156	+		Putative uncharacterized protein b4286
FECE_ECOLI	P15031	fecE	b4287	F1	MD9	0	2			del-MD9	Periplasm. 	Periplasmic >EXP<			P15031	255	CDS	4508713	4509480	-		Fe(3+) dicitrate transport ATP-binding protein fecE (Iron(III) dicitrate transport ATP-binding protein fecE)
FECD_ECOLI	P15029	fecD	b4288	B	MD9	0	2			del-MD9	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<	SEC		P15029	318	CDS	4509481	4510437	-		Fe(3+) dicitrate transport system permease protein fecD (Iron(III) dicitrate transport system permease protein fecD)
FECC_ECOLI	P15030	fecC	b4289	B	MD9	0	2			del-MD9	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<	SEC		P15030	332	CDS	4510434	4511432	-		Fe(3+) dicitrate transport system permease protein fecC (Iron(III) dicitrate transport system permease protein fecC)
FECB_ECOLI	P15028	fecB	b4290	G	MD9	0	2			del-MD9	"Cell membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P15028	300	CDS	4511429	4512331	-		Fe(3+) dicitrate-binding periplasmic protein (Iron(III) dicitrate-binding periplasmic protein)
FECA_ECOLI	P13036	fecA	b4291	H	MD9	0	2			del-MD9		Cytoplasmic	SEC	BAM	P13036	774	CDS	4512376	4514700	-		Fe(3+) dicitrate transport protein fecA (Iron(III) dicitrate transport protein fecA)
FECR_ECOLI	P23485	fecR	b4292	B	MD9	0	2			del-MD9		Cytoplasmic	SEC		P23485	317	CDS	4514787	4515740	-		Protein fecR
FECI_ECOLI	P23484	fecI	b4293	A	MD9	0	2			del-MD9		Membrane anchored			P23484	173	CDS	4515737	4516258	-		Probable RNA polymerase sigma factor fecI
INSA7_ECOLI	P19767	insA-7	b4294	A		2	0	Insertion Element 		del-MD9		Membrane anchored			P19767	91	CDS	4516550	4516825	+		Insertion element IS1 7 protein insA (IS1f)
YJHU_ECOLI	P39356	yjhU	b4295	A	MD9	0	2			del-MD9		Cytoplasmic			P39356	328	CDS	4517361	4518347	-		Uncharacterized protein yfbO
YJHF_ECOLI	P39357	yjhF	b4296	B	MD9	0	2			del-MD9		Membrane Lipoprotein	SEC		P39357	449	CDS	4518694	4520043	-		Uncharacterized protein yoeI
YJHG_ECOLI	P39358	yjhG	b4297	A	MD9	0	2			del-MD9		Periplasmic			P39358	655	CDS	4520150	4522117	-		Uncharacterized protein yedM
YJHH_ECOLI	P39359	yjhH	b4298	A	MD9	0	2			del-MD9		Cytoplasmic			P39359	301	CDS	4522128	4523033	-		Antitoxin yefM
YJHI_ECOLI	P39360	yjhI	b4299	A	MD9	0	2			del-MD9		Cytoplasmic			P39360	262	CDS	4523038	4523826	-		Uncharacterized protein yfbN
SGCR_ECOLI	P39361	sgcR	b4300	A	MD9	0	2			del-MD9		Periplasmic			P39361	260	CDS	4524129	4524911	-		Putative sgc region transcriptional regulator
SGCE_ECOLI	P39362	sgcE	b4301	A	MD9	0	2			del-MD9	"Cell membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P39362	210	CDS	4524928	4525560	-		Protein sgcE (EC 5.1.3.-)
SGCA_ECOLI	P39363	sgcA	b4302	A	MD9	0	2			del-MD9		Cytoplasmic			P39363	143	CDS	4525572	4526003	-		Putative phosphotransferase IIA component sgcA (EC 2.7.1.-) (Putative PTS system EIIA component)
SGCQ_ECOLI	P39364	sgcQ	b4303	A	MD9	0	2			del-MD9		Cytoplasmic			P39364	268	CDS	4526134	4526940	-		Putative sgc region protein sgcQ
SGCC_ECOLI	P39365	sgcC	b4304	B	MD9	0	2			del-MD9		Cytoplasmic	SEC		P39365	437	CDS	4526953	4528266	-		Putative permease IIC component (Putative PTS system EIIC component)
SGCB_ECOLI	P58035	sgcB	b4565	F1	MD9	0	2			del-MD9	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P58035	92	CDS	4528278	4528556	-	Peripheral accossiated cyto side	Putative phosphotransferase enzyme IIB component sgcB (EC 2.7.1.69) (Putative PTS system EIIB component)
SGCX_ECOLI	P39366	sgcX	b4305	A	MD9	0	2			del-MD9		Outer membrane Lipoprotein >EXP<			P39366	373	CDS	4528553	4529674	-		Putative aminopeptidase sgcX (EC 3.4.11.-)
YJHP_ECOLI	P39367	yjhP	b4306	A	MD9	0	2			del-MD9	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P39367	248	CDS	4530460	4531206	-		Uncharacterized protein yjhP
YJHQ_ECOLI	P39368	yjhQ	b4307	A	MD9	0	2			del-MD9		Cytoplasmic			P39368	181	CDS	4531262	4531807	-		Uncharacterized N-acetyltransferase yjhQ (EC 2.3.1.-)
YJHX_ECOLI	Q2EEU2	yjhX	b4566	A	MD9	0	2			del-MD9	"Cell inner membrane; Multi-pass membrane protein. "	-			Q2EEU2	85	CDS	4531819	4532076	-		UPF0386 protein yjhX
YJHR_ECOLI	P39369	yjhR	b4308	A		2	0	pseudogene (Uniprot) 		del-MD9		Cytoplasmic			P39369	338	CDS	4533038	4534054	+		Putative uncharacterized protein yjhR
YJHS_ECOLI	P39370	yjhS	b4309	A	MD9	0	2			del-MD9		Periplasmic			P39370	326	CDS	4534637	4535617	-		Uncharacterized protein yjhS
NANM_ECOLI	P39371	yjhT	b4310	G	MD9	0	2			del-MD9		Cytoplasmic	SEC		P39371	368	CDS	4535682	4536788	-		N-acetylneuraminate epimerase (EC 5.1.3.n1) (N-acetylneuraminate mutarotase) (Neu5Ac mutarotase) (Sialic acid epimerase)
NANC_ECOLI	P69856	yjhA	b4311	G	MD9	0	2			del-MD9	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P69856	238	CDS	4536808	4537524	-		Probable N-acetylneuraminic acid outer membrane channel protein nanC (NanR-regulated channel) (Porin nanC)
FIMB_ECOLI	P0ADH5	fimB	b4312	A	MD9	2	2	Prophage Integrase		del-MD9	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P0ADH5	200	CDS	4538980	4539582	+		Type 1 fimbriae regulatory protein fimB
FIME_ECOLI	P0ADH7	fimE	b4313	A	MD9	2	2	Prophage Integrase		del-MD9		-			P0ADH7	198	CDS	4540060	4540656	+		Type 1 fimbriae regulatory protein fimE
FIMA1_ECOLI	P04128	fimA	b4314	F4	MD9	0	2			del-MD9	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC	T3S	P04128	182	CDS	4541138	4541686	+		Type-1 fimbrial protein, A chain (Type-1A pilin)
FIMI_ECOLI	P39264	fimI	b4315	G	MD9	0	2			del-MD9		Cytoplasmic	SEC	CU	P39264	179	CDS	4541751	4542290	+	"notes: secretion 1: Sec secretion 2: CU (for Chaperone-Usher) ref: (http://www.ncbi.nlm.nih.gov/pubmed/19820722) ""Structural biology of the chaperone-usher pathway of pilus biogenesis."""	Fimbrin-like protein fimI
FIMC_ECOLI	P31697	fimC	b4316	G	MD9	0	2			del-MD9		Cytoplasmic	SEC		P31697	241	CDS	4542327	4543052	+		Chaperone protein fimC
FIMD_ECOLI	P30130	fimD	b4317	H	MD9	0	2			del-MD9	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC	BAM	P30130	878	CDS	4543119	4545755	+		Outer membrane usher protein fimD
FIMF_ECOLI	P08189	fimF	b4318	F4	MD9	0	2			del-MD9	"Cell outer membrane; Lipid-anchor. "	Outer membrane Lipoprotein >EXP<	SEC	CU	P08189	176	CDS	4545765	4546295	+	"Notes: secretion 1: Sec secretion 2: CU (for Chaperone-Usher) Refs: (http://www.ncbi.nlm.nih.gov/pubmed/19820722) ""Structural biology of the chaperone-usher pathway of pilus biogenesis."""	Protein fimF
FIMG_ECOLI	P08190	fimG	b4319	F4	MD9	0	2			del-MD9	Periplasm. 	Periplasmic >EXP<	SEC	CU	P08190	167	CDS	4546308	4546811	+	"Notes: secretion 1: Sec secretion 2: CU (for Chaperone-Usher) Refs: (http://www.ncbi.nlm.nih.gov/pubmed/19820722) ""Structural biology of the chaperone-usher pathway of pilus biogenesis."""	Protein fimG
FIMH_ECOLI	P08191	fimH	b4320	F4	MD9	0	2			del-MD9		Cytoplasmic	SEC	CU	P08191	300	CDS	4546831	4547733	+	"Notes: secretion 1: Sec secretion 2: CU (for Chaperone-Usher) Refs: (http://www.ncbi.nlm.nih.gov/pubmed/19820722) ""Structural biology of the chaperone-usher pathway of pilus biogenesis."""	Protein fimH
YJIC_ECOLI	P39374	yjiC	b4325	A	MD29	0	2			del-MD29	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P39374	276	CDS	4553513	4554343	-		Uncharacterized protein yjiC
IRAD_ECOLI	P39375	yjiD	b4326	A	MD29	0	2			del-MD29	"Membrane; Single-pass membrane protein. "	Membrane anchored			P39375	130	CDS	4555016	4555408	+		Anti-adapter protein iraD
YJIE_ECOLI	P39376	yjiE	b4327	B	MD29	0	2			del-MD29	"Cell membrane; Lipid-anchor. "	Outer membrane Lipoprotein >EXP<	SEC		P39376	303	CDS	4555401	4556312	-		Uncharacterized HTH-type transcriptional regulator yjiE
IADA_ECOLI	P39377	iadA	b4328	A	MD29	0	2			del-MD29		Periplasmic			P39377	390	CDS	4556377	4557549	-		Isoaspartyl dipeptidase (EC 3.4.19.-)
YJIG_ECOLI	P0AEH8	yjiG	b4329	B	MD29	0	2			del-MD29		Cytoplasmic	SEC		P0AEH8	153	CDS	4557562	4558023	-		Inner membrane protein yjiG
YJIH_ECOLI	P39379	yjiH	b4330	B	MD29	0	2			del-MD29		Cytoplasmic	SEC		P39379	227	CDS	4558020	4558703	-		Uncharacterized protein yjiH
KPTA_ECOLI	P39380	kptA	b4331	A	MD29	0	2			del-MD29	"Cell outer membrane; Lipid-anchor. "	Outer membrane Lipoprotein >EXP<			P39380	184	CDS	4558953	4559507	+		RNA 2'-phosphotransferase (EC 2.7.1.-)
YJIJ_ECOLI	P39381	yjiJ	b4332	B	MD29	0	2			del-MD29	"Membrane; Single-pass membrane protein. "	Membrane anchored	SEC		P39381	392	CDS	4559520	4560698	-		Uncharacterized protein yjiJ
YJIK_ECOLI	P39382	yjiK	b4333	B	MD29	0	2			del-MD29		Cytoplasmic	SEC		P39382	286	CDS	4560766	4561734	-	"Cell membrane; Single-pass membrane protein(potential) /  Belongs to the yjiK family."	Uncharacterized protein yjiK
YJIL_ECOLI	P39383	yjiL	b4334	A	MD29	0	2			del-MD29		Membrane anchored			P39383	255	CDS	4561945	4562712	-		Uncharacterized protein yjiL
YJIM_ECOLI	P39384	yjiM	b4335	A	MD29	0	2			del-MD29		Outer membrane Lipoprotein			P39384	383	CDS	4562722	4563873	-		Uncharacterized protein yjiM
YJIN_ECOLI	P39385	yjiN	b4336	B	MD29	0	2			del-MD29		Cytoplasmic	SEC		P39385	426	CDS	4563989	4565269	-		Uncharacterized protein yjiN
MDTM_ECOLI	P39386	yjiO	b4337	B	MD29	0	2			del-MD29	"Cell inner membrane; Single-pass membrane protein. "	Integral Membrane Protein	SEC		P39386	410	CDS	4565310	4566542	-		Multidrug resistance protein mdtM
YJIP_ECOLI	P39387	yjiP	b4338	A		2	0	"pseudogene (Uniprot);Transposase"		del-MD29		-			P39387	306	pseudogene	4567021	4567332	+		Putative uncharacterized protein yjiP
YJIP_ECOLI	P39387	yjiQ	b4339	A		2	0	"pseudogene (Uniprot);Transposase"		del-MD29		-			P39387	306	CDS	4567381	4567941	+		Putative uncharacterized protein yjiP
YJIR_ECOLI	P39389	yjiR	b4340	A	MD29	0	2			del-MD29		Outer membrane Lipoprotein			P39389	470	CDS	4568185	4569597	-		Uncharacterized protein yfbP
YJIS_ECOLI	P39390	yjiS	b4341	A	MD29	0	2			del-MD29		Cytoplasmic			P39390	54	CDS	4569774	4569938	+		Uncharacterized protein yfdF
YJIT_ECOLI	P39391	yjiT	b4342	A		2	0	pseudogene (Uniprot) 		del-MD29		Cytoplasmic			P39391	521	CDS	4570437	4571954	+		Putative uncharacterized protein yjiT
YJIV_ECOLI	P39393	yjiV	b4486	B		2	0	pseudogene (Uniprot) 		del-MD29		Cytoplasmic	SEC		P39393	906	pseudogene	4572158	4574878	+		Putative uncharacterized protein yjiV
MCRC_ECOLI	P15006	mcrC	b4345	A	MD29	0	2			del-MD29	Periplasm. 	Periplasmic			P15006	348	CDS	4574935	4575981	-		Protein mcrC
MCRB_ECOLI	P15005	mcrB	b4346	A	MD29	0	2			del-MD29		Cytoplasmic			P15005	459	CDS	4575981	4577360	-		5-methylcytosine-specific restriction enzyme B (EC 3.1.21.-) (EcoKMcrBC)
SYME_ECOLI	P39394	yjiW	b4347	A	MD29	0	2			del-MD29		Cytoplasmic			P39394	113	CDS	4577522	4577920	-		Toxic protein symE (Putative endoribonuclease symE) (EC 3.1.-.-)
T1SK_ECOLI	P05719	hsdS	b4348	A	MD29	0	2			del-MD29		Cytoplasmic			P05719	464	CDS	4578091	4579485	-		Protein htrL
T1MK_ECOLI	P08957	hsdM	b4349	A	MD29	0	2			del-MD29	Cytoplasm. 	Cytoplasmic			P08957	529	CDS	4579482	4581071	-		Type I restriction enzyme EcoKI M protein (M.EcoKI) (EC 2.1.1.72)
T1RK_ECOLI	P08956	hsdR	b4350	A	MD29	0	2			del-MD29		Cytoplasmic			P08956	1170	CDS	4581272	4584838	-		Type I restriction enzyme EcoKI R protein (R.EcoKI) (EC 3.1.21.3)
MRR_ECOLI	P24202	mrr	b4351	A	MD29	0	2			del-MD29	Cytoplasm. 	Integral Membrane Protein			P24202	304	CDS	4584972	4585886	+		Mrr restriction system protein (EcoKMrr)
YJIA_ECOLI	P24203	yjiA	b4352	A	MD29	0	2			del-MD29		Periplasmic			P24203	318	CDS	4585932	4586888	-		Uncharacterized GTP-binding protein yjiA
YJIX_ECOLI	P0ADC8	yjiX	b4353	A	MD29	0	2			del-MD29	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P0ADC8	67	CDS	4586899	4587102	-		Uncharacterized protein yjiX
YJIY_ECOLI	P39396	yjiY	b4354	B	MD29	0	2			del-MD29	"Cell membrane; Lipid-anchor. "	Inner membrane lipoprotein	SEC		P39396	716	CDS	4587152	4589302	-		Inner membrane protein yjiY
MCP1_ECOLI	P02942	tsr	b4355	B	MD29	0	2			del-MD29		Cytoplasmic	SEC		P02942	551	CDS	4589680	4591335	+		Methyl-accepting chemotaxis protein I (MCP-I) (Serine chemoreceptor protein)
YJJL_ECOLI	P39398	yjiZ	b4356	B	MD29	0	2			del-MD29	"Membrane; Single-pass membrane protein. "	Membrane anchored	SEC		P39398	453	CDS	4591384	4592745	-		L-galactonate transporter
YJJM_ECOLI	P39399	yjjM	b4357	A	MD29	0	2			del-MD29		Membrane anchored			P39399	304	CDS	4592960	4593874	-		Uncharacterized protein ygbT
YJJN_ECOLI	P39400	yjjN	b4358	B	MD29	0	2			del-MD29	"Cell membrane; Lipid-anchor. "	Outer membrane Lipoprotein >EXP<	SEC		P39400	340	CDS	4594013	4595035	+		Putative L-galactonate oxidoreductase (EC 1.1.1.-)
