SwissProt accession	SwissProt Entry	Protein description	Observed parent ions	Protein score	Observable peptides	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	Detection Frequency	Molecular mass (Da)	Isoelectric point (pI)	GRAVY (Kyte-Doolittle)	number of alternating hydrophobic/hydrophilic stretches	CAI	Essentiality	hgt	Expr_value	FunCat (v.1.3) top level classification	FunCat (v.1.3) complete classification	FunCat class description	SCOP Fold	SCOP Family	SCOP Class	SCOP Fold Description	TMHMM 2.0 number of transmembrane segments	PSORT localisation	Experimentally derived localization	Group	Operon	Running Number	ribosomal protein	log copynumber
P0A6N4	EFP_ECOLI	Elongation factor P (EF-P)	9	459	4	2.25	1.77E+02	5.85E+03	0.047315258	20461	4.73	-0.23	8				1.93	5	"05;05.04;05.04.02;"	"PROTEIN SYNTHESIS; "					0	Cytoplasmic	C	high		451	no	3.767155866
P0A6P1	EFTS_ECOLI	Elongation factor Ts (EF-Ts)	69	3751	17	4.06	1.14E+04	6.60E+04	0.065737466	30293	5.07	-0.13	14				2	63.40.05.06	"06.10;63;05;05.04;40.03;63.03.03;63.03;40;05.04.02;06;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; PROTEIN FATE (folding. modification. destination); "	a.5.d.43	"d.43.1;a.5.2;"	Alpha and beta proteins (a+b).All alpha proteins	Elongation factor Ts (EF-Ts). dimerisation domain.RuvA C-terminal domain-like	0	Cytoplasmic	C	high	rpsB-tsf	16	no	4.819543936
P0CE47	EFTU_ECOLI	Elongation factor Tu (EF-Tu) (P-43)	90	4843	21	4.29	1.93E+04	8.94E+04	0.10446571	43183	5.24	-0.2	13				2.14	63.40.05	"63.19.05;63.19;63;05;05.04;40.03;40;40.30;05.04.02;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	b.44.c.37.b.43	"b.44.1;c.37.1;b.43.3;"	Alpha and beta proteins (a/b).All beta proteins	EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain.Reductase/isomerase/elongation factor common domain.P-loop containing nucleotide triphosphate hydrolases	0	Cytoplasmic	IM	high	rpsLG-fusA-tufA	9	no	4.951337519
P0AEH5	ELAB_ECOLI	ElaB protein	2	69	4	0.5	2.16E+00	4.53E+02	0.004784689	11307	5.25	-0.52	1		N			99	"99;"	"UNCLASSIFIED PROTEINS; "					1	Unknown		low		1006	no	2.656098202
P0ABU5	ELBB_ECOLI	Enhancing lycopene biosynthesis protein 2 (Sigma cross-reacting protein 27A) (SCRP-27A)	7	379	8	0.88	6.50E+00	8.59E+02	0.012987013	22983	4.48	0.27	7		X			63.40.04	"63.03.01;63;04;04.05;40.03;04.05.01;63.03;04.05.01.04;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; TRANSCRIPTION; "					0	Cytoplasmic	C	low		517	no	2.933993164
P27303	EMRA_ECOLI	Multidrug resistance protein A	3	102	19	0.16	4.38E-01	1.79E+02	0.006379585	42737	10.16	-0.13	15	0.39	N			11.67.40	"11.07.05;67.28;11;40;40.30;11.07;67;"	"CELL RESCUE. DEFENSE AND VIRULENCE; TRANSPORT FACILITATION; SUBCELLULAR LOCALISATION; "					1	Unknown		low	emrRAB	871	no	2.252853031
P0A6P5	ENGA_ECOLI	GTP-binding protein engA (Double era-like domain protein)	7	283	25	0.28	9.05E-01	2.73E+02	0.008885851	55037	5.66	-0.33	13					63.03	"03.03.04.05;63.19.05;03;63.19;63;03.03.04;03.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; "	c.37	"c.37.1;"	Alpha and beta proteins (a/b)	P-loop containing nucleotide triphosphate hydrolases	0	Cytoplasmic		low		504	no	2.436162647
P0A6P7	ENGB_ECOLI	Probable GTP-binding protein engB	8	301	11	0.73	4.34E+00	6.79E+02	0.010167464	23562	7.77	-0.45	3					99	"99;"	"UNCLASSIFIED PROTEINS; "					0	Unknown		low		505	no	2.831869774
P39286	ENGC_ECOLI	Probable GTPase engC precursor (EC 3.6.1.-)	3	107	16	0.19	5.40E-01	2.02E+02	0.004784689	39194	5.81	-0.4	10					63	"63.19.05;63.19;63;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "					0	Cytoplasmic		low		864	no	2.305351369
P0ABU2	ENGD_ECOLI	GTP-dependent nucleic acid-binding protein engD	20	855	19	1.05	1.03E+01	1.12E+03	0.014832536	39537	4.7	-0.17	10					99	"99;"	"UNCLASSIFIED PROTEINS; "	c.69	"c.69.1;"	Alpha and beta proteins (a/b)	alpha/beta-Hydrolases	0	Cytoplasmic	C	low	pth-ychF	186	no	3.049218023
P0A6P9	ENO_ECOLI	Enolase (EC 4.2.1.11) (2-phosphoglycerate dehydratase) (2-phospho-D-glycerate hydro-lyase)	59	3083	15	3.93	8.58E+03	5.58E+04	0.044684129	45525	5.23	-0.16	8				2.11	01.63.40.02	"01;01.03;63.17;63;01.03.16;01.03.16.01;40.03;02;01.05;01.05.01;01.05.01.01;02.01;63.17.07;40;01.05.01.01.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ENERGY; "	c.1.d.54	"c.1.11;d.54.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	Enolase N-terminal domain-like.TIM beta/alpha-barrel	0	Cytoplasmic	C	high		22	no	4.746634199
P15047	ENTA_ECOLI	2.3-dihydro-2.3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28)	9	381	10	0.9	6.94E+00	8.92E+02	0.005847953	26251	4.82	0.03	4	0.33	N			1.63	"01;63;63.21.07;01.05;63.21;01.05.01;01.05.01.03;01.05.01.03.04;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.2	"c.2.1;"	Alpha and beta proteins (a/b)	NAD(P)-binding Rossmann-fold domains	0	Cytoplasmic	C	low	entCEBA-ybdB	468	no	2.950364854
P0ADI4	ENTB_ECOLI	Isochorismatase (EC 3.3.2.1) (Isochorismate lyase) (2.3 dihydro-2.3 dihydroxybenzoate synt	11	438	13	0.85	6.02E+00	8.21E+02	0.010439321	32555	4.93	-0.29	7	0.39	N			1	"01;01.20;01.20.36;"	"METABOLISM; "	c.33	"c.33.1;c.33.1;"	Alpha and beta proteins (a/b)	Cysteine hydrolase	0	Cytoplasmic		low	entCEBA-ybdB	411	no	2.914343157
P0AEJ2	ENTC_ECOLI	Isochorismate synthase entC (EC 5.4.4.2) (Isochorismate mutase)	16	786	17	0.94	7.73E+00	9.50E+02	0.008672249	42933	5.54	-0.22	10	0.33	N			1	"01;01.05;01.05.01;01.05.01.03;"	"METABOLISM; "	d.161	"d.161.1;"	Alpha and beta proteins (a+b)	ADC synthase	0	Unknown		low	entCEBA-ybdB	242	no	2.977723605
P10378	ENTE_ECOLI	Enterobactin synthetase component E (Enterochelin synthase E) [Includes: 2.3-dihydroxybenz	14	710	16	0.88	6.50E+00	8.59E+02	0.005809979	59113	5.44	-0.15	17					63.01	"01;63.19;63;01.05;01.05.01;63.19.03;01.05.01.03;01.05.01.03.04;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; "	e.23	"e.23.1;"	Multi-domain proteins (alpha and beta)	Firefly luciferase-like	0	Cytoplasmic		low	entCEBA-ybdB	279	no	2.933993164
P11454	ENTF_ECOLI	Enterobactin synthetase component F (EC 2.7.7.-) (Enterochelin synthase F) (Serine activat	21	970	47	0.45	1.80E+00	4.07E+02	0.005696058	141992	4.92	-0.08	46					63.01	"01;63.19;63;01.05;01.05.01;63.19.03;01.20;01.05.01.03;01.20.36;01.05.01.03.04;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; "	e.23.c.43.a.28.c.69	"a.28.1;c.43.1;e.23.1;c.69.1;"	Alpha and beta proteins (a/b).Multi-domain proteins (alpha and beta).All alpha proteins	Firefly luciferase-like.Acyl carrier protein-like.CoA-dependent acyltransferases.alpha/beta-Hydrolases	0	Unknown (This protein may have multiple localization sites.)		low	fes-entF-fepE	176	no	2.609594409
P0AEJ6	EUTB_ECOLI	Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7) (Ethanolamine ammonia-lyase large subu	2	52	21	0.1	2.45E-01	1.28E+02	0.004784689	49404	4.63	-0.07	10	0.41	N			1	"01;01.05;01.05.01;01.05.01.01;"	"METABOLISM; "					0	Unknown		low		1077	no	2.10720997
P0ACZ4	EVGA_ECOLI	Positive transcription regulator evgA	2	66	11	0.18	5.20E-01	1.98E+02	0.004784689	22691	7.36	-0.09	3	0.28	N	H		11.40.04.10	"10.01.05.07;04.05;04.05.01.04.01;04.05.01.04;11.05;10;04;10.01;10.01.05;04.05.01;11;40;40.37;"	"CELL RESCUE. DEFENSE AND VIRULENCE; SUBCELLULAR LOCALISATION; TRANSCRIPTION; CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM; "	c.23.a.4	"c.23.1;c.23.1;a.4.6;"	Alpha and beta proteins (a/b).All alpha proteins	DNA/RNA-binding 3-helical bundle.Flavodoxin-like	0	Cytoplasmic	C	low		1013	no	2.29666519
P30855	EVGS_ECOLI	Sensor protein evgS precursor (EC 2.7.3.-)	2	61	43	0.05	1.13E-01	8.16E+01	0.004784689	134744	6.17	-0.2	36					11.10.06	"10.01.05.07;10;06.07;10.01;10.01.05;06.07.03;11;06;11.05;"	"CELL RESCUE. DEFENSE AND VIRULENCE; CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM; PROTEIN FATE (folding. modification. destination); "	d.122.c.23	"c.23.1;d.122.1;c.23.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase.Flavodoxin-like	0	CytoplasmicMembrane		low		1041	no	1.911690159
P09030	EX3_ECOLI	Exodeoxyribonuclease III (EC 3.1.11.2) (Exonuclease III) (EXO III) (AP endonuclease VI)	6	249	15	0.4	1.51E+00	3.68E+02	0.007177033	30970	6.12	-0.56	10	0.4	N			11.01.03	"11.01.01;11.01;01;01.03;03;03.01.05.01;01.03.16;11;03.01.05;03.01;11.01.09;01.03.16.03;"	"CELL RESCUE. DEFENSE AND VIRULENCE; METABOLISM; CELL CYCLE AND DNA PROCESSING; "	d.151	"d.151.1;"	Alpha and beta proteins (a+b)	DNase I-like	0	Cytoplasmic	C	low		598	no	2.565847819
P0A8G9	EX7S_ECOLI	Exodeoxyribonuclease VII small subunit (EC 3.1.11.6) (Exonuclease VII small subunit)	2	102	5	0.4	1.51E+00	3.68E+02	0.016746411	8822	4.19	-0.77	2					1	"01;01.03;01.03.16;01.03.16.03;"	"METABOLISM; "					0	Unknown		low	xseB-ispA-dxs-yajO	943	no	2.565847819
P0ABU7	EXBB_ECOLI	Biopolymer transport exbB protein	5	300	7	0.71	4.18E+00	6.64E+02	0.006698565	26288	8.42	0.26	5	0.38	N			67.63.40.08.06	"63;63.01;40;40.30;06;08;06.01;67;"	"TRANSPORT FACILITATION; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; PROTEIN FATE (folding. modification. destination); "					3	CytoplasmicMembrane		low	exbBD	628	no	2.822168079
P0A993	F16P_ECOLI	Fructose-1.6-bisphosphatase (EC 3.1.3.11) (D-fructose-1.6-bisphosphate 1-phosphohydrolase)	7	270	14	0.5	2.16E+00	4.53E+02	0.008202324	36835	5.89	-0.22	7	0.47	N			1.02	"01;02.01;02;01.05;01.05.01;"	"METABOLISM; ENERGY; "	e.7	"e.7.1;"	Multi-domain proteins (alpha and beta)	Sugar phosphatases	0	Cytoplasmic	C	low		546	no	2.656098202
P0A6Q3	FABA_ECOLI	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60) (Beta-hydroxydecanoyl t	23	1063	7	3.29	1.93E+03	2.34E+04	0.039941752	18839	6.53	-0.02	7				1.05	1.4	"01.06;01;40.03;40;01.06.01;01.06.01.05;"	"METABOLISM; SUBCELLULAR LOCALISATION; "	d.38	"d.38.1;"	Alpha and beta proteins (a+b)	Thioesterase/thiol ester dehydrase-isomerase	0	Cytoplasmic		high	fabA	167	no	4.369215857
P0A953	FABB_ECOLI	3-oxoacyl-[acyl-carrier-protein] synthase I (EC 2.3.1.41) (Beta-ketoacyl-ACP synthase I) (	35	1783	12	2.92	8.24E+02	1.43E+04	0.041695147	42614	5.33	0.01	9				1.86	1	"01.06;01;01.06.01;01.06.01.05;"	"METABOLISM; "	c.95	"c.95.1;"	Alpha and beta proteins (a/b)	Thiolase-like	0	Cytoplasmic	C	high		82	no	4.155336037
P0AAI9	FABD_ECOLI	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39) (MCT)	24	1234	9	2.67	4.63E+02	1.02E+04	0.015151515	32287	4.79	0.15	9					1.4	"01.06;40.03;40;01.06.01;01.06.01.05;"	"METABOLISM; SUBCELLULAR LOCALISATION; "	c.19.d.58	"c.19.1;d.58.23;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	Catalytic domain of malonyl-CoA ACP transacylase.Ferredoxin-like	0	Unknown	C	high	fabHDG-acpP-fabF	152	no	4.008600172
P0AAI5	FABF_ECOLI	3-oxoacyl-[acyl-carrier-protein] synthase II (EC 2.3.1.41) (Beta-ketoacyl-ACP synthase II)	16	766	14	1.14	1.29E+01	1.28E+03	0.026315789	42916	6.02	0	10					1	"01.06;01;01.06.01;01.06.01.05;"	"METABOLISM; "	c.95	"c.95.1;"	Alpha and beta proteins (a/b)	Thiolase-like	0	Cytoplasmic	P	low	fabHDG-acpP-fabF	226	no	3.10720997
P0AEK2	FABG_ECOLI	3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein	26	1337	9	2.89	7.73E+02	1.38E+04	0.017666544	25561	7.69	0.1	7					1	"01.06;01;01.06.01;01.06.01.05;"	"METABOLISM; "	c.2	"c.2.1;"	Alpha and beta proteins (a/b)	NAD(P)-binding Rossmann-fold domains	0	Cytoplasmic	C	high	fabHDG-acpP-fabF	124	no	4.139879086
P0A6R0	FABH_ECOLI	3-oxoacyl-[acyl-carrier-protein] synthase III (EC 2.3.1.41) (Beta-ketoacyl-ACP synthase II	14	693	12	1.17	1.37E+01	1.32E+03	0.026999316	33516	4.98	0.14	9					1	"01.06;01;01.06.01;01.06.01.05;"	"METABOLISM; "	c.95	"c.95.1;c.95.1;"	Alpha and beta proteins (a/b)	Thiolase-like	0	Cytoplasmic	C	low	fabHDG-acpP-fabF	246	no	3.120573931
P0AEK4	FABI_ECOLI	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9) (NADH-dependent enoyl-ACP reduc	31	1576	11	2.82	6.57E+02	1.25E+04	0.043062201	27734	5.72	0.16	13	0.6	E			01.63.40.06	"01.06;01;06.10;63;63.21.07;63.01;40;63.21;40.30;06;01.06.01;01.06.01.05;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	c.2	"c.2.1;"	Alpha and beta proteins (a/b)	NAD(P)-binding Rossmann-fold domains	0	Unknown	C	high		102	no	4.096910013
P0A6Q6	FABZ_ECOLI	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-) ((3R)-hydroxymyristo	11	479	6	1.83	6.71E+01	3.33E+03	0.019573728	17034	7.44	0.05	9					01.40.06	"01.06;01;06.10;40.03;40;06;01.06.01;01.06.01.05;"	"METABOLISM; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	d.38	"d.38.1;"	Alpha and beta proteins (a+b)	Thioesterase/thiol ester dehydrase-isomerase	0	Cytoplasmic	IM	high	fabZ	398	no	3.522444234
P10384	FADL_ECOLI	Long-chain fatty acid transport protein precursor (Outer membrane fadL protein) (Outer mem	6	312	13	0.46	1.89E+00	4.20E+02	0.007974482	48773	4.97	-0.3	20					67.01	"01.06;01;67.13;01.06.13;67;"	"TRANSPORT FACILITATION; METABOLISM; "					0	OuterMembrane	OM	low	fadL	524	no	2.62324929
P0A8V6	FADR_ECOLI	Fatty acid metabolism regulator protein	4	166	13	0.31	1.03E+00	2.95E+02	0.004784689	26838	7.03	-0.29	4					01.63.04	"01.06;63.03.01;01.06.10;01;63;04;04.05;04.05.01.04.03;04.05.01.04.01;04.05.01;63.03;04.05.01.04;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); TRANSCRIPTION; "	a.4.a.78	"a.4.5;a.78.1;"	All alpha proteins	DNA/RNA-binding 3-helical bundle.Fatty acid responsive transcription factor FadR. C-terminal domain	0	Unknown		low		730	no	2.469822016
P32177	FDHD_ECOLI	FdhD protein	2	65	10	0.2	5.85E-01	2.12E+02	0.004784689	30561	6.4	-0.17	9					2.62	"62.02.01.01;02.11.07;02.13.05;62.02.01.01.99;02;62.02;02.13;62;62.02.01;02.11;"	"ENERGY; PROTEIN ACTIVITY REGULATION; "					0	Cytoplasmic		low		1018	no	2.326335861
P13024	FDHE_ECOLI	Protein fdhE	4	184	16	0.25	7.78E-01	2.50E+02	0.007177033	34748	4.87	-0.29	11					40.62.02	"62.02.01.01;02.13.03;62.02.01.01.99;40.03;02;62.02;40;02.13;62;62.02.01;"	"SUBCELLULAR LOCALISATION; PROTEIN ACTIVITY REGULATION; ENERGY; "					0	Cytoplasmic		low	fdoGHI-fdhE	656	no	2.397940009
P24183	FDNG_ECOLI	Formate dehydrogenase. nitrate-inducible. major subunit (EC 1.2.1.2) (Formate dehydrogenas	2	50	52	0.04	9.26E-02	7.27E+01	0.009569378	112918	6.97	-0.42	28	0.48	N			01.63.40.02	"01;02.13.01;63;63.21.07;40.28;63.13;02;01.05;01.05.01;01.05.01.01;63.13.99;01.05.01.01.03;63.01;40;63.21;02.13;63.21.03;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ENERGY; "	b.52.c.81	"c.81.1;b.52.2;"	Alpha and beta proteins (a/b).All beta proteins	Formate dehydrogenase/DMSO reductase. domains 1-3.Double psi beta-barrel	0	Periplasmic		low	fdnGHI	908	no	1.861534411
P32176	FDOG_ECOLI	Formate dehydrogenase-O. major subunit (EC 1.2.1.2) (Formate dehydrogenase-O alpha subunit	31	1283	43	0.72	4.26E+00	6.72E+02	0.011421516	112504	7.24	-0.34	28	0.44	N			01.63.40.02	"01;02.13.01;63;63.21.07;40.28;63.13;02;01.05;01.05.01;01.05.01.01;63.13.99;01.05.01.01.03;63.01;40;63.21;02.13;63.21.03;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ENERGY; "	b.52.c.81	"c.81.1;b.52.2;"	Alpha and beta proteins (a/b).All beta proteins	Formate dehydrogenase/DMSO reductase. domains 1-3.Double psi beta-barrel	0	Periplasmic		low	fdoGHI-fdhE	110	no	2.827369273
P0AAJ5	FDOH_ECOLI	Formate dehydrogenase-O. iron-sulfur subunit (Formate dehydrogenase-O beta subunit) (FDH-Z	4	154	13	0.31	1.03E+00	2.95E+02	0.011961722	33102	5.07	-0.36	4	0.45	N			01.63.40.02	"01;63;02;02.22;01.05;01.05.01;02.11.05;40.30;02.11;01.05.01.01;02.13.03;63.01;40;02.13;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ENERGY; "	d.58	"d.58.1;"	Alpha and beta proteins (a+b)	Ferredoxin-like	0	CytoplasmicMembrane		low	fdoGHI-fdhE	742	no	2.469822016
P0AEL0	FDOI_ECOLI	Formate dehydrogenase. cytochrome b556(FDO) subunit (Formate dehydrogenase-O gamma subunit	2	90	5	0.4	1.51E+00	3.68E+02	0.004784689	24607	11.02	0.5	5	0.37	N			01.63.40.02	"01;63;02;02.22;01.05;01.05.01;40.30;02.11;02.11.99;01.05.01.01;02.13.03;63.01;40;02.13;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ENERGY; "	f.2	"f.2.1;"	Membrane and cell surface proteins and peptides	Membrane all-alpha	4	CytoplasmicMembrane		low	fdoGHI-fdhE	958	no	2.565847819
P13036	FECA_ECOLI	Iron(III) dicitrate transport protein fecA precursor	12	430	31	0.39	1.44E+00	3.58E+02	0.007974482	85323	5.79	-0.52	32	0.42	N	H		67.63.08.40.10.13	"13.01;13.01.01;63;67.04;10.05;10.05.01;67.04.01.01.02;67.04.01;10;40.31;10.01;13;63.01;08.19;40;13.01.01.01;67.04.01.01;08;67;"	"TRANSPORT FACILITATION; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; SUBCELLULAR LOCALISATION; CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM; REGULATION OF / INTERACTI"	f.4	"f.4.3;"	Membrane and cell surface proteins and peptides	Transmembrane beta-barrels	0	OuterMembrane	OM	low	fecABCDE	377	no	2.553883027
P15028	FECB_ECOLI	Iron(III) dicitrate-binding periplasmic protein precursor	3	83	8	0.38	1.37E+00	3.48E+02	0.004784689	33147	9.66	0.03	9	0.36	X	H		67.63.08.40.13	"13.01;13.01.01;63.17;63;40.28;67.04;63.17.09;67.50.25;67.50;67.04.01.01.02;67.04.01;13;63.01;08.19;40;13.01.01.01;67.04.01.01;08;67;"	"TRANSPORT FACILITATION; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; "	c.92	"c.92.2;"	Alpha and beta proteins (a/b)	Chelatase-like	0	Periplasmic		low	fecABCDE	902	no	2.541579244
P28861	FENR_ECOLI	Ferredoxin--NADP reductase (EC 1.18.1.2) (FNR) (Flavodoxin reductase) (FLXR) (FLDR) (Methy	2	96	10	0.2	5.85E-01	2.12E+02	0.004784689	27621	6.63	-0.2	12					67.11.63.02	"11.07.07;63;02;11.07.07.07;11;67.15;63.21;02.11.05;02.11;63.21.05;11.07;67;"	"TRANSPORT FACILITATION; CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ENERGY; "	c.25.b.43	"b.43.4;c.25.1;"	Alpha and beta proteins (a/b).All beta proteins	Reductase/isomerase/elongation factor common domain.Ferredoxin reductase-like. C-terminal NADP-linked domain	0	Cytoplasmic		low	fpr	952	no	2.326335861
P33650	FEOB_ECOLI	Ferrous iron transport protein B	3	92	22	0.14	3.69E-01	1.62E+02	0.004784689	84475	6.12	0.42	21	0.42	N			67.63.40.10.20	"63.19;63.17;63;67.04;20.07;63.17.09;20;10.05;10.05.01;20.07.03;40.30;67.50;67.04.01;63.19.05;10;10.01;10.05.01.10;40;67.04.01.01;67;"	"TRANSPORT FACILITATION; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM; SYSTEMIC REGULATION OF / INTERACTION WITH ENVIRONMENT; "	c.37	"c.37.1;"	Alpha and beta proteins (a/b)	P-loop containing nucleotide triphosphate hydrolases	10	CytoplasmicMembrane		low	feoAB	888	no	2.209515015
P05825	FEPA_ECOLI	Ferrienterobactin receptor precursor (Enterobactin outer-membrane receptor)	8	370	26	0.31	1.03E+00	2.95E+02	0.004784689	82108	5.33	-0.58	22	0.41	N			67.63.40.13	"13.01;13.01.01;63;63.13;67.04;63.13.99;67.04.01;40.31;13;67.04.01.01.01;40;13.01.01.01;67.04.01.01;67;"	"TRANSPORT FACILITATION; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; "	f.4	"f.4.3;"	Membrane and cell surface proteins and peptides	Transmembrane beta-barrels	0	OuterMembrane		low	fepA-entD	464	no	2.469822016
P0A9R4	FER_ECOLI	Ferredoxin. 2Fe-2S	9	546	6	1.5	3.06E+01	2.11E+03	0.018075492	12201	4.33	-0.38	2				1.04	67.63.02	"63.17;63;02;63.17.09;67.15;02.11;67;"	"TRANSPORT FACILITATION; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ENERGY; "	d.15	"d.15.4;d.15.4;"	Alpha and beta proteins (a+b)	beta-Grasp (ubiquitin-like)	0	Cytoplasmic		high	hscBA-fdx	446	no	3.324282455
P06971	FHUA_ECOLI	Ferrichrome-iron receptor precursor (Ferric hydroxamate uptake) (Ferric hydroxamate recept	18	681	34	0.53	2.38E+00	4.79E+02	0.005582137	82183	5.43	-0.48	30	0.46	N			63.40.13	"13.01;13.01.01;63.17;63;13;63.17.09;40;40.30;13.01.01.01;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; "	f.4	"f.4.3;"	Membrane and cell surface proteins and peptides	Transmembrane beta-barrels	0	OuterMembrane	OM	low	fhuACDB	211	no	2.680335513
P0A6R3	FIS_ECOLI	DNA-binding protein fis (Factor-for-inversion stimulation protein) (HIN recombinational en	11	491	2	5.5	3.16E+05	4.53E+05	0.025663332	11241	10.19	-0.53	3					63.03.04	"63.03.01;03;04.01;63;04;04.01.99;63.03;63.01;03.01.03;03.01.03.99;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; TRANSCRIPTION; "	a.105	"a.105.1;"	All alpha proteins	FIS-like	0	Unknown	C	high	dusB-fis	396	no	5.656098202
P45523	FKBA_ECOLI	FKBP-type peptidyl-prolyl cis-trans isomerase fkpA precursor (EC 5.2.1.8) (PPIase) (Rotama	24	1321	12	2	9.90E+01	4.18E+03	0.018341308	28883	9.25	-0.46	11					40.06	"40.28;40;06;06.01;"	"SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	d.26	"d.26.1;"	Alpha and beta proteins (a+b)	FKBP-like	0	Periplasmic	P	high		141	no	3.621176282
P0A9L3	FKBB_ECOLI	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPIase) (Rotamase) (FKB	13	559	9	1.44	2.68E+01	1.96E+03	0.033860876	22086	4.68	-0.09	8	0.42	N			63.40.06	"63;40.28;63.01;40;06;06.01;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	d.26	"d.26.1;"	Alpha and beta proteins (a+b)	FKBP-like	0	Unknown (This protein may have multiple localization sites.)		low		324	no	3.292256071
