Accession number	OLN	ECK	Gene	Protein name	emPAI Value	Normalized And Descr Itensity	Copy number per cell	mRNA expression level	mRNA expression level	Sequence coverage (%)	Number of unique peptides	Mascot protein score	Number of TMDs	GRAVY score	GO cellular component
P0A843	JW0622	ECK0620	tatE	TatABCE protein translocation system subunit	2.98	1	136.13	0,72	0.72	32.84	2	131	1	0.122	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AF20	JW0662	ECK0664	nagC	DNA-binding transcriptional dual regulator	0.17	1	8.47	0,72	0.72	4.93	2	72	0	-0.006	GO:0005737 cytoplasm
P0AGM7	JW2482	ECK2493	uraA	uracil transporter	1.15	1	54.08	0,72	0.72	2.56	2	48	12	1.045	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A843	JW0622	ECK0620	tatE	TatABCE protein translocation system subunit	24.12	1	2.13	0,72	0.72	55.22	6	291	1	0.122	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AF20	JW0662	ECK0664	nagC	DNA-binding transcriptional dual regulator	0.37	1	8.47	0,72	0.72	12.56	4	191	0	-0.006	GO:0005737 cytoplasm
P0AB91	JW0737	ECK0743	aroG	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase. phenylalanine repressible	0.25	1	78	0,72	0.72	6	2	62	0	-0.182	0
P0AFQ7	JW1086	ECK1086	ycfH	predicted metallodependent hydrolase	0.83	1	39.42	0,73	0.73	26.04	5	188	0	-0.212	0
P0ADP7	JW3811	ECK3828	yigP	conserved protein	0.78	1	37.12	0,73	0.73	13.43	2	81	0	0.021	0
P0AFP4	JW0482	ECK0487	ybbO	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	2.98	1		0,73	0.73	39.78	7	342	0	-0.043	0
P0ADP7	JW3811	ECK3828	yigP	conserved protein	1.37	1	37.12	0,73	0.73	19	3	146	0	0.021	0
P0AD70	JW5052	ECK0371	ampH	beta-lactamase/D-alanine carboxypeptidase	0.39	1		0,73	0.73	11.43	3	90	0	-0.195	0
P32132	JW5571	ECK3864	bipA	GTP-binding protein	12	1	504.13	0,74	0.74	46	25	1406	0	-0.298	0
P0A6Z1	JW2510	ECK2523	hscA	DnaK-like molecular chaperone specific for IscU	3.42	1	155.57	0,74	0.74	45.29	18	852	0	-0.028	GO:0005737 cytoplasm
P75823	JW0854	ECK0861	ltaE	L-allo-threonine aldolase. PLP-dependent	0.62	1	29.71	0,74	0.74	17.42	4	142	0	-0.128	GO:0005737 cytoplasm
P32132	JW5571	ECK3864	bipA	GTP-binding protein	4.95	1	504.13	0,74	0.74	37.07	21	983	0	-0.298	0
P0A6Z1	JW2510	ECK2523	hscA	DnaK-like molecular chaperone specific for IscU	1	1	155.57	0,74	0.74	18.18	8	329	0	-0.028	GO:0005737 cytoplasm
P0ABI4	JW3789	ECK3810	corA	magnesium/nickel/cobalt transporter	3.92	1	177.58	0,75	0.75	48.42	9	484	2	-0.156	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P76403	JW2066	ECK2077	yegQ	predicted peptidase	1.65	1	76.75	0,75	0.75	30.46	10	314	0	0.000	0
P0ABE2	JW5060	ECK0429	bolA	regulator of penicillin binding proteins and beta lactamase transcription (morphogene)	9	1	398	0,75	0.75	57.14	4	264	0	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P0ABI4	JW3789	ECK3810	corA	magnesium/nickel/cobalt transporter	19.31	1	2.25	0,75	0.75	53.16	14	967	2	-0.156	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P76403	JW2066	ECK2077	yegQ	predicted peptidase	0.19	1	76.75	0,75	0.75	11.04	2	49	0	0.000	0
P0A8H8	JW5008	ECK0101	yacG	conserved protein	2.16	1	99.64	0,76	0.76	44.62	2	83	0	-0.615	0
P76193	JW1668	ECK1674	ynhG	conserved protein	0.47	1	22.71	0,76	0.76	6.29	2	24	0	-0.235	0
P0A7B5	JW0232	ECK0243	proB	gamma-glutamate kinase	2.63	1	121	0,77	0.77	48.23	13	622	0	0.007	GO:0005737 cytoplasm
P0C0S1	JW2891	ECK2920	mscS	mechanosensitive channel	1.89	1	87.54	0,77	0.77	28.67	6	411	3	0.494	0
P37692	JW3595	ECK3610	rfaF	ADP-heptose:LPS heptosyltransferase II	0.72	1	34.35	0,77	0.77	16	4	173	0	-0.185	0
P11880	JW0084	ECK0087	murF	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	0.33	1	16.12	0,77	0.77	9.07	2	91	0	0.165	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P10441	JW0177	ECK0181	lpxB	tetraacyldisaccharide-1-P synthase	0.45	1	21.78	0,77	0.77	12	3	81	0	-0.007	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P64426	JW1486	ECK1485	yddW	predicted liprotein	0.17	1	8.47	0,77	0.77	5.47	2	22	0	-0.464	0
P0C0S1	JW2891	ECK2920	mscS	mechanosensitive channel	7.38	1	1.94	0,77	0.77	38.81	11	564	3	0.494	0
P64426	JW1486	ECK1485	yddW	predicted liprotein	1.93	1	8.47	0,77	0.77	33.94	11	494	0	-0.464	0
P0A7B5	JW0232	ECK0243	proB	gamma-glutamate kinase	1.09	1	121	0,77	0.77	27.79	8	484	0	0.007	GO:0005737 cytoplasm
P11880	JW0084	ECK0087	murF	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	0.78	1	16.12	0,77	0.77	12.39	4	271	0	0.165	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P10441	JW0177	ECK0181	lpxB	tetraacyldisaccharide-1-P synthase	0.74	1	21.78	0,77	0.77	24.87	6	204	0	-0.007	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AG30	JW3756	ECK3775	rho	transcription termination factor	33.33	1	1414.45	0,78	0.78	77.33	33	1828	0	-0.298	GO:0005737 cytoplasm
P0A9W6	JW3157	ECK3179	yrbA	predicted DNA-binding transcriptional regulator	9	1	398	0,78	0.78	38	3	82	0	-0.265	0
P64455	JW1441	ECK1440	ydcY	predicted protein	1.15	1	54.08	0,78	0.78	51.95	2	79	0	-0.636	0
P0AFB5	JW3840	ECK3862	glnL	sensory kinase in two-component regulatory system with GlnG	0.44	1	21.31	0,78	0.78	10.03	2	78	0	-0.174	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AG30	JW3756	ECK3775	rho	transcription termination factor	9.86	1	1414.45	0,78	0.78	69	27	1527	0	-0.298	GO:0005737 cytoplasm
P64423	JW1336	ECK1339	ydaN	predicted Zn(II) transporter	1.51	1	1.45	0,78	0.78	22.32	6	370	2	0.000	0
P0AFB5	JW3840	ECK3862	glnL	sensory kinase in two-component regulatory system with GlnG	0.83	1	21.31	0,78	0.78	21	5	201	0	-0.174	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A9L3	JW5746	ECK4203	fklB	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	14.85	1	645.93	0,79	0.79	57.77	10	565	0	-0.081	0
P0A6V1	JW3393	ECK3416	glgC	glucose-1-phosphate adenylyltransferase	1.15	1	54.08	0,79	0.79	22.04	8	324	0	-0.267	GO:0005737 cytoplasm
P0AFU8	JW1654	ECK1658	ribC	riboflavin synthase. alpha subunit	3.64	1	165.27	0,79	0.79	37.56	6	318	0	0.000	0
P42599	JW3058	ECK3077	ygjR	predicted NAD(P)-binding dehydrogenase	1.28	1	60	0,79	0.79	19.76	5	206	0	0.046	0
P77735	JW0409	ECK0413	yajO	predicted oxidoreductase. NAD(P)-binding	0.72	1	34.35	0,79	0.79	12.04	3	167	0	-0.404	0
P21865	JW0683	ECK0683	kdpD	fused sensory histidine kinase in two-component regulatory system with KdpE	0.11	1	5.56	0,79	0.79	2.01	2	25	4	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P21865	JW0683	ECK0683	kdpD	fused sensory histidine kinase in two-component regulatory system with KdpE	0.53	1	0.74	0,79	0.79	12.42	8	320	4	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A6V1	JW3393	ECK3416	glgC	glucose-1-phosphate adenylyltransferase	0.41	1	54.08	0,79	0.79	12.76	4	143	0	-0.267	GO:0005737 cytoplasm
P77735	JW0409	ECK0413	yajO	predicted oxidoreductase. NAD(P)-binding	1	1	34.35	0,79	0.79	12.96	3	132	0	-0.404	0
P42599	JW3058	ECK3077	ygjR	predicted NAD(P)-binding dehydrogenase	0.39	1	60	0,79	0.79	6.59	2	82	0	0.046	0
P0A8N3	JW2858	ECK2885	lysS	lysine tRNA synthetase. constitutive	21.64	1	930.53	0,81	0.81	70.89	32	1759	0	-0.396	GO:0005737 cytoplasm
P09030	JW1738	ECK1747	xthA	exonuclease III	2.98	1	136.13	0,81	0.81	52.61	11	591	0	-0.555	0
P0ACI0	JW4359	ECK4388	rob	DNA-binding transcriptional activator	4.41	1	199.06	0,81	0.81	34.26	9	268	0	-0.355	GO:0005737 cytoplasm
P0A8N3	JW2858	ECK2885	lysS	lysine tRNA synthetase. constitutive	6	1	930.53	0,81	0.81	50	22	1159	0	-0.396	GO:0005737 cytoplasm
P0ACI0	JW4359	ECK4388	rob	DNA-binding transcriptional activator	2.41	1	199.06	0,81	0.81	23.18	7	285	0	-0.355	GO:0005737 cytoplasm
P06612	JW1266	ECK1268	topA	DNA topoisomerase I. omega subunit	1.18	1	55.45	0,82	0.82	32.02	19	801	0	-0.609	GO:0005737 cytoplasm
P77695	JW5253	ECK1544	gnsB	"Qin prophage; predicted protein"	9	1	398	0,82	0.82	71.93	5	251	0	-0.481	0
P0A8I5	JW2927	ECK2955	yggH	tRNA (m7G46) methyltransferase. SAM-dependent	1.37	1	64.08	0,82	0.82	10.04	3	106	0	-0.397	0
P0A8N0	JW0939	ECK0947	ycbG	conserved protein	0.78	1	37.12	0,82	0.82	18.67	2	88	0	-0.779	0
P06612	JW1266	ECK1268	topA	DNA topoisomerase I. omega subunit	0.17	1	55.45	0,82	0.82	4.86	4	186	0	-0.609	GO:0005737 cytoplasm
P0A8I5	JW2927	ECK2955	yggH	tRNA (m7G46) methyltransferase. SAM-dependent	2.16	1	64.08	0,82	0.82	20.92	4	131	0	-0.397	0
P64585	JW3070	ECK3090	yqjE	conserved inner membrane protein	1.15	1	1.37	0,82	0.82	13.43	2	100	2	0.346	0
P02916	JW3993	ECK4025	malF	maltose transporter subunit -!- membrane component of ABC superfamily	1	1	24.12	0,83	0.83	7.59	3	135	8	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AFJ7	JW3460	ECK3478	pitA	phosphate transporter. low-affinity	2.98	1	136.13	0,83	0.83	9.62	5	104	10	0.523	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AB18	JW0952	ECK0960	yccK	predicted sulfite reductase subunit	0.93	1	44.02	0,83	0.83	37.61	2	75	0	-0.304	0
P02916	JW3993	ECK4025	malF	maltose transporter subunit -!- membrane component of ABC superfamily	5.66	1	1.38	0,83	0.83	27.82	12	635	8	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AFJ7	JW3460	ECK3478	pitA	phosphate transporter. low-affinity	24.12	1	2.13	0,83	0.83	23.25	10	477	10	0.523	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P27129	JW3601	ECK3616	rfaJ	UDP-D-glucose:(galactosyl)lipopolysaccharide glucosyltransferase	0.82	1	1.28	0,83	0.83	16.57	5	166	1	-0.152	0
P0AGD7	JW5414	ECK2607	ffh	Signal Recognition Particle (SRP) component with 4.5S RNA (ffs)	7.48	1	332.24	0,84	0.84	56.73	22	1083	0	-0.243	0
P0AC02	JW2577	ECK2593	yfiO	predicted lipoprotein	3.64	1	165.27	0,84	0.84	53.47	11	609	0	-0.484	0
P0A894	JW3172	ECK3194	yhbJ	predicted protein with nucleoside triphosphate hydrolase domain	2.59	1	118.82	0,84	0.84	49.65	9	447	0	-0.316	0
P31475	JW5608	ECK3749	yieP	predicted transcriptional regulator	2.16	1	99.64	0,84	0.84	29.13	4	217	0	-0.079	0
P05637	JW0048	ECK0050	apaH	diadenosine tetraphosphatase	1	1	33.42	0,84	0.84	16.43	3	132	0	-0.246	GO:0005737 cytoplasm
P0AGD7	JW5414	ECK2607	ffh	Signal Recognition Particle (SRP) component with 4.5S RNA (ffs)	4.62	1	332.24	0,84	0.84	54.08	20	929	0	-0.243	0
P0AC02	JW2577	ECK2593	yfiO	predicted lipoprotein	15.68	1	165.27	0,84	0.84	73.88	18	878	0	-0.484	0
P0AFA2	JW1213	ECK1216	narX	sensory histidine kinase in two-component regulatory system with NarL	0.91	1	1.31	0,84	0.84	27.93	11	695	2	-0.213	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A894	JW3172	ECK3194	yhbJ	predicted protein with nucleoside triphosphate hydrolase domain	0.67	1	118.82	0,84	0.84	22.54	4	222	0	-0.316	0
P31475	JW5608	ECK3749	yieP	predicted transcriptional regulator	1.37	1	99.64	0,84	0.84	19.13	3	141	0	-0.079	0
P0AE18	JW0163	ECK0166	map	methionine aminopeptidase	6.63	1	295.57	0,85	0.85	59.85	12	650	0	-0.162	0
P77258	JW1642	ECK1646	nemA	N-ethylmaleimide reductase. FMN-linked	2.51	1	115.26	0,85	0.85	36.99	10	403	0	-0.311	0
P07650	JW4345	ECK4374	deoA	thymidine phosphorylase	1.33	1	62.27	0,85	0.85	30.91	9	328	0	0.011	0
P0ABQ4	JW0047	ECK0049	folA	dihydrofolate reductase	4.62	1	208.24	0,85	0.85	54.72	6	255	0	-0.294	0
P0A8W5	JW2915	ECK2943	yqgE	predicted protein	1.15	1	54.08	0,85	0.85	27.27	3	194	0	-0.072	0
P09549	JW5378	ECK2308	dedD	conserved protein	22.71	1	2.19	0,85	0.85	52.27	9	408	1	-0.306	0
P0ABQ4	JW0047	ECK0049	folA	dihydrofolate reductase	4.62	1	208.24	0,85	0.85	37.11	4	134	0	-0.294	0
P23830	JW2569	ECK2583	pssA	phosphatidylserine synthase (CDP-diacylglycerol-serine O-phosphatidyltransferase)	2.16	1	99.64	0,86	0.86	36	15	605	0	-0.429	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P02919	JW0145	ECK0148	mrcB	fused glycosyl transferase -!- transpeptidase	0.32	1	15.65	0,86	0.86	10.66	6	279	1	-0.419	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ABU9	JW0727	ECK0726	tolQ	membrane spanning protein in TolA-TolQ-TolR complex	1.85	1	85.75	0,86	0.86	30	5	243	3	0.226	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P39172	JW5831	ECK1858	znuA	zinc transporter subunit -!- periplasmic-binding component of ABC superfamily	0.36	1	17.54	0,86	0.86	13.87	2	110	0	-0.211	GO:0042597 periplasmic space
P30011	JW0105	ECK0108	nadC	quinolinate phosphoribosyltransferase	0.44	1	21.31	0,86	0.86	10	3	93	0	-0.234	0
P02919	JW0145	ECK0148	mrcB	fused glycosyl transferase -!- transpeptidase	3.57	1	1.19	0,86	0.86	44.67	30	1924	1	-0.419	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P23830	JW2569	ECK2583	pssA	phosphatidylserine synthase (CDP-diacylglycerol-serine O-phosphatidyltransferase)	2.98	1	99.64	0,86	0.86	41.91	16	853	0	-0.429	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ABU9	JW0727	ECK0726	tolQ	membrane spanning protein in TolA-TolQ-TolR complex	7.11	1	1.93	0,86	0.86	33.91	9	551	3	0.226	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P32705	JW4028	ECK4060	actP	acetate transporter	1	1	1.33	0,86	0.86	5.28	3	151	13	0.793	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P33355	JW2112	ECK2116	yehS	conserved protein	0.52	1		0,86	0.86	14	2	84	0	-0.327	0
P77774	JW2496	ECK2508	yfgL	protein assembly complex. lipoprotein component	3.08	1	140.56	0,87	0.87	50.77	11	669	0	0.009	0
P0A6Y5	JW5692	ECK3388	hslO	heat shock protein Hsp33	3.92	1	177.58	0,87	0.87	43.15	9	478	0	-0.313	0
P25437	JW0347	ECK0353	frmA	alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase	1.58	1	73.59	0,87	0.87	30.35	7	242	0	-0.012	GO:0005737 cytoplasm
P76569	JW2480	ECK2491	yfgD	predicted oxidoreductase	4.18	1	188.99	0,87	0.87	46.22	4	111	0	-0.361	0
P0C0R7	JW3146	ECK3168	rrmJ	23S rRNA methyltransferase	0.43	1	20.84	0,87	0.87	13	2	83	0	-0.244	0
P77774	JW2496	ECK2508	yfgL	protein assembly complex. lipoprotein component	13.68	1	140.56	0,87	0.87	63.01	17	1144	0	0.009	0
P0AF52	JW4025	ECK4057	yjcD	predicted permease	0.93	1	1.31	0,87	0.87	6.68	2	181	13	1.121	0
P0A6Y5	JW5692	ECK3388	hslO	heat shock protein Hsp33	1	1	177.58	0,87	0.87	14.04	3	92	0	-0.313	0
P29208	JW2256	ECK2255	menC	o-succinylbenzoyl-CoA synthase	0.31	1		0,87	0.87	11.56	2	58	0	-0.117	0
P36771	JW2284	ECK2283	lrhA	DNA-binding transcriptional repressor	0.36	1	17.54	0,88	0.88	9.62	2	111	0	-0.011	GO:0005737 cytoplasm
P0A8K5	JW0185	ECK0189	yaeP	conserved protein	9	1	398	0,88	0.88	80	3	105	0	0.026	0
P21177	JW3822	ECK3838	fadB	fused 3-hydroxybutyryl-CoA epimerase/delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase/enoyl-CoA hydratase -!- 3-hydroxyacyl-CoA dehydrogenase	0.19	1	9.44	0,88	0.88	6.31	3	94	0	-0.094	0
P0AEN4	JW0081	ECK0084	ftsL	membrane bound cell division protein at septum containing leucine zipper motif	9	1	1.93	0,88	0.88	61.16	8	453	1	-0.026	0
P21177	JW3822	ECK3838	fadB	fused 3-hydroxybutyryl-CoA epimerase/delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase/enoyl-CoA hydratase -!- 3-hydroxyacyl-CoA dehydrogenase	0.26	1	9.44	0,88	0.88	8.09	4	283	0	-0.094	0
P08192	JW2312	ECK2309	folC	bifunctional folylpolyglutamate synthase -!- dihydrofolate synthase	2.16	1	99.64	0,89	0.89	34.83	10	497	0	0.004	0
P0A7I7	JW1269	ECK1272	ribA	GTP cyclohydrolase II	7.25	1	322.33	0,89	0.89	46.43	9	354	0	-0.181	0
P0A9D2	JW1627	ECK1631	gst	glutathionine S-transferase	2.83	1	129.48	0,89	0.89	54.23	6	250	0	0.000	0
P60390	JW0080	ECK0083	mraW	S-adenosyl-dependent methyltransferase activity on membrane-located substrates	0.39	1	18.96	0,89	0.89	15.34	3	224	0	-0.397	0
Q46851	JW2970	ECK2995	yghZ	aldo-keto reductase	0.73	1	34.81	0,89	0.89	27.17	5	194	0	-0.389	0
P08192	JW2312	ECK2309	folC	bifunctional folylpolyglutamate synthase -!- dihydrofolate synthase	1.31	1	99.64	0,89	0.89	23.46	8	343	0	0.004	0
P0A8R7	JW1315	ECK1318	ycjF	conserved inner membrane protein	1.93	1	1.51	0,89	0.89	20.96	6	336	3	-0.247	0
P77318	JW5243	ECK1492	ydeN	conserved protein	0.75	1	35.73	0,91	0.91	21.61	8	447	0	-0.575	0
P45464	JW3116	ECK3135	yraM	conserved protein	1.01	1	47.69	0,91	0.91	23.16	9	345	0	-0.272	0
P0ADF8	JW3645	ECK3661	ilvN	acetolactate synthase I. small subunit	2.73	1	125.04	0,91	0.91	45.83	3	160	0	-0.201	0
P45464	JW3116	ECK3135	yraM	conserved protein	3.33	1	47.69	0,91	0.91	44.84	21	1075	0	-0.272	0
P68767	JW4217	ECK4253	pepA	aminopeptidase A. a cyteinylglycinase	2.56	1	117.49	0,92	0.92	34.39	14	683	0	-0.217	GO:0005737 cytoplasm
P0A7F6	JW0116	ECK0119	speD	S-adenosylmethionine decarboxylase	4.82	1	216.98	0,92	0.92	70.08	11	570	0	-0.313	0
P0ACA7	JW0822	ECK0828	yliJ	predicted glutathione S-transferase	16.01	1	695	0,92	0.92	61.06	11	480	0	-0.198	0
P0ADK8	JW3577	ECK3592	yibL	conserved protein	3.22	1	146.75	0,92	0.92	54.17	5	221	0	-0.628	0
P64624	JW5703	ECK3333	yheO	predicted DNA-binding transcriptional regulator	0.85	1	40.34	0,92	0.92	23.33	4	163	0	-0.163	0
P0AG99	JW3142	ECK3164	secG	preprotein translocase membrane subunit	9	1	398	0,92	0.92	27.27	2	127	2	0.375	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P68767	JW4217	ECK4253	pepA	aminopeptidase A. a cyteinylglycinase	1	1	117.49	0,92	0.92	27.83	11	336	0	-0.217	GO:0005737 cytoplasm
P0ACA7	JW0822	ECK0828	yliJ	predicted glutathione S-transferase	1.89	1	695	0,92	0.92	27.88	6	295	0	-0.198	0
P0AG99	JW3142	ECK3164	secG	preprotein translocase membrane subunit	315.23	1	3	0,92	0.92	30	4	146	2	0.375	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P56579	JW5429	ECK2697	srlA	glucitol/sorbitol-specific enzyme IIC component of PTS	1.15	1	1.37	0,92	0.92	4.81	2	98	3	0.504	0
P17109	JW5374	ECK2258	menD	bifunctional 2-oxoglutarate decarboxylase -!- SHCHC synthase	0.19	1		0,92	0.92	6.12	2	89	0	-0.127	0
P21499	JW5741	ECK4175	rnr	exoribonuclease R. RNase R	1.09	1	51.34	0,93	0.93	25.71	16	656	0	-0.551	0
P0ABU5	JW3176	ECK3198	elbB	isoprenoid biosynthesis protein with amidotransferase-like domain	2.59	1	118.82	0,93	0.93	36.87	5	320	0	0.267	0
P17115	JW5431	ECK2703	gutQ	predicted phosphosugar-binding protein	1.64	1	76.29	0,93	0.93	37.69	8	231	0	0.144	GO:0030113 capsule (sensu Bacteria)
P21499	JW5741	ECK4175	rnr	exoribonuclease R. RNase R	0.51	1	51.34	0,93	0.93	15.74	9	409	0	-0.551	0
P17115	JW5431	ECK2703	gutQ	predicted phosphosugar-binding protein	0.62	1	76.29	0,93	0.93	11.84	4	180	0	0.144	GO:0030113 capsule (sensu Bacteria)
P06971	JW0146	ECK0149	fhuA	ferrichrome outer membrane transporter	0.56	1	26.92	0,94	0.94	22.89	10	299	0	-0.481	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0A6K1	JW5592	ECK3804	dapF	diaminopimelate epimerase	0.47	1	22.71	0,94	0.94	7	2	70	0	0.000	GO:0005737 cytoplasm
P06971	JW0146	ECK0149	fhuA	ferrichrome outer membrane transporter	6.33	1	26.92	0,94	0.94	61.71	39	2309	0	-0.481	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0AES6	JW0451	ECK0456	acrB	multidrug efflux system protein	1	1	56.36	0,95	0.95	18.49	14	735	11	0.266	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AGE6	JW3691	ECK3706	yieF	chromate reductase. Class I. flavoprotein	4.62	1	208.24	0,95	0.95	44.68	6	365	0	0.000	0
P25397	JW1426	ECK1423	tehB	predicted S-adenosyl-L-methionine-dependent methyltransferase	0.97	1	45.85	0,95	0.95	24.87	5	170	0	-0.376	0
P0A998	JW4122	ECK4157	rsgA	ribosome small subunit-dependent GTPase A	0.83	1	39.42	0,95	0.95	17.43	4	136	0	-0.405	0
P0A738	JW0766	ECK0772	moaC	molybdopterin biosynthesis. protein C	1	1	47.23	0,95	0.95	19.25	3	115	0	-0.037	0
P0AES6	JW0451	ECK0456	acrB	multidrug efflux system protein	7.94	1	1.75	0,95	0.95	40.32	34	1869	11	0.266	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P25397	JW1426	ECK1423	tehB	predicted S-adenosyl-L-methionine-dependent methyltransferase	1.25	1	45.85	0,95	0.95	27.41	5	249	0	-0.376	0
P0AEZ3	JW1164	ECK1163	minD	membrane ATPase of the MinC-MinD-MinE system	14.01	1	610.48	0,96	0.96	62.59	15	932	0	-0.118	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A955	JW1839	ECK1851	eda	multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase -!- 2-keto-4-hydroxyglutarate aldolase -!- oxaloacetate decarboxylase	9	1	2108.45	0,96	0.96	61.03	9	522	0	0.322	GO:0005737 cytoplasm
P00550	JW3573	ECK3588	mtlA	fused mannitol-specific PTS enzyme IIABC components	1.21	1	56.81	0,96	0.96	22.29	10	465	8	0.329	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P00946	JW1605	ECK1608	manA	mannose-6-phosphate isomerase	1	1	47.23	0,96	0.96	24.04	6	345	0	-0.126	GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
P0ADC1	JW0636	ECK0634	rlpB	minor lipoprotein	2.16	1	99.64	0,96	0.96	30.05	6	221	0	-0.252	GO:0019866 inner membrane
P07001	JW1595	ECK1598	pntA	pyridine nucleotide transhydrogenase. alpha subunit	0.58	1	27.85	0,96	0.96	10	4	194	5	0.273	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A8A8	JW5533	ECK3159	yhbC	conserved protein	2.16	1	99.64	0,96	0.96	16.67	3	90	0	0.047	0
P00550	JW3573	ECK3588	mtlA	fused mannitol-specific PTS enzyme IIABC components	9	1	1.75	0,96	0.96	39.56	24	1770	8	0.329	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P07001	JW1595	ECK1598	pntA	pyridine nucleotide transhydrogenase. alpha subunit	5.92	1	1.44	0,96	0.96	45.88	19	1023	5	0.273	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AEZ3	JW1164	ECK1163	minD	membrane ATPase of the MinC-MinD-MinE system	18.68	1	610.48	0,96	0.96	64.07	17	884	0	-0.118	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ADC1	JW0636	ECK0634	rlpB	minor lipoprotein	67.13	1	99.64	0,96	0.96	60	16	874	0	-0.252	GO:0019866 inner membrane
P65292	JW5448	ECK2805	ygdI	predicted protein	4.62	1	1.75	0,96	0.96	41.33	3	154	1	-0.523	0
P11875	JW1865	ECK1877	argS	arginyl-tRNA synthetase	5	1	216	0,97	0.97	59.27	27	1427	0	-0.258	GO:0005737 cytoplasm
P0A780	JW0406	ECK0410	nusB	transcription antitermination protein	9	1	398	0,97	0.97	67.63	9	457	0	-0.219	GO:0005737 cytoplasm
P77552	JW1656	ECK1660	ydhQ	conserved protein	1.96	1	90.69	0,97	0.97	24.88	8	413	0	0.025	0
P22524	JW0906	ECK0914	mukE	protein involved in chromosome partitioning	1.68	1	78	0,97	0.97	34.67	6	351	0	-0.495	0
P11875	JW1865	ECK1877	argS	arginyl-tRNA synthetase	1.07	1	216	0,97	0.97	26	12	770	0	-0.258	GO:0005737 cytoplasm
P45577	JW5300	ECK1830	proQ	predicted structural transport element	10.45	1	459.44	0,98	0.98	64.66	14	755	0	-0.776	0
P0ADS6	JW2889	ECK2918	yggE	conserved protein	34.11	1	1446.53	0,98	0.98	48.37	13	569	0	-0.252	0
