predicted location (PSORTbv3.0.2)		Score			emPAI			Peptides			Sequence coverage (%)	
253773872	membrane lipoprotein lipid attachment site 	unknown	110		122	0,15		0,32	1		2	6,1		12,7
253774455	Bor family protein 	unknown	87	67	76	0,32	0,32	0,75	2	1	2	25,8	10,3	25,8
253774872	preprotein translocase, SecA subunit 	cytoplasmic membrane	86	88	46	0,03	0,07	0,03	1	3	1	1,2	4,3	1,2
253775575	HemY protein 	cytoplasmic membrane		109	104		0,15	0,24		3	4		6,5	10,6
253773329	ribosomal protein L20 	cytoplasmic		212			1,48			5			29,1	
253771855	ribosomal protein S10 	cytoplasmic	99		108	0,29		0,67	3		3	28,2		34
253773263	MltA-interacting MipA family protein 	outer membrane			207			0,57			3			18,1
253774068	formate acetyltransferase 	cytoplasmic	103		97	0,12		0,16	8		5	9,7		9,1
253771879	ribosomal protein S11 	cytoplasmic		200			0,92			5			34,1	
253772730	VacJ family lipoprotein 	outer membrane	68	78	53	0,12	0,40	0,25	1	4	2	4,4	15,5	7,6
253775339	ABC transporter related 	cytoplasmic membrane	195			0,26			6			14,6		
253774848	membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family 	cytoplasmic membrane		92	98		0,16	0,12		6	4		7,7	5
253771756	gluconate transporter 	cytoplasmic membrane	89		93	0,23		0,15	5		2	11,6		5,5
253775574	Uroporphyrinogen-III C-methyltransferase 	cytoplasmic membrane		50	132		0,08	0,25		1	3		2,5	8,9
253774057	lipid A ABC exporter, fused ATPase and inner membrane subunits MsbA 	cytoplasmic membrane	51	50	80	0,05	0,05	0,05	3	2	3	4,8	3,4	4,8
253772699	nucleoside transporter 	cytoplasmic membrane	57		119	0,08		0,08	2		2	5		5
253772000	Polyribonucleotide nucleotidyltransferase 	cytoplasmic	91		80	0,09		0,23	5		11	6,8		16,2
253772824	Phosphoglycerate mutase 	unknown	170			0,74			4			18		
253774020	Mammalian cell entry related domain protein 	unknown	119	50		0,17	0,11		4	3		7,9	6,4	
253771878	ribosomal protein S13 	cytoplasmic	84	85		0,59	0,26		3	4		33,9	33,9	
253774105	putative lipoprotein 	unknown	76	49	42	0,91	0,38	0,18	4	2	4	33,3	12,3	31
253771833	ribosomal protein S7 	cytoplasmic		111	54		0,70	0,19		5	1		34	7,7
253771656	transporter, hydrophobe/amphiphile efflux-1 (HAE1) family 	cytoplasmic membrane			164			0,16			6			6,8
253771873	ribosomal protein S5 	cytoplasmic	62	98		0,19	0,70		1	4		8,4	24,6	
253775153	protein of unknown function DUF21 	cytoplasmic membrane		79	79		0,07	0,07		1	1		2,7	2,7
253772791	NADH-quinone oxidoreductase, B subunit 	cytoplasmic membrane			157			1,38			7			30,5
253771859	ribosomal protein L2 	cytoplasmic		155			0,52			2			9,1	
253774945	ribosomal protein S20 	cytoplasmic		81	74		1,52	0,36		2	1		29,9	12,6
253775151	surface antigen (D15) 	outer membrane	103	49		0,10	0,05		2	2		4	4,7	
253771641	sodium:dicarboxylate symporter 	cytoplasmic membrane	83		69	0,07		0,15	2		2	4,4		6,1
253774041	asparaginyl-tRNA synthetase 	cytoplasmic		87	64		0,20	0,13		3	4		6,7	8,4
253772235	fructose-bisphosphate aldolase, class II 	cytoplasmic			151			0,17			2			8,6
253775216	fumarate reductase, flavoprotein subunit 	cytoplasmic membrane	141			0,16			6			9,6		
253774606	protein-export membrane protein SecF 	cytoplasmic membrane	140			0,09			1			4		
253772669	protein of unknown function DUF1131 	unknown	140			0,34			2			13,6		
253773430	protein of unknown function DUF945 	cytoplasmic membrane			137			0,19			4			8
253771785	Sporulation domain protein 	unknown	46	90		0,07	0,07		3	3		7,5	5,1	
253774575	trigger factor 	cytoplasmic	57		76	0,07		0,14	1		4	2,8		10,6
253775342	binding-protein-dependent transport systems inner membrane component 	cytoplasmic membrane	50		82	0,12		0,12	2		2	4,3		3,9
253772112	rfaE bifunctional protein 	cytoplasmic	62		68	0,06		0,06	2		4	4,8		10,5
253774818	glutamate-1-semialdehyde-2,1-aminomutase 	cytoplasmic	68		61	0,15		0,07	2		2	6,1		6,3
253774387	twin-arginine translocation protein, TatA/E family subunit 	cytoplasmic membrane		43	82		0,51	0,51		1	1		16,4	16,4
253771546	Rhodanese domain protein 	unknown	123			0,48			2			17,5		
253774307	succinate dehydrogenase, hydrophobic membrane anchor protein 	cytoplasmic membrane	123			1,03			2			8,7		
253771834	translation elongation factor G 	cytoplasmic			121			0,04			3			5,3
253772532	GTP-binding protein LepA 	cytoplasmic membrane	64		56	0,15		0,05	3		1	5,3		2
253775228	hypothetical protein ECBD_3887 	unknown			120			0,65			2			30,8
253773876	PTS system, glucose-specific IIBC subunit 	cytoplasmic membrane	43		75	0,06		0,06	4		1	7,1		2,7
253775172	ribosomal protein L9 	cytoplasmic	70		47			0,22	2		1	14,8		7,4
253775132	magnesium-translocating P-type ATPase 	cytoplasmic membrane		44	70		0,03	0,07		1	2		1,3	3,2
253774305	succinate dehydrogenase and fumarate reductase iron-sulfur protein 	cytoplasmic membrane		53	60		0,12	0,12		1	1		4,2	4,2
253771956	multi-sensor hybrid histidine kinase 	cytoplasmic membrane		44	69		0,04	0,08		2	4		2,8	5,8
253775468	formate dehydrogenase, alpha subunit 	periplasmic			113			0,09			5			6
253774955	chaperone protein DnaK 	cytoplasmic			111			0,05			2			4,1
253774450	RND efflux system, outer membrane lipoprotein, NodT family 	outer membrane		49	60		0,07	0,14		1	2		2,4	4,4
253772939	D-lactate dehydrogenase 	cytoplasmic membrane	107			0,10			3			4,7		
253774886	Peptidoglycan glycosyltransferase 	cytoplasmic membrane	42	65		0,05	0,11		1	3		2	5,6	
253774935	carbamoyl-phosphate synthase, small subunit 	cytoplasmic			106			0,17			2			7,1
253773266	glyceraldehyde-3-phosphate dehydrogenase, type I 	cytoplasmic			106			0,43			5			18,4
253773987	polysaccharide export protein 	outer membrane	46	56		0,11	0,05		2	2		3,6	3,6	
253775449	histidine kinase 	cytoplasmic membrane		102			0,06			2			4,6	
253771973	Mammalian cell entry related domain protein 	unknown		99			0,61			3			15,8	
253773927	periplasmic glucan biosynthesis protein MdoG 	periplasmic	97			0,06			1			2,5		
253775234	anaerobic c4-dicarboxylate antiporter, Dcu family 	cytoplasmic membrane	50		47	0,07		0,07	1		1	1,8		1,8
253772792	NADH dehydrogenase I, D subunit 	cytoplasmic			97			0,10			3			5,6
253772330	MltA domain protein 	outer membrane		49	47		0,08	0,17		2	2		7,9	5,5
253774788	acetyl-CoA carboxylase, carboxyl transferase, alpha subunit 	cytoplasmic	94			0,09			1			4,1		
253773794	ribose-phosphate pyrophosphokinase 	cytoplasmic			93			0,10			1			4,2
253774381	Rare lipoprotein A 	extracellular			93			0,18			3			8,6
253772234	Phosphoglycerate kinase 	cytoplasmic	92			0,26			3			9,3		
253774911	SNF2-related protein 	cytoplasmic			91			0,06			5			6
253772553	Glycine hydroxymethyltransferase 	cytoplasmic			91			0,07			2			4,8
253771753	transcriptional regulator, TetR family 	cytoplasmic	47		43	0,30		0,14	2		1	12,6		6,3
253772294	Peptidase M23 	outer membrane			89			0,26			3			12
253773326	threonyl-tRNA synthetase 	cytoplasmic	88			0,09			4			5,8		
253772590	transcriptional regulator, XRE family 	unknown	88			0,09			1			3,9		
253773882	3-oxoacyl-(acyl-carrier-protein) synthase 2 	cytoplasmic	41		46	0,08		0,25	1		3	3,4		9,2
253774106	arginine transporter ATP-binding subunit 	cytoplasmic membrane			87			0,26			2			9,9
253773534	TonB-dependent receptor plug 	outer membrane		86			0,11			5			8	
253771861	ribosomal protein L22 	cytoplasmic		84			0,64			3			28,2	
253772256	glycine dehydrogenase 	cytoplasmic			84			0,03			1			1,6
253771921	rod shape-determining protein MreC 	unknown			84			0,17			4			13,1
253773798	GTP-binding protein YchF 	cytoplasmic			84			0,27			4			13,8
253772474	Peptidoglycan-binding LysM 	unknown	82			0,21			1			9,4		
253771941	ribosomal protein S9 	cytoplasmic		82			0,23			2			14,6	
253774379	Peptidoglycan glycosyltransferase 	cytoplasmic membrane		81			0,09			3			4,6	
253774291	protein TolR 	cytoplasmic membrane		81			0,22			2			15,5	
253775594	thioredoxin 	cytoplasmic			81			0,29			1			11
253772899	phosphoesterase PA-phosphatase related 	cytoplasmic membrane		80			0,12			2			7,2	
253772269	lysyl-tRNA synthetase 	cytoplasmic	79			0,06			1			2,4		
253774913	heat shock protein DnaJ domain protein 	cytoplasmic membrane		79			0,23			2			7,4	
253775384	DNA-directed RNA polymerase, beta subunit 	cytoplasmic			79			0,11			7			5,2
253775553	Phospholipase A(2) 	outer membrane			79			0,21			1			4,5
253771988	ATP-dependent metalloprotease FtsH 	cytoplasmic membrane	78			0,20			6			8,1		
253774202	secretion protein HlyD family protein 	cytoplasmic membrane			78			0,19			2			9,6
253773594	uncharacterized lipoprotein YdcL 	unknown			78			0,29			4			17,1
253773140	Ferroxidase 	cytoplasmic	77			0,17			1			7,9		
253775360	isocitrate lyase 	cytoplasmic			77			0,07			1			2,5
253772753	Beta-ketoacyl synthase 	cytoplasmic			77			0,08			1			3,2
253772236	MscS Mechanosensitive ion channel 	cytoplasmic membrane			76			0,11			1			4,2
253772352	serine transporter 	cytoplasmic membrane	75			0,07			2			4,2		
253772369	CTP synthase 	cytoplasmic			75			0,05			2			3,9
253775595	DEAD/DEAH box helicase domain protein 	cytoplasmic			75			0,14			4			10,5
253771526	Three-deoxy-D-manno-octulosonic-acid transferase domain protein 	unknown			75			0,14			2			4,9
253774934	carbamoyl-phosphate synthase, large subunit 	unknown	74			0,06			5			4,5		
253771613	hypothetical protein ECBD_0183 	unknown			74			0,28			2			9,3
253771856	ribosomal protein L3 	cytoplasmic			73			0,15			4			13,9
253775589	lipopolysaccharide biosynthesis protein 	cytoplasmic membrane			72			0,08			1			4
253774447	heavy metal efflux pump, CzcA family 	cytoplasmic membrane			71			0,03			1			1,5
253775430	heat shock protein HslVU, ATPase subunit HslU 	cytoplasmic			71			0,07			2			4,3
253773440	protein of unknown function DUF1471 	unknown			70			0,10			2			7,6
253773826	septum site-determining protein MinD 	cytoplasmic membrane			69			0,11			2			8,1
253771540	2-amino-3-ketobutyrate coenzyme A ligase 	cytoplasmic		68			0,25			3			8,8	
253774780	copper resistance lipoprotein NlpE 	outer membrane			68			0,13			1			5,9
253774067	formate/nitrite transporter 	cytoplasmic membrane	67			0,11			1			3,2		
253774304	2-oxoglutarate dehydrogenase, E1 subunit 	cytoplasmic			67			0,03			2			2,8
253772858	histidine kinase 	cytoplasmic membrane			67			0,03			3			3,6
253773404	tyrosyl-tRNA synthetase 	cytoplasmic			67			0,07			1			2,6
253774545	MscS Mechanosensitive ion channel 	cytoplasmic membrane			66			0,05			4			4,2
253774290	protein TolA 	cytoplasmic			66			0,08			2			5,9
253774537	heat shock protein Hsp90 	cytoplasmic			66			0,09			2			4,5
253771940	ribosomal protein L13 	cytoplasmic			66			0,21			2			12
253771881	DNA-directed RNA polymerase, alpha subunit 	cytoplasmic			66			0,30			5			15,5
253772225	transketolase 	cytoplasmic			65			0,09			3			5,9
253772309	AMP-dependent synthetase and ligase 	cytoplasmic membrane		64			0,08			3			4,2	
253771755	4-alpha-glucanotransferase 	cytoplasmic			64			0,04			1			2
253774372	leucyl-tRNA synthetase 	cytoplasmic			63			0,07			5			5,9
253775137	anaerobic ribonucleoside-triphosphate reductase 	cytoplasmic			63			0,08			3			5,1
253774960	transaldolase 	cytoplasmic			62			0,09			2			9,5
253772820	polysaccharide deacetylase 	cytoplasmic			62			0,10			1			4,4
253774280	Pectinesterase 	outer membrane	61			0,07			1			3		
253772683	PTS system, glucose subfamily, IIA subunit 	cytoplasmic	61			0,19			1			8,3		
253772126	protein of unknown function DUF1190 	periplasmic		61			0,14			2			13,9	
253771709	protein insertion ABC transporter, inner membrane subunit FtsX 	cytoplasmic membrane			61			0,09			1			3,7
253774092	efflux transporter, RND family, MFP subunit 	cytoplasmic membrane	60			0,08			1			2,7		
253771522	ribosomal protein L28 	cytoplasmic	60			0,38			2			19,2		
253775435	glycerol kinase 	cytoplasmic		60			0,06			1			2,2	
253775656	aromatic amino acid transporter 	cytoplasmic membrane			60			0,07			1			3,4
253774845	ABC transporter related 	cytoplasmic membrane	59			0,10			1			4,2		
253775632	ATP synthase F1, gamma subunit 	cytoplasmic membrane	59			0,11			2			6,3		
253772099	ribosomal protein S21 	cytoplasmic		59			0,41			1			11,3	
253775630	ATP synthase F1, delta subunit 	cytoplasmic			59			0,17			1			6,8
253771777	penicillin-binding protein, 1A family 	cytoplasmic membrane	58			0,03			2			2,2		
253772684	phosphoenolpyruvate-protein phosphotransferase 	cytoplasmic	58			0,11			2			3,7		
253771637	cellulose synthase subunit B 	cytoplasmic membrane			58			0,08			3			4,2
253774803	translation elongation factor Ts 	cytoplasmic			58			0,11			3			11,7
253775233	aspartate ammonia-lyase 	cytoplasmic			57			0,06			3			6,9
253772574	cysteine desulfurase IscS 	cytoplasmic			57			0,07			1			3
253771880	ribosomal protein S4 	cytoplasmic			57			0,14			3			12,6
253774811	protease Do 	periplasmic	56			0,14			2			5,7		
253775196	VacB and RNase II family 3'-5' exoribonuclease 	cytoplasmic		56			0,04			6			6,6	
253772947	signal transduction histidine kinase, LytS 	cytoplasmic membrane		56			0,05			1			1,8	
253774009	protein of unknown function DUF307 	cytoplasmic membrane		56			0,21			1			7,4	
253771980	ribosomal protein L21 	cytoplasmic		56			0,30			2			20,4	
253774047	chromosome segregation and condensation protein MukB domain protein 	cytoplasmic			56			0,02			1			0,9
253775370	histone family protein DNA-binding protein 	cytoplasmic			56			0,36			1			14,4
253771774	Intracellular growth attenuator IgaA 	cytoplasmic membrane		55			0,04			1			1,4	
253772159	hypothetical protein ECBD_0736 	cytoplasmic membrane		55						1			6,1	
253773625	hypothetical protein ECBD_2242 	cytoplasmic membrane			55			0,03			1			1,4
253773192	glucose-6-phosphate 1-dehydrogenase 	cytoplasmic			55			0,12			3			5,3
253774410	peroxiredoxin 	cytoplasmic			55			0,16			1			8,6
253774448	efflux transporter, RND family, MFP subunit 	unknown			54			0,07			3			9,3
253772109	SH3 domain protein 	unknown			54			0,15			3			14,1
253773766	UTP-glucose-1-phosphate uridylyltransferase 	cytoplasmic	53			0,10			2			7,9		
253775387	ribosomal protein L1 	cytoplasmic	53			0,14			2			10,7		
253771871	ribosomal protein L6 	cytoplasmic	53			0,18			1			8,5		
253773044	lipopolysaccharide biosynthesis protein 	cytoplasmic membrane			53			0,09			1			3,1
253772586	alpha-2-macroglobulin domain protein 	unknown	52			0,02			1			0,6		
253774581	cytochrome o ubiquinol oxidase, subunit I 	cytoplasmic membrane		52			0,04			2			2,6	
253771862	ribosomal protein S3 	cytoplasmic		52			0,14			2			7,2	
253772780	acetate kinase 	cytoplasmic			52			0,08			1			4,2
253773042	6-phosphogluconate dehydrogenase, decarboxylating 	cytoplasmic	51			0,14			2			5,4		
253771867	ribosomal protein L24 	cytoplasmic	51			0,70			2			20,2		
253773926	glycosyl transferase family 2 	cytoplasmic membrane		51			0,03			5			5,8	
253773189	pyruvate kinase 	cytoplasmic		51			0,13			4			7,9	
253772581	PepB aminopeptidase 	cytoplasmic			51			0,07			1			1,9
253774580	ubiquinol oxidase, subunit II 	cytoplasmic membrane			51			0,09			1			4,4
253771865	ribosomal protein S17 	cytoplasmic			51						2			16,7
253774084	ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydD 	cytoplasmic membrane	50			0,10			2			3,2		
253772907	PTS system, fructose subfamily, IIC subunit 	cytoplasmic membrane		50			0,06			2			3,9	
253773710	short-chain dehydrogenase/reductase SDR 	cytoplasmic membrane		50			0,12			2			8	
253772515	phospholipase D/Transphosphatidylase 	cytoplasmic		50			0,13			2			4,4	
253771882	ribosomal protein L17 	cytoplasmic		50			0,23			2			15,6	
253772500	ribosomal protein L19 	cytoplasmic		50			0,58			2			14,8	
253775405	Phosphoenolpyruvate carboxylase 	cytoplasmic			50			0,03			1			1,4
253773850	spermidine/putrescine ABC transporter ATPase subunit 	cytoplasmic membrane			50			0,08			1			2,4
253775230	chaperonin Cpn10 	cytoplasmic		49						2			28,4	
253771821	ABC transporter related 	cytoplasmic			49			0,05			1			1,7
253771552	FMN-dependent alpha-hydroxy acid dehydrogenase 	cytoplasmic			49			0,08			3			8,6
253771984	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase 	periplasmic			48			0,06			2			3,6
253775428	cell division protein FtsN 	cytoplasmic membrane			48			0,09			1			3,1
253773884	3-oxoacyl-(acyl-carrier-protein) reductase 	cytoplasmic			48			0,13			1			3,7
253772255	glycine cleavage system H protein 	unknown			48			0,19			1			7,3
253772490	SmpA/OmlA domain protein 	outer membrane			48			0,28			1			17,7
253771702	heavy metal translocating P-type ATPase 	cytoplasmic membrane	47			0,04			1			1,4		
253771868	ribosomal protein L5 	cytoplasmic	47			0,17			3			21,2		
253772592	histidyl-tRNA synthetase 	cytoplasmic		47			0,07			1			1,6	
253774640	protein of unknown function DUF1615 	unknown		47			0,08			2			5,8	
253772533	signal peptidase I 	cytoplasmic membrane			47			0,09			1			4,3
253773897	flagellar L-ring protein 	outer membrane			47			0,13			1			5,1
253772444	lytic murein transglycosylase B 	cytoplasmic membrane			47			0,17			3			13,3
253773307	SmpA/OmlA domain protein 	unknown			47			0,28			1			9,8
253772198	Lytic transglycosylase catalytic 	unknown	46			0,08			1			2,8		
253773442	NAD(P)(+) transhydrogenase (AB-specific) 	cytoplasmic membrane		46			0,07			1			1,7	
253773241	outer membrane lipoprotein, Slp family 	outer membrane		46			0,16			1			6,2	
253775383	DNA-directed RNA polymerase, beta' subunit 	cytoplasmic			46			0,02			2			1,4
253774738	aminoacyl-histidine dipeptidase 	cytoplasmic			46			0,06			1			2,3
253772446	recA protein 	cytoplasmic			46			0,08			2			5,8
253771451	heat shock protein Hsp20 	cytoplasmic			46			0,22			1			7,3
253771999	ribosomal protein S15 	cytoplasmic			46			0,34			2			15,7
253774378	protein of unknown function DUF163 	unknown	45			0,19			1			5,8		
253774942	isoleucyl-tRNA synthetase 	cytoplasmic	45						2			1,1		
253775385	ribosomal protein L7/L12 	unknown		45			0,27			1			8,7	
253775198	adenylosuccinate synthetase 	cytoplasmic			45			0,07			1			1,9
253775559	magnesium and cobalt transport protein CorA 	cytoplasmic membrane			45			0,09			2			6,3
253775572	porphobilinogen deaminase 	cytoplasmic			45			0,10			1			2,3
253771860	ribosomal protein S19 	cytoplasmic			45			0,34			2			19,6
253772821	NAD-dependent epimerase/dehydratase 	cytoplasmic	44			0,09			5			6,5		
253772639	transporter, hydrophobe/amphiphile efflux-1 (HAE1) family 	cytoplasmic membrane		44			0,03			1			1	
253774724	protein of unknown function DUF1440 	cytoplasmic membrane		44			0,15			1			7,4	
253771996	translation initiation factor IF-2 	cytoplasmic			44			0,03			3			3,5
253774043	Aspartate transaminase 	cytoplasmic			44			0,08			1			2,8
253773233	L-serine dehydratase 1 	cytoplasmic			44			0,14			5			12,1
253774355	tRNA-i(6)A37 thiotransferase enzyme MiaB 	cytoplasmic	43			0,07			1			1,6		
253775388	ribosomal protein L11 	cytoplasmic	43			0,23			1			5		
253775259	histidine kinase 	cytoplasmic membrane		43			0,08			1			3	
253775229	chaperonin GroEL 	cytoplasmic			43			0,06			4			8,2
253773823	peptidase domain protein 	unknown			43			0,23			2			18,8
253773755	oligopeptide/dipeptide ABC transporter, ATPase subunit 	cytoplasmic membrane	42			0,09			1			3		
253774829	poly(A) polymerase 	cytoplasmic		42			0,13			2			4,3	
253772220	S-adenosylmethionine synthetase 	cytoplasmic			42			0,08			1			2,6
253774374	DNA polymerase III, delta subunit 	cytoplasmic membrane			42			0,08			1			2,9
253773676	hypothetical protein ECBD_2295 	cytoplasmic membrane			42			0,08			1			4,5
253775212	phosphatidylserine decarboxylase 	cytoplasmic membrane			42			0,09			1			3,1
253771965	ABC transporter related 	cytoplasmic membrane			42			0,12			1			5,8
253772319	thymidylate synthase 	cytoplasmic			41			0,11			1			4,9
