Protein name	Protein accession numbers	Protein molecular weight (Da)	Protein identification probability	Number of unique peptides	Number of unique spectra	Number of total spectra	Percentage of total spectra	Percentage sequence coverage
C6EIY7_ECOBD Secretion protein HlyD family protein OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2828 PE=3 SV=1	C6EIY7_ECOBD	36,267.4	100.0%	19	24	31	1.46%	63.7%
C6EIY9_ECOBD ABC-2 type transporter OS=Escherichia coli (strain B / BL21-DE3) GN=ybhS PE=4 SV=1	C6EIY9_ECOBD	42,043.8	60.3%	1	1	1	0.0752%	3.98%
C6EIZ0_ECOBD ABC-2 type transporter OS=Escherichia coli (strain B / BL21-DE3) GN=ybhR PE=4 SV=1	C6EIZ0_ECOBD	41,549.5	50.0%	1	1	1	0.0493%	4.62%
C6EIZ3_ECOBD Cardiolipin synthase 2 OS=Escherichia coli (strain B / BL21-DE3) GN=ybhO PE=4 SV=1	C6EIZ3_ECOBD	47,628.2	50.0%	1	1	1	0.0311%	6.54%
C6EIZ6_ECOBD Predicted inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=ybhL PE=4 SV=1	C6EIZ6_ECOBD	25,885.5	61.0%	1	1	1	0.0351%	3.42%
C6EJ03_ECOBD UvrABC system protein B OS=Escherichia coli (strain B / BL21-DE3) GN=uvrB PE=3 SV=1	C6EJ03_ECOBD	76,210.5	97.7%	1	1	1	0.0444%	0.892%
C6EJ32_ECOBD 2-acyl-glycerophospho-ethanolamine acyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=aas PE=3 SV=1	C6EJ32_ECOBD	80,666.0	100.0%	18	19	22	0.815%	35.3%
C6EJ41_ECOBD Prolipoprotein diacylglyceryl transferase OS=Escherichia coli (strain B / BL21-DE3) GN=lgt PE=3 SV=1	C6EJ41_ECOBD	33,091.4	100.0%	4	5	7	0.263%	25.1%
C6EJ48_ECOBD Peptidase M16 domain protein OS=Escherichia coli (strain B / BL21-DE3) GN=ptr PE=3 SV=1	C6EJ48_ECOBD	107,713.8	100.0%	2	2	2	0.0866%	1.87%
C6EJ50_ECOBD Exodeoxyribonuclease V, alpha subunit OS=Escherichia coli (strain B / BL21-DE3) GN=recD PE=4 SV=1	C6EJ50_ECOBD	66,872.0	50.0%	1	1	1	0.0353%	1.64%
C6EJ52_ECOBD N-acetylmuramoyl-L-alanine amidase OS=Escherichia coli (strain B / BL21-DE3) GN=amiC PE=4 SV=1	C6EJ52_ECOBD	45,616.9	99.8%	2	2	2	0.0795%	6.47%
C6EJ53_ECOBD Membrane-bound lytic murein transglycosylase A OS=Escherichia coli (strain B / BL21-DE3) GN=mltA PE=4 SV=1	C6EJ53_ECOBD	40,393.2	100.0%	4	4	4	0.206%	18.6%
C6EJ57_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ygdI PE=4 SV=1	C6EJ57_ECOBD	8,156.3	69.0%	1	1	1	0.0566%	14.7%
C6EJ58_ECOBD DNA-binding transcriptional dual regulator OS=Escherichia coli (strain B / BL21-DE3) GN=gcvA PE=4 SV=1	C6EJ58_ECOBD	34,384.5	67.7%	1	1	1	0.0748%	4.59%
C6EJ75_ECOBD Predicted serine transporter OS=Escherichia coli (strain B / BL21-DE3) GN=sdaC PE=3 SV=1	C6EJ75_ECOBD	46,890.9	100.0%	5	7	11	0.566%	8.16%
C6EJ79_ECOBD Protein syd OS=Escherichia coli (strain B / BL21-DE3) GN=syd PE=3 SV=1	C6EJ79_ECOBD	20,690.7	50.0%	1	1	1	0.129%	8.29%
C6EJ86_ECOBD Hpt sensor hybrid histidine kinase OS=Escherichia coli (strain B / BL21-DE3) GN=barA PE=3 SV=1	C6EJ86_ECOBD	102,411.1	100.0%	2	2	2	0.102%	3.81%
C6EJ88_ECOBD (P)ppGpp synthetase I, SpoT/RelA OS=Escherichia coli (strain B / BL21-DE3) GN=relA PE=3 SV=1	C6EJ88_ECOBD	83,858.3	99.8%	2	2	2	0.0740%	4.03%
C6EJ92_ECOBD CTP synthase OS=Escherichia coli (strain B / BL21-DE3) GN=pyrG PE=3 SV=1	C6EJ92_ECOBD	60,356.6	100.0%	4	4	4	0.141%	7.52%
C6EJ93_ECOBD Enolase OS=Escherichia coli (strain B / BL21-DE3) GN=eno PE=3 SV=1	C6EJ93_ECOBD	45,638.6	100.0%	8	9	13	0.478%	28.7%
C6EJB9_ECOBD Cell diviision protein FtsB OS=Escherichia coli (strain B / BL21-DE3) GN=ftsB PE=3 SV=1	C6EJB9_ECOBD	11,604.6	99.8%	1	1	1	0.0566%	13.6%
C6EJC5_ECOBD Peptidase M23 OS=Escherichia coli (strain B / BL21-DE3) GN=nlpD PE=4 SV=1	C6EJC5_ECOBD	40,100.7	100.0%	5	5	6	0.238%	13.7%
C6EJF8_ECOBD Bor family protein OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2878 PE=4 SV=1	C6EJF8_ECOBD	10,368.3	99.8%	1	1	1	0.0327%	16.5%
C6EJI5_ECOBD DNA-directed RNA polymerase OS=Escherichia coli (strain B / BL21-DE3) GN=1 PE=4 SV=1	C6EJI5_ECOBD	98,839.2	100.0%	4	4	4	0.148%	6.46%
C6EJI7_ECOBD Transcriptional regulator, LacI family OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2908 PE=4 SV=1	C6EJI7_ECOBD	38,884.1	100.0%	24	29	40	1.59%	62.3%
C6EJI8_ECOBD Pectinesterase OS=Escherichia coli (strain B / BL21-DE3) GN=ybhC PE=3 SV=1	C6EJI8_ECOBD	46,077.9	100.0%	4	4	4	0.159%	14.3%
C6EJI9_ECOBD 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase OS=Escherichia coli (strain B / BL21-DE3) GN=gpmA PE=3 SV=1	C6EJI9_ECOBD	28,539.2	100.0%	7	7	7	0.246%	32.0%
C6EJJ5_ECOBD Putative uncharacterized protein ybgF OS=Escherichia coli (strain B / BL21-DE3) GN=ybgF PE=4 SV=1	C6EJJ5_ECOBD	28,244.8	100.0%	4	5	6	0.296%	19.0%
C6EJJ6_ECOBD Peptidoglycan-associated lipoprotein OS=Escherichia coli (strain B / BL21-DE3) GN=pal PE=3 SV=1	C6EJJ6_ECOBD	18,806.5	100.0%	10	11	11	0.488%	60.7%
C6EJJ7_ECOBD Protein tolB OS=Escherichia coli (strain B / BL21-DE3) GN=tolB PE=3 SV=1	C6EJJ7_ECOBD	45,937.1	100.0%	8	8	9	0.358%	27.0%
C6EJJ8_ECOBD Cell envelope integrity inner membrane protein TolA OS=Escherichia coli (strain B / BL21-DE3) GN=tolA PE=4 SV=1	C6EJJ8_ECOBD	43,140.4	100.0%	13	16	17	0.583%	29.7%
C6EJJ9_ECOBD Membrane spanning protein in TolA-TolQ-TolR complex OS=Escherichia coli (strain B / BL21-DE3) GN=tolR PE=3 SV=1	C6EJJ9_ECOBD	15,364.1	100.0%	4	4	5	0.328%	33.1%
C6EJK0_ECOBD Membrane spanning protein in TolA-TolQ-TolR complex OS=Escherichia coli (strain B / BL21-DE3) GN=tolQ PE=3 SV=1	C6EJK0_ECOBD	25,581.0	100.0%	9	11	12	0.727%	41.3%
C6EJK4_ECOBD Cytochrome d terminal oxidase, subunit II OS=Escherichia coli (strain B / BL21-DE3) GN=cydB PE=4 SV=1	C6EJK4_ECOBD	42,436.1	100.0%	6	7	10	0.493%	10.6%
C6EJK5_ECOBD Cytochrome bd ubiquinol oxidase subunit I OS=Escherichia coli (strain B / BL21-DE3) GN=cydA PE=4 SV=1	C6EJK5_ECOBD	58,189.4	100.0%	24	32	44	1.62%	34.9%
C6EJK9_ECOBD Succinyl-CoA ligase [ADP-forming] subunit alpha OS=Escherichia coli (strain B / BL21-DE3) GN=sucD PE=3 SV=1	C6EJK9_ECOBD	29,759.8	100.0%	3	3	3	0.224%	8.65%
C6EJL0_ECOBD Succinyl-CoA ligase [ADP-forming] subunit beta OS=Escherichia coli (strain B / BL21-DE3) GN=sucC PE=3 SV=1	C6EJL0_ECOBD	41,374.7	100.0%	3	3	3	0.119%	9.79%
C6EJL1_ECOBD 2-oxoglutarate dehydrogenase, E2 subunit, dihydrolipoamide succinyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=sucB PE=3 SV=1	C6EJL1_ECOBD	43,994.1	100.0%	5	5	5	0.163%	17.0%
C6EJL2_ECOBD 2-oxoglutarate dehydrogenase, E1 subunit OS=Escherichia coli (strain B / BL21-DE3) GN=sucA PE=4 SV=1	C6EJL2_ECOBD	105,043.9	50.0%	1	1	1	0.0498%	1.39%
C6EJL3_ECOBD Succinate dehydrogenase and fumarate reductase iron-sulfur protein OS=Escherichia coli (strain B / BL21-DE3) GN=sdhB PE=4 SV=1	C6EJL3_ECOBD	26,709.0	100.0%	15	17	20	0.752%	72.7%
C6EJL4_ECOBD Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli (strain B / BL21-DE3) GN=sdhA PE=4 SV=1	C6EJL4_ECOBD	64,403.9	100.0%	27	31	42	1.48%	48.3%
C6EJL5_ECOBD Succinate dehydrogenase cytochrome b556 small membrane subunit OS=Escherichia coli (strain B / BL21-DE3) GN=sdhD PE=4 SV=1	C6EJL5_ECOBD	12,849.6	99.8%	2	2	2	0.103%	8.70%
C6EJL6_ECOBD Succinate dehydrogenase, cytochrome b556 subunit OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2939 PE=4 SV=1	C6EJL6_ECOBD	14,930.4	54.3%	1	1	1	0.0515%	8.96%
C6EJL8_ECOBD Citrate synthase OS=Escherichia coli (strain B / BL21-DE3) GN=gltA PE=3 SV=1	C6EJL8_ECOBD	47,998.8	100.0%	1	1	1	0.0629%	4.22%
C6EJN8_ECOBD Potassium-transporting ATPase C chain OS=Escherichia coli (strain B / BL21-DE3) GN=kdpC PE=3 SV=1	C6EJN8_ECOBD	20,409.7	99.8%	1	1	1	0.0606%	6.84%
C6EJN9_ECOBD Osmosensitive K channel His kinase sensor OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2965 PE=4 SV=1	C6EJN9_ECOBD	98,658.8	100.0%	4	4	5	0.185%	6.49%
C6EJQ6_ECOBD Fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components OS=Escherichia coli (strain B / BL21-DE3) GN=nagE PE=4 SV=1	C6EJQ6_ECOBD	68,300.4	100.0%	20	25	36	1.27%	38.7%
C6EJT0_ECOBD Lytic murein transglycosylase B OS=Escherichia coli (strain B / BL21-DE3) GN=mltB PE=4 SV=1	C6EJT0_ECOBD	40,308.2	100.0%	1	1	1	0.0515%	3.88%
C6EJT4_ECOBD Alanyl-tRNA synthetase OS=Escherichia coli (strain B / BL21-DE3) GN=alaS PE=3 SV=1	C6EJT4_ECOBD	96,014.7	100.0%	6	6	7	0.303%	10.6%
C6EJU1_ECOBD Efflux pump membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=emrA PE=4 SV=1	C6EJU1_ECOBD	42,704.0	100.0%	17	18	22	0.874%	52.6%
C6EJU4_ECOBD AzlC family protein OS=Escherichia coli (strain B / BL21-DE3) GN=ygaZ PE=4 SV=1	C6EJU4_ECOBD	26,090.5	63.6%	1	1	1	0.0606%	7.76%
C6EJU6_ECOBD Glycine betaine transporter subunit OS=Escherichia coli (strain B / BL21-DE3) GN=proX PE=4 SV=1	C6EJU6_ECOBD	36,027.9	100.0%	3	4	4	0.197%	15.2%
C6EJU7_ECOBD Binding-protein-dependent transport systems inner membrane component OS=Escherichia coli (strain B / BL21-DE3) GN=proW PE=3 SV=1	C6EJU7_ECOBD	37,602.7	99.8%	2	2	2	0.150%	7.06%
C6EJV7_ECOBD Predicted inner membrane protein with hydrolase activity OS=Escherichia coli (strain B / BL21-DE3) GN=ygaP PE=4 SV=1	C6EJV7_ECOBD	18,649.8	100.0%	3	4	4	0.206%	14.9%
C6EJW0_ECOBD Peptidoglycan-binding LysM OS=Escherichia coli (strain B / BL21-DE3) GN=ygaU PE=4 SV=1	C6EJW0_ECOBD	16,018.4	100.0%	9	10	10	0.655%	72.5%
C6EJX6_ECOBD SmpA/OmlA domain protein OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_1070 PE=4 SV=1	C6EJX6_ECOBD	12,284.0	99.8%	2	3	3	0.170%	48.7%
C6EJX9_ECOBD Protein grpE OS=Escherichia coli (strain B / BL21-DE3) GN=grpE PE=3 SV=1	C6EJX9_ECOBD	21,793.9	64.5%	1	1	1	0.0405%	4.06%
C6EJY0_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_1074 PE=4 SV=1	C6EJY0_ECOBD	47,110.8	100.0%	13	16	23	0.752%	35.2%
C6EJY1_ECOBD Cytochrome c assembly protein OS=Escherichia coli (strain B / BL21-DE3) GN=ypjD PE=4 SV=1	C6EJY1_ECOBD	32,113.0	63.6%	1	1	1	0.0606%	5.21%
C6EJY2_ECOBD Signal Recognition Particle (SRP) component with 4.5S RNA (Ffs) OS=Escherichia coli (strain B / BL21-DE3) GN=ffh PE=4 SV=1	C6EJY2_ECOBD	49,770.3	100.0%	6	6	8	0.294%	20.1%
C6EJY3_ECOBD 30S ribosomal protein S16 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsP PE=3 SV=1	C6EJY3_ECOBD	9,172.6	71.3%	1	1	1	0.0907%	13.4%
C6EJY6_ECOBD 50S ribosomal protein L19 OS=Escherichia coli (strain B / BL21-DE3) GN=rplS PE=3 SV=1	C6EJY6_ECOBD	13,115.0	100.0%	5	6	7	0.396%	33.0%
C6EJZ4_ECOBD Cold shock protein associated with 30S ribosomal subunit OS=Escherichia coli (strain B / BL21-DE3) GN=yfiA PE=4 SV=1	C6EJZ4_ECOBD	12,766.7	69.0%	1	1	1	0.0566%	15.0%
C6EJZ5_ECOBD Outer membrane assembly lipoprotein YfiO OS=Escherichia coli (strain B / BL21-DE3) GN=yfiO PE=4 SV=1	C6EJZ5_ECOBD	27,812.3	100.0%	19	23	37	1.39%	81.6%
C6EJZ8_ECOBD ATP-dependent chaperone ClpB OS=Escherichia coli (strain B / BL21-DE3) GN=clpB PE=3 SV=1	C6EJZ8_ECOBD	95,569.9	55.5%	1	1	1	0.0508%	1.17%
C6EJZ9_ECOBD Alpha-ketoglutarate transporter OS=Escherichia coli (strain B / BL21-DE3) GN=kgtP PE=4 SV=1	C6EJZ9_ECOBD	47,036.0	100.0%	3	3	3	0.154%	8.56%
C6EK01_ECOBD Phosphatidylserine synthase OS=Escherichia coli (strain B / BL21-DE3) GN=pssA PE=4 SV=1	C6EK01_ECOBD	52,786.2	100.0%	12	13	14	0.458%	35.3%
C6EK05_ECOBD Predicted methyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=yfiF PE=4 SV=1	C6EK05_ECOBD	37,765.8	100.0%	3	3	3	0.141%	18.8%
C6EK10_ECOBD ATP-dependent RNA helicase OS=Escherichia coli (strain B / BL21-DE3) GN=srmB PE=3 SV=1	C6EK10_ECOBD	49,881.4	99.8%	2	2	2	0.0740%	5.18%
C6EK14_ECOBD RNA polymerase sigma factor OS=Escherichia coli (strain B / BL21-DE3) GN=rpoE PE=3 SV=1	C6EK14_ECOBD	21,678.1	100.0%	6	6	6	0.226%	39.3%
C6EK15_ECOBD Anti sigma-E protein, RseA OS=Escherichia coli (strain B / BL21-DE3) GN=rseA PE=4 SV=1	C6EK15_ECOBD	24,302.4	99.9%	2	2	2	0.0810%	18.1%
C6EK16_ECOBD Periplasmic negative regulator of sigmaE OS=Escherichia coli (strain B / BL21-DE3) GN=rseB PE=4 SV=1	C6EK16_ECOBD	35,732.9	100.0%	6	7	9	0.443%	25.8%
C6EK18_ECOBD GTP-binding protein lepA OS=Escherichia coli (strain B / BL21-DE3) GN=lepA PE=3 SV=1	C6EK18_ECOBD	66,553.7	100.0%	4	5	5	0.185%	10.5%
C6EK19_ECOBD Signal peptidase I OS=Escherichia coli (strain B / BL21-DE3) GN=lepB PE=3 SV=1	C6EK19_ECOBD	35,929.0	100.0%	18	24	25	1.29%	51.5%
C6EK28_ECOBD HAD superfamily (Subfamily IF) hydrolase, YfhB OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_1122 PE=4 SV=1	C6EK28_ECOBD	24,422.2	80.7%	1	1	1	0.132%	4.74%
C6EK34_ECOBD Isopentenyl-adenosine A37 tRNA methylthiolase OS=Escherichia coli (strain B / BL21-DE3) GN=yleA PE=3 SV=1	C6EK34_ECOBD	53,645.9	56.2%	1	1	1	0.0669%	2.32%
C6EK35_ECOBD PhoH family protein OS=Escherichia coli (strain B / BL21-DE3) GN=ybeZ PE=4 SV=1	C6EK35_ECOBD	40,637.8	99.8%	1	1	1	0.0463%	3.90%
C6EK38_ECOBD Apolipoprotein N-acyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=lnt PE=3 SV=1	C6EK38_ECOBD	57,003.8	100.0%	20	22	27	0.994%	42.0%
C6EK40_ECOBD Extracellular solute-binding protein family 3 OS=Escherichia coli (strain B / BL21-DE3) GN=gltI PE=4 SV=1	C6EK40_ECOBD	33,358.3	100.0%	10	10	13	0.640%	35.8%
C6EK41_ECOBD Glutamate and aspartate transporter subunit OS=Escherichia coli (strain B / BL21-DE3) GN=gltJ PE=3 SV=1	C6EK41_ECOBD	27,485.9	99.8%	2	2	2	0.121%	11.4%
C6EK52_ECOBD Minor lipoprotein OS=Escherichia coli (strain B / BL21-DE3) GN=rlpB PE=4 SV=1	C6EK52_ECOBD	21,339.2	100.0%	6	7	8	0.355%	33.2%
C6EK58_ECOBD Peptidoglycan glycosyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=mrdA PE=4 SV=1	C6EK58_ECOBD	70,840.1	100.0%	16	17	20	0.706%	37.3%
C6EK59_ECOBD Cell cycle protein OS=Escherichia coli (strain B / BL21-DE3) GN=mrdB PE=4 SV=1	C6EK59_ECOBD	40,459.9	100.0%	3	3	3	0.148%	10.8%
C6EK60_ECOBD Minor lipoprotein OS=Escherichia coli (strain B / BL21-DE3) GN=rlpA PE=3 SV=1	C6EK60_ECOBD	37,481.6	100.0%	6	6	8	0.318%	34.8%
C6EK61_ECOBD Beta-lactamase OS=Escherichia coli (strain B / BL21-DE3) GN=dacA PE=3 SV=1	C6EK61_ECOBD	44,427.5	100.0%	27	30	44	1.75%	70.2%
C6EK65_ECOBD Lipoic acid synthetase OS=Escherichia coli (strain B / BL21-DE3) GN=lipA PE=3 SV=1	C6EK65_ECOBD	36,054.1	50.0%	1	1	1	0.0515%	6.85%
C6EK66_ECOBD Twin arginine translocase protein E OS=Escherichia coli (strain B / BL21-DE3) GN=tatE PE=3 SV=1	C6EK66_ECOBD	7,064.8	100.0%	2	2	2	0.113%	31.3%
C6EK83_ECOBD Enterobacter ribonuclease OS=Escherichia coli (strain B / BL21-DE3) GN=rna PE=3 SV=1	C6EK83_ECOBD	29,600.3	100.0%	2	2	2	0.135%	8.96%
C6EK89_ECOBD Alkyl hydroperoxide reductase, C22 subunit OS=Escherichia coli (strain B / BL21-DE3) GN=ahpC PE=4 SV=1	C6EK89_ECOBD	20,743.9	63.6%	1	1	1	0.0606%	8.56%
C6EK90_ECOBD Disulfide isomerase/thiol-disulfide oxidase OS=Escherichia coli (strain B / BL21-DE3) GN=dsbG PE=4 SV=1	C6EK90_ECOBD	28,068.9	99.7%	1	1	1	0.0376%	5.14%
C6EKB2_ECOBD Iron-enterobactin outer membrane transporter OS=Escherichia coli (strain B / BL21-DE3) GN=fepA PE=3 SV=1	C6EKB2_ECOBD	82,091.2	100.0%	4	4	5	0.217%	8.31%
C6EKC4_ECOBD MscS Mechanosensitive ion channel OS=Escherichia coli (strain B / BL21-DE3) GN=ybdG PE=4 SV=1	C6EKC4_ECOBD	46,617.2	100.0%	16	16	18	0.715%	34.5%
C6EKD1_ECOBD Heavy metal sensor signal transduction histidine kinase OS=Escherichia coli (strain B / BL21-DE3) GN=cusS PE=3 SV=1	C6EKD1_ECOBD	54,034.5	100.0%	3	3	3	0.110%	9.75%
C6EKD4_ECOBD Bor family protein OS=Escherichia coli (strain B / BL21-DE3) GN=ybcU PE=4 SV=1	C6EKD4_ECOBD	10,396.0	50.0%	1	1	1	0.0327%	16.5%
C6EKF1_ECOBD Histidine kinase OS=Escherichia coli (strain B / BL21-DE3) GN=yfhK PE=3 SV=1	C6EKF1_ECOBD	53,290.3	100.0%	8	8	8	0.261%	24.6%
C6EKF6_ECOBD Serine hydroxymethyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=glyA PE=3 SV=1	C6EKF6_ECOBD	45,298.7	100.0%	3	3	3	0.226%	6.71%
C6EKH1_ECOBD Phenyl proprionate permease family protein OS=Escherichia coli (strain B / BL21-DE3) GN=hcaT PE=4 SV=1	C6EKH1_ECOBD	41,636.1	64.3%	1	1	1	0.0460%	1.85%
C6EKH4_ECOBD Inositol monophosphatase OS=Escherichia coli (strain B / BL21-DE3) GN=suhB PE=4 SV=1	C6EKH4_ECOBD	29,154.8	99.8%	1	1	1	0.0748%	4.87%
C6EKH6_ECOBD DNA-binding transcriptional repressor OS=Escherichia coli (strain B / BL21-DE3) GN=iscR PE=3 SV=1	C6EKH6_ECOBD	17,318.7	54.3%	1	1	1	0.0515%	13.6%
C6EKH7_ECOBD Cysteine desulfurase OS=Escherichia coli (strain B / BL21-DE3) GN=iscS PE=3 SV=1	C6EKH7_ECOBD	45,072.7	99.8%	1	1	1	0.0397%	2.97%
C6EKH8_ECOBD FeS cluster assembly scaffold IscU OS=Escherichia coli (strain B / BL21-DE3) GN=iscU PE=4 SV=1	C6EKH8_ECOBD	13,830.9	56.2%	1	1	1	0.0669%	8.59%
C6EKH9_ECOBD Iron-binding protein iscA OS=Escherichia coli (strain B / BL21-DE3) GN=iscA PE=3 SV=1	C6EKH9_ECOBD	11,537.9	69.0%	1	1	1	0.0566%	10.3%
C6EKI9_ECOBD Alpha-2-macroglobulin domain protein OS=Escherichia coli (strain B / BL21-DE3) GN=yfhM PE=4 SV=1	C6EKI9_ECOBD	181,515.5	100.0%	15	15	15	0.555%	12.6%
C6EKJ2_ECOBD Ribosomal RNA large subunit methyltransferase N OS=Escherichia coli (strain B / BL21-DE3) GN=yfgB PE=3 SV=1	C6EKJ2_ECOBD	43,068.0	53.8%	1	1	1	0.0629%	2.34%
C6EKJ3_ECOBD Putative uncharacterized protein yfgA OS=Escherichia coli (strain B / BL21-DE3) GN=yfgA PE=4 SV=1	C6EKJ3_ECOBD	36,154.4	100.0%	22	31	39	1.27%	46.6%
C6EKJ4_ECOBD 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase OS=Escherichia coli (strain B / BL21-DE3) GN=ispG PE=3 SV=1	C6EKJ4_ECOBD	40,666.1	100.0%	3	3	3	0.119%	10.5%
C6EKJ6_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yfgM PE=4 SV=1	C6EKJ6_ECOBD	22,158.4	100.0%	13	16	35	1.55%	81.6%
C6EKJ7_ECOBD Outer membrane assembly lipoprotein YfgL OS=Escherichia coli (strain B / BL21-DE3) GN=yfgL PE=4 SV=1	C6EKJ7_ECOBD	41,838.8	100.0%	8	8	9	0.423%	24.7%
C6EKK6_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yfgG PE=4 SV=1	C6EKK6_ECOBD	7,443.6	99.8%	1	1	1	0.0515%	23.8%
C6EKL7_ECOBD Peptidase M48 Ste24p OS=Escherichia coli (strain B / BL21-DE3) GN=yfgC PE=3 SV=1	C6EKL7_ECOBD	53,892.0	100.0%	2	2	2	0.0890%	2.87%
C6EKL8_ECOBD Predicted inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=perM PE=4 SV=1	C6EKL8_ECOBD	39,177.9	100.0%	3	3	3	0.105%	12.2%
C6EKN4_ECOBD Lipoprotein OS=Escherichia coli (strain B / BL21-DE3) GN=nlpB PE=4 SV=1	C6EKN4_ECOBD	36,824.3	100.0%	16	19	32	1.65%	70.6%
C6EKN5_ECOBD Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Escherichia coli (strain B / BL21-DE3) GN=purC PE=3 SV=1	C6EKN5_ECOBD	26,978.0	68.1%	1	1	1	0.0405%	5.06%
C6EKN6_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ypfJ PE=4 SV=1	C6EKN6_ECOBD	31,441.9	100.0%	4	4	4	0.197%	16.0%
C6EKP2_ECOBD Aminoglycoside/multidrug efflux system OS=Escherichia coli (strain B / BL21-DE3) GN=acrD PE=4 SV=1	C6EKP2_ECOBD	113,031.5	100.0%	6	6	6	0.206%	5.30%
C6EKR9_ECOBD N-acetylmuramoyl-L-alanine amidase OS=Escherichia coli (strain B / BL21-DE3) GN=amiA PE=4 SV=1	C6EKR9_ECOBD	31,395.1	67.7%	1	1	1	0.0748%	4.15%
C6EKS2_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yfeY PE=4 SV=1	C6EKS2_ECOBD	20,952.0	99.8%	2	2	2	0.0887%	22.0%
C6EKS4_ECOBD N-acetylmuramic acid phosphotransfer permease OS=Escherichia coli (strain B / BL21-DE3) GN=yfeV PE=4 SV=1	C6EKS4_ECOBD	49,813.1	100.0%	3	3	3	0.119%	11.2%
C6EKU1_ECOBD Peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain B / BL21-DE3) GN=ppiB PE=3 SV=1	C6EKU1_ECOBD	18,135.2	75.1%	1	1	2	0.0814%	4.27%
C6EKW8_ECOBD Predicted inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=ybbP PE=4 SV=1	C6EKW8_ECOBD	89,259.9	100.0%	6	6	12	0.520%	15.3%
C6EKX0_ECOBD Lysophospholipase OS=Escherichia coli (strain B / BL21-DE3) GN=tesA PE=4 SV=1	C6EKX0_ECOBD	23,605.0	99.8%	1	1	1	0.0724%	5.77%
C6EKX1_ECOBD Short-chain dehydrogenase/reductase SDR OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_3163 PE=4 SV=1	C6EKX1_ECOBD	28,009.0	100.0%	8	9	11	0.542%	39.5%
C6EKX3_ECOBD Predicted inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=ybbM PE=4 SV=1	C6EKX3_ECOBD	28,148.4	100.0%	1	1	1	0.0606%	4.25%
C6EKX5_ECOBD Band 7 protein OS=Escherichia coli (strain B / BL21-DE3) GN=ybbK PE=4 SV=1	C6EKX5_ECOBD	33,725.9	100.0%	4	4	4	0.178%	22.6%
C6EKX6_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_3168 PE=4 SV=1	C6EKX6_ECOBD	16,916.8	99.8%	1	1	3	0.115%	7.24%
C6EKY0_ECOBD Copper transporter OS=Escherichia coli (strain B / BL21-DE3) GN=copA PE=4 SV=1	C6EKY0_ECOBD	87,855.3	100.0%	14	15	17	0.736%	27.2%
C6EKY2_ECOBD GumN family protein OS=Escherichia coli (strain B / BL21-DE3) GN=ybaP PE=4 SV=1	C6EKY2_ECOBD	29,885.5	50.0%	1	1	1	0.0493%	5.30%
C6EKY4_ECOBD 5'-Nucleotidase domain protein OS=Escherichia coli (strain B / BL21-DE3) GN=ushA PE=3 SV=1	C6EKY4_ECOBD	60,807.0	100.0%	5	5	5	0.176%	10.2%
C6EKY5_ECOBD Major facilitator superfamily MFS_1 OS=Escherichia coli (strain B / BL21-DE3) GN=fsr PE=4 SV=1	C6EKY5_ECOBD	43,263.9	50.0%	1	1	1	0.0515%	4.43%
