Accession	Biological Process (Uniprot)
B1XF58	biotin biosynthetic process
B1X6S6	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P14081	translation
P77400	amino acid transport|transport
P08400	transport|phosphate transport|two-component signal transduction system (phosphorelay)|phosphorylation
C4ZXX6	oxidation-reduction process
P37344	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
P24218	DNA integration|DNA recombination
C5A0R9	coenzyme A biosynthetic process|phosphorylation
P0AES0	metabolic process
B1XAA0	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P75825	oxidation-reduction process
P0ADE8	tRNA processing
P37760	oxidation-reduction process|extracellular polysaccharide biosynthetic process|lipopolysaccharide biosynthetic process
P0ACC7	regulation of cell shape|peptidoglycan biosynthetic process|metabolic process|cellular cell wall organization
P28903	oxidation-reduction process
P37746	transport|lipopolysaccharide biosynthetic process
P32125	Mo-molybdopterin cofactor biosynthetic process
P37596	oxidation-reduction process
P75797	transport
P30178	oxidation-reduction process
B1X9Q5	phosphorylation
P0A927	transport|ion transport
C4ZSQ2	transport
P0AB40	response to stress
P60061	amino acid transport|transport
C4ZUK0	tRNA processing
B1XG10	phosphorylation
B1X9B3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AFE8	oxidation-reduction process
C4ZVS5	glycolysis|phosphorylation
C4ZUE3	methylation|rRNA processing
P77744	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZW27	transport
C4ZTX2	riboflavin biosynthetic process
B1X634	pyridine nucleotide biosynthetic process|NAD biosynthetic process
P20966	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
C4ZZW3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XFR1	nucleotide biosynthetic process|phosphorylation
C4ZYX2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X907	phosphorylation
B1XEB5	carbohydrate transport|transport
P0AFU2	transport
Q47157	DNA repair|SOS response|response to DNA damage stimulus|response to stress
C4ZTJ8	protein folding
B1X9A2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P25535	oxidation-reduction process
C4ZW73	phosphorylation
C4ZZ10	transport|proton transport|ion transport|ATP biosynthetic process
P27250	oxidation-reduction process
B1XAT5	transport
P45530	tRNA processing
B1XEV8	transport
P76016	regulation of transcription, DNA-dependent|glycerol metabolic process|transcription, DNA-dependent
P26281	folic acid biosynthetic process|phosphorylation
C5A132	ubiquinone biosynthetic process
P69808	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P06709	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XG69	tRNA processing
B1XFQ1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XES9	transport
B1XG54	glycogen biosynthetic process
B1X8S6	oxidation-reduction process
C4ZW26	transport
P0AC75	lipopolysaccharide biosynthetic process
C4ZV71	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XBF5	metabolic process
P0A993	carbohydrate metabolic process|metabolic process
B1XG46	riboflavin biosynthetic process
B1XBZ0	transcription, DNA-dependent
C4ZTW8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X7Y1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZSR8	methylation|rRNA processing
B1XAR5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XAF5	oxidation-reduction process
C4ZYD8	glycolysis|phosphorylation
P31675	carbohydrate transport|transport
P0AFB8	nitrogen fixation|transcription, DNA-dependent|regulation of transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
P33940	oxidation-reduction process|tricarboxylic acid cycle
C4ZU62	two-component signal transduction system (phosphorelay)|phosphorylation
P16432	transport|electron transport chain
B1X6B4	methylation|DNA restriction-modification system
P0A6W5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0CE64	transposition|DNA recombination
P36938	glucose metabolic process|carbohydrate metabolic process
P77329	oxidation-reduction process
B1X797	glucose metabolic process|carbohydrate metabolic process
P0ABM1	cytochrome complex assembly|transport
C4ZTG2	queuosine biosynthetic process
B1XG19	transcription, DNA-dependent|regulation of transcription, DNA-dependent|DNA recombination|regulation of translation
C4ZRP7	porphyrin biosynthetic process
P21515	lipid biosynthetic process|fatty acid biosynthetic process
C5A0A0	cell division
P69801	transport|carbohydrate transport|phosphoenolpyruvate-dependent sugar phosphotransferase system
B1X969	DNA repair|response to DNA damage stimulus|metabolic process
P76423	thiamine biosynthetic process|phosphorylation
P56979	DNA integration|transcription, DNA-dependent|regulation of transcription, DNA-dependent|DNA recombination
P0AEM6	transcription, DNA-dependent|regulation of transcription, DNA-dependent
C4ZT41	oxidation-reduction process
P16689	phosphonate transport
C4ZSZ5	methylation
D0VEX0	lipid biosynthetic process|fatty acid biosynthetic process
P0ABJ6	oxidation-reduction process|transport|electron transport chain
P23849	transport|potassium ion transport|ion transport
Q47622	transport|protein transport|peptide transport
P0ACZ4	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
B1XD35	cellular amino acid biosynthetic process|lysine biosynthetic process|diaminopimelate biosynthetic process
P33129	transport|response to stress
C4ZSS6	isoprenoid biosynthetic process
C4ZQS5	oxidation-reduction process
P77156	transport
C4ZVN3	fatty acid metabolic process|lipid catabolic process|lipid metabolic process
C4ZY34	transport
C4ZWC6	pyridine nucleotide biosynthetic process|NAD biosynthetic process
P50465	DNA repair|response to DNA damage stimulus|metabolic process
B1X9R1	transport|ion transport
P36979	response to antibiotic|methylation|rRNA processing
P37772	transport
B1XG02	oxidation-reduction process
B1XA79	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P15029	transport|ion transport|iron ion homeostasis
P0CF41	transposition|DNA recombination
P0CF42	transposition|DNA recombination
C4ZTQ0	transport|protein transport
P0A6F1	cellular amino acid biosynthetic process|arginine biosynthetic process|glutamine metabolic process|pyrimidine nucleotide biosynthetic process
P37355	menaquinone biosynthetic process
P39161	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P31122	carbohydrate transport|transport
C4ZWE8	tRNA modification
C5A1G1	DNA repair|response to DNA damage stimulus
C5A1A4	two-component signal transduction system (phosphorelay)|phosphorylation
P0CE52	transposition|DNA recombination
P37195	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZX46	cellular amino acid biosynthetic process|lysine biosynthetic process|diaminopimelate biosynthetic process
B1XEI1	chromosome segregation|DNA integration|cell cycle|cell division|DNA recombination|transposition, DNA-mediated
C4ZZN5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P63340	transport
B1XF99	spermidine biosynthetic process|polyamine biosynthetic process|putrescine biosynthetic process
P39304	carbohydrate metabolic process
C4ZUX7	oxidation-reduction process|cellular amino acid biosynthetic process|one-carbon metabolic process|methionine biosynthetic process|purine nucleotide biosynthetic process|histidine biosynthetic process|metabolic process
C4ZSE8	phosphorylation
C4ZSA9	oxidation-reduction process|cellular amino acid biosynthetic process|histidine biosynthetic process
B1XG98	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZUA6	menaquinone biosynthetic process
B1X8X8	menaquinone biosynthetic process
P0AAH0	transport|phosphate transport
P39370	carbohydrate metabolic process
B1XBF7	glutamine metabolic process|pyrimidine nucleotide biosynthetic process
B1XFK8	two-component signal transduction system (phosphorelay)
C4ZYZ7	xylan catabolic process
P77561	oxidation-reduction process
C5A0G1	isoprenoid biosynthetic process
P25737	amino acid transport|transport
P0CE54	transposition|DNA recombination
B1X8X0	lipid A biosynthetic process|lipid biosynthetic process|lipopolysaccharide biosynthetic process
B1X974	nucleotide metabolic process
P0AER5	amino acid transport|transport
P07004	oxidation-reduction process|cellular amino acid biosynthetic process|proline biosynthetic process
P37637	response to antibiotic|transport
P76037	amino acid transport|transport
P0A6C1	DNA repair|response to DNA damage stimulus
P77735	oxidation-reduction process
P0A9J8	cellular amino acid biosynthetic process|L-phenylalanine biosynthetic process|aromatic amino acid family biosynthetic process|metabolic process
P0AFB1	cell cycle|cell division
P16456	phosphorylation
C4ZV10	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P06968	nucleotide metabolic process
C4ZR85	response to stress
B1XB85	pentose-phosphate shunt|gluconeogenesis|glycolysis
C4ZS93	barrier septum formation|cell cycle|cell division
P0AGG4	oxidation-reduction process|transport|electron transport chain
P36683	tricarboxylic acid cycle
P54745	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
B1XAL6	phosphorylation
P37767	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XED5	transport
C4ZSQ9	translational initiation|translation
P0A9R4	transport|electron transport chain
C4ZTI7	oxidation-reduction process
B1X6W0	cellular amino acid biosynthetic process|glutamine metabolic process|histidine biosynthetic process
P39400	oxidation-reduction process
C4ZZ74	chromosome segregation|DNA integration|cell cycle|cell division|DNA recombination
P69506	response to stress
C5A0E2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P68699	transport|proton transport|ion transport|ATP biosynthetic process
B1XA88	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P00963	cellular amino acid biosynthetic process|asparagine biosynthetic process
P76213	DNA repair|SOS response|response to DNA damage stimulus
C4ZQ05	cell division
B1XA34	transport
B1XFH7	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AEL8	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
P69488	protein homooligomerization
P77300	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C5A0S8	transcription, DNA-dependent
P02924	carbohydrate transport|transport
P27306	oxidation-reduction process
P0ADY1	protein folding|response to stress
B1XA04	lipid biosynthetic process|fatty acid biosynthetic process
C4ZQQ1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P09377	transcription, DNA-dependent|regulation of transcription, DNA-dependent|rhamnose metabolic process
P77634	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P17445	oxidation-reduction process|response to stress
P62707	glycolysis
P03841	carbohydrate transport|transport
B1X6M6	phosphorylation
C4ZZN0	protein modification process
P80645	oxidation-reduction process
P25553	oxidation-reduction process
P23917	carbohydrate metabolic process|phosphorylation
B1XCS3	isoprenoid biosynthetic process
P0AEW9	phosphorylation
P03960	transport|potassium ion transport|ion transport
C5A071	rhamnose metabolic process
P06616	ribosomal small subunit biogenesis|protein phosphorylation|ribosome biogenesis
P0CF12	transposition|DNA recombination
P0AGI4	carbohydrate transport|transport
P15081	transcription, DNA-dependent|regulation of transcription, DNA-dependent|phosphoenolpyruvate-dependent sugar phosphotransferase system
C4ZRP2	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
B1XCK5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X8L4	oxidation-reduction process
P06136	barrier septum formation|cell cycle|cell division
B1XBP3	transport
P13959	plasmid maintenance|regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZU12	metabolic process
B1XDP2	metabolic process
B1XAP9	isoprenoid biosynthetic process|phosphorylation
P0AFG0	transcription, DNA-dependent|regulation of transcription, DNA-dependent|transcription antitermination|transcription termination, DNA-dependent
P0C093	regulation of transcription, DNA-dependent|transcription, DNA-dependent|cell cycle|cell division
B1XES4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X7W2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C5A0V3	glyoxylate cycle|tricarboxylic acid cycle|phosphorylation
