A5A616	YNEM_ECOLI Uncharacterized protein yneM OS=Escherichia coli (strain K12) GN=yneM PE=1 SV=1
P32695	DUSA_ECOLI tRNA-dihydrouridine synthase A OS=Escherichia coli (strain K12) GN=dusA PE=3 SV=3
P33029	YEIQ_ECOLI Uncharacterized oxidoreductase yeiQ OS=Escherichia coli (strain K12) GN=yeiQ PE=3 SV=1
P33030	YEIR_ECOLI Uncharacterized protein yeiR OS=Escherichia coli (strain K12) GN=yeiR PE=3 SV=2
P33136	OPGG_ECOLI Glucans biosynthesis protein G OS=Escherichia coli (strain K12) GN=mdoG PE=1 SV=1
P33195	GCSP_ECOLI Glycine dehydrogenase [decarboxylating] OS=Escherichia coli (strain K12) GN=gcvP PE=1 SV=3
P33218	YEBE_ECOLI Inner membrane protein yebE OS=Escherichia coli (strain K12) GN=yebE PE=1 SV=2
P33221	PURT_ECOLI Phosphoribosylglycinamide formyltransferase 2 OS=Escherichia coli (strain K12) GN=purT PE=1 SV=3
P33232	LLDD_ECOLI L-lactate dehydrogenase [cytochrome] OS=Escherichia coli (strain K12) GN=lldD PE=1 SV=1
P33355	YEHS_ECOLI Uncharacterized protein yehS OS=Escherichia coli (strain K12) GN=yehS PE=4 SV=1
P33358	MLRA_ECOLI HTH-type transcriptional regulator mlrA OS=Escherichia coli (strain K12) GN=mlrA PE=4 SV=1
P33360	YEHX_ECOLI Putative osmoprotectant uptake system ATP-binding protein yehX OS=Escherichia coli (strain K12) GN=yehX PE=2 SV=1
P33363	BGLX_ECOLI Periplasmic beta-glucosidase OS=Escherichia coli (strain K12) GN=bglX PE=1 SV=2
P33366	YOHD_ECOLI Inner membrane protein yohD OS=Escherichia coli (strain K12) GN=yohD PE=1 SV=1
P33368	YOHF_ECOLI Uncharacterized oxidoreductase yohF OS=Escherichia coli (strain K12) GN=yohF PE=3 SV=2
P33599	NUOCD_ECOLI NADH-quinone oxidoreductase subunit C/D OS=Escherichia coli (strain K12) GN=nuoC PE=1 SV=3
P33602	NUOG_ECOLI NADH-quinone oxidoreductase subunit G OS=Escherichia coli (strain K12) GN=nuoG PE=1 SV=4
P33607	NUOL_ECOLI NADH-quinone oxidoreductase subunit L OS=Escherichia coli (strain K12) GN=nuoL PE=1 SV=2
P33643	RLUD_ECOLI Ribosomal large subunit pseudouridine synthase D OS=Escherichia coli (strain K12) GN=rluD PE=1 SV=4
P33913	YEJA_ECOLI Uncharacterized protein yejA OS=Escherichia coli (strain K12) GN=yejA PE=4 SV=3
P33915	YEJE_ECOLI Inner membrane ABC transporter permease protein yejE OS=Escherichia coli (strain K12) GN=yejE PE=1 SV=1
P33916	YEJF_ECOLI Uncharacterized ABC transporter ATP-binding protein yejF OS=Escherichia coli (strain K12) GN=yejF PE=3 SV=1
P33920	NDPA_ECOLI Nucleoid-associated protein ndpA OS=Escherichia coli (strain K12) GN=ndpA PE=1 SV=3
P33931	CCMA_ECOLI Cytochrome c biogenesis ATP-binding export protein ccmA OS=Escherichia coli (strain K12) GN=ccmA PE=1 SV=2
P33937	NAPA_ECOLI Periplasmic nitrate reductase OS=Escherichia coli (strain K12) GN=napA PE=1 SV=3
P33940	MQO_ECOLI Malate:quinone oxidoreductase OS=Escherichia coli (strain K12) GN=mqo PE=1 SV=2
P33941	YOJI_ECOLI ABC transporter ATP-binding protein yojI OS=Escherichia coli (strain K12) GN=yojI PE=1 SV=2
P34209	YDCF_ECOLI Protein ydcF OS=Escherichia coli (strain K12) GN=ydcF PE=1 SV=3
P35340	AHPF_ECOLI Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) GN=ahpF PE=1 SV=2
P36548	AMIA_ECOLI Probable N-acetylmuramoyl-L-alanine amidase amiA OS=Escherichia coli (strain K12) GN=amiA PE=3 SV=1
P36649	CUEO_ECOLI Blue copper oxidase cueO OS=Escherichia coli (strain K12) GN=cueO PE=1 SV=2
P36655	DSBD_ECOLI Thiol:disulfide interchange protein dsbD OS=Escherichia coli (strain K12) GN=dsbD PE=1 SV=4
P36659	CBPA_ECOLI Curved DNA-binding protein OS=Escherichia coli (strain K12) GN=cbpA PE=1 SV=2
P36672	PTTBC_ECOLI PTS system trehalose-specific EIIBC component OS=Escherichia coli (strain K12) GN=treB PE=1 SV=4
P36673	TRER_ECOLI HTH-type transcriptional regulator treR OS=Escherichia coli (strain K12) GN=treR PE=1 SV=2
P36680	YACF_ECOLI UPF0289 protein yacF OS=Escherichia coli (strain K12) GN=yacF PE=3 SV=2
P36683	ACON2_ECOLI Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3
P36767	RDGC_ECOLI Recombination-associated protein rdgC OS=Escherichia coli (strain K12) GN=rdgC PE=1 SV=1
P36771	LRHA_ECOLI Probable HTH-type transcriptional regulator lrhA OS=Escherichia coli (strain K12) GN=lrhA PE=4 SV=2
P36879	YADG_ECOLI Uncharacterized ABC transporter ATP-binding protein yadG OS=Escherichia coli (strain K12) GN=yadG PE=1 SV=1
P36928	YEGD_ECOLI Uncharacterized chaperone protein yegD OS=Escherichia coli (strain K12) GN=yegD PE=3 SV=2
P36938	PGM_ECOLI Phosphoglucomutase OS=Escherichia coli (strain K12) GN=pgm PE=1 SV=1
P36979	RLMN_ECOLI Ribosomal RNA large subunit methyltransferase N OS=Escherichia coli (strain K12) GN=rlmN PE=1 SV=1
P36999	RLMA_ECOLI Ribosomal RNA large subunit methyltransferase A OS=Escherichia coli (strain K12) GN=rlmA PE=1 SV=1
P37005	LAST_ECOLI Uncharacterized tRNA/rRNA methyltransferase lasT OS=Escherichia coli (strain K12) GN=lasT PE=3 SV=2
P37025	LIGT_ECOLI 2'-5'-RNA ligase OS=Escherichia coli (strain K12) GN=ligT PE=1 SV=3
P37028	BTUF_ECOLI Vitamin B12-binding protein OS=Escherichia coli (strain K12) GN=btuF PE=1 SV=2
P37095	PEPB_ECOLI Peptidase B OS=Escherichia coli (strain K12) GN=pepB PE=1 SV=2
P37128	NUDK_ECOLI GDP-mannose pyrophosphatase nudK OS=Escherichia coli (strain K12) GN=nudK PE=1 SV=2
P37177	PT1P_ECOLI Phosphoenolpyruvate-protein phosphotransferase ptsP OS=Escherichia coli (strain K12) GN=ptsP PE=3 SV=2
P37182	HYBD_ECOLI Hydrogenase 2 maturation protease OS=Escherichia coli (strain K12) GN=hybD PE=1 SV=2
P37188	PTKB_ECOLI Galactitol-specific phosphotransferase enzyme IIB component OS=Escherichia coli (strain K12) GN=gatB PE=1 SV=2
P37313	DPPF_ECOLI Dipeptide transport ATP-binding protein dppF OS=Escherichia coli (strain K12) GN=dppF PE=3 SV=1
P37338	YGAE_ECOLI Uncharacterized HTH-type transcriptional regulator ygaE OS=Escherichia coli (strain K12) GN=ygaE PE=1 SV=2
P37344	PSPF_ECOLI Psp operon transcriptional activator OS=Escherichia coli (strain K12) GN=pspF PE=1 SV=2
P37348	YECE_ECOLI UPF0759 protein yecE OS=Escherichia coli (strain K12) GN=yecE PE=1 SV=4
P37349	DHAM_ECOLI PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit dhaM OS=Escherichia coli (strain K12) GN=dhaM PE=1 SV=3
P37440	UCPA_ECOLI Oxidoreductase ucpA OS=Escherichia coli (strain K12) GN=ucpA PE=1 SV=3
P37597	YDHC_ECOLI Inner membrane transport protein ydhC OS=Escherichia coli (strain K12) GN=ydhC PE=1 SV=3
P37617	ATZN_ECOLI Lead, cadmium, zinc and mercury-transporting ATPase OS=Escherichia coli (strain K12) GN=zntA PE=1 SV=1
P37624	YHIH_ECOLI Uncharacterized ABC transporter ATP-binding protein yhiH OS=Escherichia coli (strain K12) GN=yhiH PE=1 SV=3
P37626	YHII_ECOLI Uncharacterized protein yhiI OS=Escherichia coli (strain K12) GN=yhiI PE=4 SV=1
P37634	YHIR_ECOLI Uncharacterized protein yhiR OS=Escherichia coli (strain K12) GN=yhiR PE=1 SV=1
P37640	YHJB_ECOLI Putative HTH-type transcriptional regulator yhjB OS=Escherichia coli (strain K12) GN=yhjB PE=1 SV=1
P37641	YHJC_ECOLI Uncharacterized HTH-type transcriptional regulator yhjC OS=Escherichia coli (strain K12) GN=yhjC PE=1 SV=2
P37642	YHJD_ECOLI Inner membrane protein yhjD OS=Escherichia coli (strain K12) GN=yhjD PE=1 SV=1
P37645	YHJG_ECOLI Uncharacterized protein yhjG OS=Escherichia coli (strain K12) GN=yhjG PE=4 SV=3
P37648	YHJJ_ECOLI Protein yhjJ OS=Escherichia coli (strain K12) GN=yhjJ PE=1 SV=1
P37649	YHJK_ECOLI Protein yhjK OS=Escherichia coli (strain K12) GN=yhjK PE=1 SV=2
P37650	BCSC_ECOLI Cellulose synthase operon protein C OS=Escherichia coli (strain K12) GN=bcsC PE=1 SV=3
P37650	BCSC_ECOLI Cellulose synthase operon protein C OS=Escherichia coli (strain K12) GN=bcsC PE=1 SV=3
P37652	BCSB_ECOLI Cyclic di-GMP-binding protein OS=Escherichia coli (strain K12) GN=bcsB PE=1 SV=2
P37665	YIAD_ECOLI Inner membrane lipoprotein yiaD OS=Escherichia coli (strain K12) GN=yiaD PE=1 SV=2
P37666	GHRB_ECOLI Glyoxylate/hydroxypyruvate reductase B OS=Escherichia coli (strain K12) GN=ghrB PE=1 SV=3
P37689	GPMI_ECOLI 2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Escherichia coli (strain K12) GN=gpmI PE=1 SV=1
P37690	YIBP_ECOLI Uncharacterized protein yibP OS=Escherichia coli (strain K12) GN=yibP PE=4 SV=2
P37691	YIBQ_ECOLI Uncharacterized protein yibQ OS=Escherichia coli (strain K12) GN=yibQ PE=4 SV=2
P37692	RFAF_ECOLI ADP-heptose--LPS heptosyltransferase 2 OS=Escherichia coli (strain K12) GN=rfaF PE=1 SV=1
P37759	RFBB_ECOLI dTDP-glucose 4,6-dehydratase OS=Escherichia coli (strain K12) GN=rfbB PE=3 SV=2
P37760	RFBD_ECOLI dTDP-4-dehydrorhamnose reductase OS=Escherichia coli (strain K12) GN=rfbD PE=3 SV=2
P37765	RLUB_ECOLI Ribosomal large subunit pseudouridine synthase B OS=Escherichia coli (strain K12) GN=rluB PE=1 SV=2
P37767	YFHH_ECOLI Uncharacterized HTH-type transcriptional regulator yfhH OS=Escherichia coli (strain K12) GN=yfhH PE=4 SV=2
P37769	KDUD_ECOLI 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=kduD PE=3 SV=2
P37773	MPL_ECOLI UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=mpl PE=1 SV=3
P37902	GLTI_ECOLI Glutamate/aspartate periplasmic-binding protein OS=Escherichia coli (strain K12) GN=gltI PE=1 SV=2
P37903	USPF_ECOLI Universal stress protein F OS=Escherichia coli (strain K12) GN=uspF PE=1 SV=2
P37906	PUUB_ECOLI Gamma-glutamylputrescine oxidoreductase OS=Escherichia coli (strain K12) GN=puuB PE=4 SV=2
P37908	YFJD_ECOLI UPF0053 inner membrane protein yfjD OS=Escherichia coli (strain K12) GN=yfjD PE=1 SV=5
P38489	NFNB_ECOLI Oxygen-insensitive NAD(P)H nitroreductase OS=Escherichia coli (strain K12) GN=nfnB PE=1 SV=1
P38506	XNI_ECOLI Uncharacterized exonuclease xni OS=Escherichia coli (strain K12) GN=xni PE=1 SV=3
P38521	YGGL_ECOLI Uncharacterized protein yggL OS=Escherichia coli (strain K12) GN=yggL PE=4 SV=2
P39099	DEGQ_ECOLI Protease degQ OS=Escherichia coli (strain K12) GN=degQ PE=1 SV=1
P39163	CHAC_ECOLI Cation transport protein chaC OS=Escherichia coli (strain K12) GN=chaC PE=3 SV=3
P39173	YEAD_ECOLI Putative glucose-6-phosphate 1-epimerase OS=Escherichia coli (strain K12) GN=yeaD PE=1 SV=2
P39176	ERFK_ECOLI Protein erfK/srfK OS=Escherichia coli (strain K12) GN=erfK PE=1 SV=2
P39177	USPG_ECOLI Universal stress protein G OS=Escherichia coli (strain K12) GN=uspG PE=1 SV=2
P39208	IDNK_ECOLI Thermosensitive gluconokinase OS=Escherichia coli (strain K12) GN=idnK PE=3 SV=1
P39270	YJDF_ECOLI Inner membrane protein yjdF OS=Escherichia coli (strain K12) GN=yjdF PE=1 SV=1
P39285	YJEP_ECOLI Uncharacterized mscS family protein yjeP OS=Escherichia coli (strain K12) GN=yjeP PE=3 SV=3
P39286	RSGA_ECOLI Putative ribosome biogenesis GTPase rsgA OS=Escherichia coli (strain K12) GN=rsgA PE=1 SV=2
P39300	ULAG_ECOLI Probable L-ascorbate-6-phosphate lactonase ulaG OS=Escherichia coli (strain K12) GN=ulaG PE=2 SV=2
P39309	YTFA_ECOLI Putative uncharacterized protein ytfA OS=Escherichia coli (strain K12) GN=ytfA PE=5 SV=1
P39310	YTFB_ECOLI Uncharacterized protein ytfB OS=Escherichia coli (strain K12) GN=ytfB PE=4 SV=2
P39321	YTFN_ECOLI Uncharacterized protein ytfN OS=Escherichia coli (strain K12) GN=ytfN PE=1 SV=2
P39325	YTFQ_ECOLI ABC transporter periplasmic-binding protein ytfQ OS=Escherichia coli (strain K12) GN=ytfQ PE=1 SV=1
P39334	YJGJ_ECOLI Uncharacterized HTH-type transcriptional regulator yjgJ OS=Escherichia coli (strain K12) GN=yjgJ PE=4 SV=2
P39337	YJGM_ECOLI Uncharacterized N-acetyltransferase yjgM OS=Escherichia coli (strain K12) GN=yjgM PE=3 SV=2
P39342	YJGR_ECOLI Uncharacterized protein yjgR OS=Escherichia coli (strain K12) GN=yjgR PE=1 SV=1
P39343	IDNR_ECOLI HTH-type transcriptional regulator idnR OS=Escherichia coli (strain K12) GN=idnR PE=1 SV=1
P39363	SGCA_ECOLI Putative phosphotransferase IIA component sgcA OS=Escherichia coli (strain K12) GN=sgcA PE=3 SV=1
P39375	IRAD_ECOLI Anti-adapter protein iraD OS=Escherichia coli (strain K12) GN=iraD PE=1 SV=2
P39384	YJIM_ECOLI Uncharacterized protein yjiM OS=Escherichia coli (strain K12) GN=yjiM PE=4 SV=2
P39389	YJIR_ECOLI Uncharacterized HTH-type transcriptional regulator yjiR OS=Escherichia coli (strain K12) GN=yjiR PE=1 SV=1
P39396	YJIY_ECOLI Inner membrane protein yjiY OS=Escherichia coli (strain K12) GN=yjiY PE=1 SV=2
P39406	RSMC_ECOLI Ribosomal RNA small subunit methyltransferase C OS=Escherichia coli (strain K12) GN=rsmC PE=1 SV=3
P39411	YJJX_ECOLI UPF0244 protein yjjX OS=Escherichia coli (strain K12) GN=yjjX PE=1 SV=2
P39451	ADHP_ECOLI Alcohol dehydrogenase, propanol-preferring OS=Escherichia coli (strain K12) GN=adhP PE=1 SV=1
P39452	RIR3_ECOLI Ribonucleoside-diphosphate reductase 2 subunit alpha OS=Escherichia coli (strain K12) GN=nrdE PE=3 SV=3
P39830	YBAL_ECOLI Inner membrane protein ybaL OS=Escherichia coli (strain K12) GN=ybaL PE=1 SV=2
P39831	YDFG_ECOLI NADP-dependent L-serine/L-allo-threonine dehydrogenase ydfG OS=Escherichia coli (strain K12) GN=ydfG PE=1 SV=2
P39835	GNTT_ECOLI High-affinity gluconate transporter OS=Escherichia coli (strain K12) GN=gntT PE=1 SV=3
P39836	YFEH_ECOLI Uncharacterized protein yfeH OS=Escherichia coli (strain K12) GN=yfeH PE=4 SV=2
P40120	OPGD_ECOLI Glucans biosynthesis protein D OS=Escherichia coli (strain K12) GN=mdoD PE=1 SV=3
P40191	PDXK_ECOLI Pyridoxine kinase OS=Escherichia coli (strain K12) GN=pdxK PE=1 SV=2
P40710	NLPE_ECOLI Lipoprotein nlpE OS=Escherichia coli (strain K12) GN=nlpE PE=1 SV=1
P40719	QSEC_ECOLI Sensor protein qseC OS=Escherichia coli (strain K12) GN=qseC PE=1 SV=2
P41052	MLTB_ECOLI Membrane-bound lytic murein transglycosylase B OS=Escherichia coli (strain K12) GN=mltB PE=1 SV=1
P41068	TRAP_ECOLI Protein traP OS=Escherichia coli (strain K12) GN=traP PE=4 SV=1
P42596	RLMG_ECOLI Ribosomal RNA large subunit methyltransferase G OS=Escherichia coli (strain K12) GN=rlmG PE=1 SV=2
P42597	YGJP_ECOLI Uncharacterized protein ygjP OS=Escherichia coli (strain K12) GN=ygjP PE=4 SV=2
P42601	ALX_ECOLI Inner membrane protein alx OS=Escherichia coli (strain K12) GN=alx PE=1 SV=2
P42626	YHAM_ECOLI UPF0597 protein yhaM OS=Escherichia coli (strain K12) GN=yhaM PE=3 SV=3
P42632	TDCE_ECOLI Keto-acid formate acetyltransferase OS=Escherichia coli (strain K12) GN=tdcE PE=1 SV=2
P42641	OBG_ECOLI GTPase obgE/cgtA OS=Escherichia coli (strain K12) GN=obgE PE=1 SV=1
P42904	PTPB2_ECOLI N-acetylgalactosamine-specific phosphotransferase enzyme IIB component 2 OS=Escherichia coli (strain K12) GN=agaV PE=4 SV=1
P43329	HRPA_ECOLI ATP-dependent RNA helicase hrpA OS=Escherichia coli (strain K12) GN=hrpA PE=3 SV=3
P43341	LPXH_ECOLI UDP-2,3-diacylglucosamine hydrolase OS=Escherichia coli (strain K12) GN=lpxH PE=1 SV=2
P43671	PQIB_ECOLI Paraquat-inducible protein B OS=Escherichia coli (strain K12) GN=pqiB PE=2 SV=2
P43672	UUP_ECOLI ABC transporter ATP-binding protein uup OS=Escherichia coli (strain K12) GN=uup PE=1 SV=2
P45464	YRAM_ECOLI Uncharacterized protein yraM OS=Escherichia coli (strain K12) GN=yraM PE=1 SV=1
P45469	YRAR_ECOLI Uncharacterized protein yraR OS=Escherichia coli (strain K12) GN=yraR PE=4 SV=2
P45523	FKBA_ECOLI FKBP-type peptidyl-prolyl cis-trans isomerase fkpA OS=Escherichia coli (strain K12) GN=fkpA PE=1 SV=1
P45524	YHET_ECOLI Putative esterase yheT OS=Escherichia coli (strain K12) GN=yheT PE=3 SV=1
P45537	YHFK_ECOLI Uncharacterized protein yhfK OS=Escherichia coli (strain K12) GN=yhfK PE=3 SV=2
P45552	YHFZ_ECOLI Uncharacterized protein yhfZ OS=Escherichia coli (strain K12) GN=yhfZ PE=4 SV=3
P45565	AIS_ECOLI Lipopolysaccharide core heptose(II)-phosphate phosphatase OS=Escherichia coli (strain K12) GN=ais PE=2 SV=2
P45577	PROQ_ECOLI ProP effector OS=Escherichia coli (strain K12) GN=proQ PE=1 SV=2
P45578	LUXS_ECOLI S-ribosylhomocysteine lyase OS=Escherichia coli (strain K12) GN=luxS PE=1 SV=3
P45748	RIMN_ECOLI Putative ribosome maturation factor rimN OS=Escherichia coli (strain K12) GN=rimN PE=1 SV=2
P45799	NUDE_ECOLI ADP compounds hydrolase nudE OS=Escherichia coli (strain K12) GN=nudE PE=1 SV=1
P45800	IGAA_ECOLI Putative membrane protein igaA homolog OS=Escherichia coli (strain K12) GN=yrfF PE=1 SV=1
P45955	YBGF_ECOLI Uncharacterized protein ybgF OS=Escherichia coli (strain K12) GN=ybgF PE=4 SV=2
P46022	MTGA_ECOLI Monofunctional biosynthetic peptidoglycan transglycosylase OS=Escherichia coli (strain K12) GN=mtgA PE=3 SV=1
P46118	HEXR_ECOLI HTH-type transcriptional regulator hexR OS=Escherichia coli (strain K12) GN=hexR PE=3 SV=2
P46130	YBHC_ECOLI Putative acyl-CoA thioester hydrolase ybhC OS=Escherichia coli (strain K12) GN=ybhC PE=1 SV=2
P46474	YHDP_ECOLI Uncharacterized protein yhdP OS=Escherichia coli (strain K12) GN=yhdP PE=4 SV=4
P46482	AAEA_ECOLI p-hydroxybenzoic acid efflux pump subunit aaeA OS=Escherichia coli (strain K12) GN=aaeA PE=2 SV=1
P46837	YHGF_ECOLI Protein yhgF OS=Escherichia coli (strain K12) GN=yhgF PE=1 SV=3
P46859	GNTK_ECOLI Thermoresistant gluconokinase OS=Escherichia coli (strain K12) GN=gntK PE=1 SV=4
P46888	USPC_ECOLI Universal stress protein C OS=Escherichia coli (strain K12) GN=uspC PE=2 SV=1
P46889	FTSK_ECOLI DNA translocase ftsK OS=Escherichia coli (strain K12) GN=ftsK PE=1 SV=2
P46890	YBAE_ECOLI Uncharacterized protein ybaE OS=Escherichia coli (strain K12) GN=ybaE PE=4 SV=2
P47737	X19F_ECOLI X polypeptide OS=Escherichia coli (strain K12) GN=yubQ PE=3 SV=1
P50456	MLC_ECOLI Protein mlc OS=Escherichia coli (strain K12) GN=mlc PE=1 SV=2
P50465	END8_ECOLI Endonuclease VIII OS=Escherichia coli (strain K12) GN=nei PE=1 SV=3
P51020	HOA_ECOLI 4-hydroxy-2-oxovalerate aldolase OS=Escherichia coli (strain K12) GN=mhpE PE=1 SV=2
P51024	YAIL_ECOLI Uncharacterized protein yaiL OS=Escherichia coli (strain K12) GN=yaiL PE=4 SV=2
P52007	YECM_ECOLI Protein yecM OS=Escherichia coli (strain K12) GN=yecM PE=1 SV=3
P52076	QSEB_ECOLI Transcriptional regulatory protein qseB OS=Escherichia coli (strain K12) GN=qseB PE=2 SV=1
P52094	HISQ_ECOLI Histidine transport system permease protein hisQ OS=Escherichia coli (strain K12) GN=hisQ PE=1 SV=2
P52108	RSTA_ECOLI Transcriptional regulatory protein rstA OS=Escherichia coli (strain K12) GN=rstA PE=2 SV=2
P52598	YGBI_ECOLI Uncharacterized HTH-type transcriptional regulator ygbI OS=Escherichia coli (strain K12) GN=ygbI PE=4 SV=2
P52645	YDBH_ECOLI Uncharacterized protein ydbH OS=Escherichia coli (strain K12) GN=ydbH PE=4 SV=2
P52647	NIFJ_ECOLI Probable pyruvate-flavodoxin oxidoreductase OS=Escherichia coli (strain K12) GN=ydbK PE=3 SV=2
P54901	CSIE_ECOLI Stationary phase-inducible protein csiE OS=Escherichia coli (strain K12) GN=csiE PE=4 SV=3
P55135	RUMA_ECOLI 23S rRNA (uracil-5-)-methyltransferase rumA OS=Escherichia coli (strain K12) GN=rumA PE=1 SV=3
P55734	YGAP_ECOLI Inner membrane protein ygaP OS=Escherichia coli (strain K12) GN=ygaP PE=1 SV=1
P56258	WECF_ECOLI 4-alpha-L-fucosyltransferase OS=Escherichia coli (strain K12) GN=wecF PE=1 SV=2
P56262	DLHH_ECOLI Putative carboxymethylenebutenolidase OS=Escherichia coli (strain K12) GN=ysgA PE=3 SV=3
P60240	RAPA_ECOLI RNA polymerase-associated protein rapA OS=Escherichia coli (strain K12) GN=rapA PE=1 SV=2
P60293	MUKF_ECOLI Chromosome partition protein mukF OS=Escherichia coli (strain K12) GN=mukF PE=1 SV=1
P60390	MRAW_ECOLI S-adenosyl-L-methionine-dependent methyltransferase mraW OS=Escherichia coli (strain K12) GN=mraW PE=1 SV=1
P60422	RL2_ECOLI 50S ribosomal protein L2 OS=Escherichia coli (strain K12) GN=rplB PE=1 SV=2
P60438	RL3_ECOLI 50S ribosomal protein L3 OS=Escherichia coli (strain K12) GN=rplC PE=1 SV=1
P60546	KGUA_ECOLI Guanylate kinase OS=Escherichia coli (strain K12) GN=gmk PE=1 SV=1
P60584	CAIA_ECOLI Crotonobetainyl-CoA dehydrogenase OS=Escherichia coli (strain K12) GN=caiA PE=1 SV=1
P60595	HIS5_ECOLI Imidazole glycerol phosphate synthase subunit hisH OS=Escherichia coli (strain K12) GN=hisH PE=1 SV=1
P60624	RL24_ECOLI 50S ribosomal protein L24 OS=Escherichia coli (strain K12) GN=rplX PE=1 SV=2
P60651	SPEB_ECOLI Agmatinase OS=Escherichia coli (strain K12) GN=speB PE=1 SV=1
P60664	HIS6_ECOLI Imidazole glycerol phosphate synthase subunit hisF OS=Escherichia coli (strain K12) GN=hisF PE=1 SV=1
P60716	LIPA_ECOLI Lipoyl synthase OS=Escherichia coli (strain K12) GN=lipA PE=1 SV=1
P60720	LIPB_ECOLI Octanoyltransferase OS=Escherichia coli (strain K12) GN=lipB PE=1 SV=1
P60723	RL4_ECOLI 50S ribosomal protein L4 OS=Escherichia coli (strain K12) GN=rplD PE=1 SV=1
P60752	MSBA_ECOLI Lipid A export ATP-binding/permease protein msbA OS=Escherichia coli (strain K12) GN=msbA PE=1 SV=1
P60757	HIS1_ECOLI ATP phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hisG PE=1 SV=1
P60785	LEPA_ECOLI GTP-binding protein lepA OS=Escherichia coli (strain K12) GN=lepA PE=1 SV=1
P60906	SYH_ECOLI Histidyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=hisS PE=1 SV=2
P60932	UPPP_ECOLI Undecaprenyl-diphosphatase OS=Escherichia coli (strain K12) GN=uppP PE=1 SV=1
P60955	LGT_ECOLI Prolipoprotein diacylglyceryl transferase OS=Escherichia coli (strain K12) GN=lgt PE=1 SV=1
P61175	RL22_ECOLI 50S ribosomal protein L22 OS=Escherichia coli (strain K12) GN=rplV PE=1 SV=1
P61320	LOLB_ECOLI Outer-membrane lipoprotein lolB OS=Escherichia coli (strain K12) GN=lolB PE=1 SV=1
P61517	CAN_ECOLI Carbonic anhydrase 2 OS=Escherichia coli (strain K12) GN=can PE=1 SV=1
P61714	RISB_ECOLI 6,7-dimethyl-8-ribityllumazine synthase OS=Escherichia coli (strain K12) GN=ribH PE=1 SV=1
P61887	RMLA2_ECOLI Glucose-1-phosphate thymidylyltransferase 2 OS=Escherichia coli (strain K12) GN=rmlA2 PE=1 SV=1
P61889	MDH_ECOLI Malate dehydrogenase OS=Escherichia coli (strain K12) GN=mdh PE=1 SV=1
P61949	FLAV_ECOLI Flavodoxin-1 OS=Escherichia coli (strain K12) GN=fldA PE=1 SV=2
P62399	RL5_ECOLI 50S ribosomal protein L5 OS=Escherichia coli (strain K12) GN=rplE PE=1 SV=2
P62517	OPGH_ECOLI Glucans biosynthesis glucosyltransferase H OS=Escherichia coli (strain K12) GN=mdoH PE=1 SV=1
P62620	ISPG_ECOLI 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase OS=Escherichia coli (strain K12) GN=ispG PE=1 SV=1
P62623	ISPH_ECOLI 4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Escherichia coli (strain K12) GN=ispH PE=1 SV=1
P62672	APAG_ECOLI Protein apaG OS=Escherichia coli (strain K12) GN=apaG PE=3 SV=1
P62707	GPMA_ECOLI 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase OS=Escherichia coli (strain K12) GN=gpmA PE=1 SV=2
P62768	YAEH_ECOLI UPF0325 protein yaeH OS=Escherichia coli (strain K12) GN=yaeH PE=3 SV=1
P63020	NFUA_ECOLI Fe/S biogenesis protein nfuA OS=Escherichia coli (strain K12) GN=nfuA PE=1 SV=1
P63177	RLMB_ECOLI 23S rRNA (guanosine-2'-O-)-methyltransferase rlmB OS=Escherichia coli (strain K12) GN=rlmB PE=1 SV=1
P63224	GMHA_ECOLI Phosphoheptose isomerase OS=Escherichia coli (strain K12) GN=gmhA PE=1 SV=1
P63284	CLPB_ECOLI Chaperone protein clpB OS=Escherichia coli (strain K12) GN=clpB PE=1 SV=1
P63284	CLPB_ECOLI Isoform ClpB-3 of Chaperone protein clpB OS=Escherichia coli (strain K12) GN=clpB
P63386	YRBF_ECOLI Uncharacterized ABC transporter ATP-binding protein yrbF OS=Escherichia coli (strain K12) GN=yrbF PE=1 SV=1
P63389	YHES_ECOLI Uncharacterized ABC transporter ATP-binding protein yheS OS=Escherichia coli (strain K12) GN=yheS PE=1 SV=1
P63883	AMIC_ECOLI N-acetylmuramoyl-L-alanine amidase amiC OS=Escherichia coli (strain K12) GN=amiC PE=3 SV=1
P64423	ZNTB_ECOLI Zinc transport protein zntB OS=Escherichia coli (strain K12) GN=zntB PE=1 SV=1
P64429	YPFJ_ECOLI Uncharacterized protein ypfJ OS=Escherichia coli (strain K12) GN=ypfJ PE=4 SV=1
