Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
A5A614	yciZ		b4596	JW1277	YCIZ_ECOLI		Inferred from homology	UPF0509 family	UPF0509 protein yciZ		Complete proteome	57	
O32528	ypdI		b2376	JW2373	YPDI_ECOLI	"Cell membrane; Lipid-anchor. "	Predicted		Uncharacterized lipoprotein ypdI	GO:0005886	"Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	91	
O32583	thiS	thiG1	b4407	JW3955	THIS_ECOLI		Evidence at protein level	Sulfur carrier protein ThiS family	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	"GO:0000166; GO:0009228"	"3D-structure; Complete proteome; Nucleotide-binding; Thiamine biosynthesis; Thioester bond"	66	
P00350	gnd		b2029	JW2011	6PGD_ECOLI		Evidence at protein level	6-phosphogluconate dehydrogenase family	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	"GO:0019521; GO:0050661; GO:0055114; GO:0006098; GO:0004616; GO:0042803"	"3D-structure; Complete proteome; Gluconate utilization; NADP; Oxidoreductase; Pentose shunt"	468	
P00363	frdA		b4154	JW4115	FRDA_ECOLI		Evidence at protein level	FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily	Fumarate reductase flavoprotein subunit (EC 1.3.99.1)	"GO:0050660; GO:0009061; GO:0001539; GO:0005737; GO:0009055; GO:0022900; GO:0006113; GO:0009296; GO:0016020; GO:0005515; GO:0000104; GO:0006810"	"3D-structure; Complete proteome; Electron transport; FAD; Flavoprotein; Oxidoreductase; Transport"	602	
P00370	gdhA		b1761	JW1750	DHE4_ECOLI		Evidence at protein level	Glu/Leu/Phe/Val dehydrogenases family	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	"GO:0005488; GO:0005737; GO:0006537; GO:0004354; GO:0055114"	"Complete proteome; Direct protein sequencing; NADP; Oxidoreductase"	447	
P00393	ndh		b1109	JW1095	DHNA_ECOLI	Cell membrane. 	Evidence at protein level	NADH dehydrogenase family	NADH dehydrogenase (EC 1.6.99.3)	"GO:0050660; GO:0008137; GO:0019646; GO:0044459; GO:0006810"	"3D-structure; Cell membrane; Complete proteome; Direct protein sequencing; Electron transport; FAD; Flavoprotein; Membrane; NAD; Oxidoreductase; Transport; Ubiquinone"	434	
P00448	sodA		b3908	JW3879	SODM_ECOLI		Evidence at protein level	Iron/manganese superoxide dismutase family	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	"GO:0005737; GO:0046872; GO:0055114; GO:0019430; GO:0004784"	"3D-structure; Complete proteome; Direct protein sequencing; Manganese; Metal-binding; Oxidoreductase"	206	
P00452	nrdA	dnaF	b2234	JW2228	RIR1_ECOLI		Evidence at protein level	Ribonucleoside diphosphate reductase large chain family	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	"GO:0005524; GO:0006260; GO:0009263; GO:0015949; GO:0055114; GO:0005515; GO:0004748; GO:0005971"	"3D-structure; ATP-binding; Acetylation; Allosteric enzyme; Alternative initiation; Complete proteome; DNA replication; Direct protein sequencing; Disulfide bond; Nucleotide-binding; Oxidoreductase"	761	
P00509	aspC		b0928	JW0911	AAT_ECOLI	Cytoplasm. 	Evidence at protein level	Class-I pyridoxal-phosphate-dependent aminotransferase family	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	"GO:0004069; GO:0033585; GO:0004838; GO:0006532; GO:0005829; GO:0016212; GO:0042803; GO:0030170"	"3D-structure; Aminotransferase; Complete proteome; Cytoplasm; Direct protein sequencing; Pyridoxal phosphate; Transferase"	396	
P00547	thrB		b0003	JW0002	KHSE_ECOLI	Cytoplasm. 	Evidence at protein level	GHMP kinase family, Homoserine kinase subfamily	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	"GO:0005524; GO:0005737; GO:0004413; GO:0009088"	"ATP-binding; Amino-acid biosynthesis; Complete proteome; Cytoplasm; Kinase; Nucleotide-binding; Threonine biosynthesis; Transferase"	310	
P00550	mtlA		b3599	JW3573	PTM3C_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		"PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.69) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (EC 2.7.1.-) (PTS system mannitol-specific EIIA component)]"	"GO:0016021; GO:0016301; GO:0009401; GO:0005886; GO:0005515; GO:0008982; GO:0005351"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Kinase; Membrane; Phosphotransferase system; Sugar transport; Transferase; Transmembrane; Transmembrane helix; Transport"	637	
P00561	thrA	thrA1 thrA2	b0002	JW0001	AK1H_ECOLI		Evidence at protein level	"Aspartokinase family; Homoserine dehydrogenase family"	"Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]"	"GO:0005524; GO:0050661; GO:0016597; GO:0004072; GO:0009090; GO:0004412; GO:0009089; GO:0055114; GO:0009088"	"ATP-binding; Allosteric enzyme; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Kinase; Multifunctional enzyme; NADP; Nucleotide-binding; Oxidoreductase; Repeat; Threonine biosynthesis; Transferase"	820	
P00562	metL	metM	b3940	JW3911	AK2H_ECOLI		Evidence at protein level	"Aspartokinase family; Homoserine dehydrogenase family"	"Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]"	"GO:0005524; GO:0050661; GO:0004072; GO:0009090; GO:0004412; GO:0009089; GO:0009086; GO:0055114"	"ATP-binding; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Kinase; Methionine biosynthesis; Multifunctional enzyme; NADP; Nucleotide-binding; Oxidoreductase; Transferase"	810	
P00579	rpoD	alt	b3067	JW3039	RPOD_ECOLI		Evidence at protein level	Sigma-70 factor family	RNA polymerase sigma factor rpoD (Sigma-70)	"GO:0003677; GO:0005515; GO:0006355; GO:0009408; GO:0003700; GO:0016987; GO:0006352; GO:0030528"	"3D-structure; Complete proteome; DNA-binding; Sigma factor; Transcription; Transcription regulation"	613	
P0ABN9	dcuB	genF	b4123	JW4084	DCUB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	DcuA/dcuB transporter (TC 2.A.13.1) family	Anaerobic C4-dicarboxylate transporter dcuB	"GO:0015556; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	446
P0ABP3	dcuC		b0621	JW0613 JW0616	DCUC_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	DcuC/dcuD transporter (TC 2.A.61) family	Anaerobic C4-dicarboxylate transporter dcuC	"GO:0015556; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	461
P0ABP6	dedA		b2317	JW2314	DEDA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	DedA family	Protein dedA (Protein DSG-1)	"GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	219
P0ABP8	deoD	pup	b4384	JW4347	DEOD_ECOLI		Evidence at protein level	PNP/UDP phosphorylase family	Purine nucleoside phosphorylase deoD-type (PNP) (EC 2.4.2.1) (Inosine phosphorylase)	"GO:0005829; GO:0016020; GO:0005515; GO:0006152; GO:0019686; GO:0004731"	"3D-structure; Acetylation; Complete proteome; Direct protein sequencing; Glycosyltransferase; Transferase"	239
P0ABQ2	garR	yhaE	b3125	JW5526	GARR_ECOLI		Evidence at protein level	3-hydroxyisobutyrate dehydrogenase family	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60) (Tartronate semialdehyde reductase) (TSAR)	"GO:0008679; GO:0008442; GO:0019582; GO:0042838; GO:0050662; GO:0046487; GO:0055114; GO:0006098; GO:0004616; GO:0006573"	"Complete proteome; NAD; Oxidoreductase"	294
P0ABR1	dinI		b1061	JW1048	DINI_ECOLI		Evidence at protein level	DinI family	DNA-damage-inducible protein I	"GO:0006281; GO:0009432"	"3D-structure; Complete proteome; DNA damage; DNA repair; SOS response"	81
P0ABR5	hcaE	digA hcaA hcaA1 phdC1 yfhU	b2538	JW2522	HCAE_ECOLI		Evidence at protein level	Bacterial ring-hydroxylating dioxygenase alpha subunit family	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19) (Digoxigenin subunit alpha)	"GO:0051537; GO:0008695; GO:0019439; GO:0005506; GO:0055114; GO:0016702; GO:0005515"	"2Fe-2S; Aromatic hydrocarbons catabolism; Complete proteome; Dioxygenase; Iron; Iron-sulfur; Metal-binding; NAD; Oxidoreductase"	453
P0ABR7	yeaW		b1802	JW5294	YEAW_ECOLI		Inferred from homology	Bacterial ring-hydroxylating dioxygenase alpha subunit family	Putative dioxygenase subunit alpha yeaW (EC 1.14.-.-)	"GO:0051537; GO:0006725; GO:0005506; GO:0055114; GO:0016705; GO:0016702"	"2Fe-2S; Complete proteome; Dioxygenase; Iron; Iron-sulfur; Metal-binding; NAD; Oxidoreductase"	374
P0ABR9	mhpB		b0348	JW0339	MHPB_ECOLI		Evidence at protein level	LigB/mhpB extradiol dioxygenase family	2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase (EC 1.13.11.16)	"GO:0047070; GO:0019439; GO:0008198; GO:0055114"	"Aromatic hydrocarbons catabolism; Complete proteome; Dioxygenase; Direct protein sequencing; Iron; Oxidoreductase"	314
P0ABS1	dksA		b0145	JW0141	DKSA_ECOLI		Evidence at protein level		DnaK suppressor protein	"GO:0005737; GO:0008270"	"3D-structure; Complete proteome; Direct protein sequencing; Metal-binding; Zinc; Zinc-finger"	151
P0ABS5	dnaG	dnaP parB	b3066	JW3038	PRIM_ECOLI		Evidence at protein level	DNA primase family	DNA primase (EC 2.7.7.-)	"GO:0003677; GO:0003896; GO:0006269; GO:0005658; GO:0005737; GO:0005515; GO:0006350; GO:0008270"	"3D-structure; Complete proteome; DNA replication; DNA-directed RNA polymerase; Metal-binding; Nucleotidyltransferase; Primosome; Transcription; Transferase; Zinc; Zinc-finger"	581
P0ABS8	holE		b1842	JW1831	HOLE_ECOLI		Evidence at protein level		DNA polymerase III subunit theta (EC 2.7.7.7)	"GO:0003677; GO:0006260; GO:0003887; GO:0005515"	"3D-structure; Complete proteome; DNA replication; DNA-directed DNA polymerase; Direct protein sequencing; Nucleotidyltransferase; Transferase"	76
P0ABT2	dps	pexB vtm	b0812	JW0797	DPS_ECOLI	Cytoplasm › nucleoid. 	Evidence at protein level	Dps family	DNA protection during starvation protein (EC 1.16.-.-)	"GO:0003677; GO:0006879; GO:0030261; GO:0005737; GO:0008199; GO:0016020; GO:0009295; GO:0055114; GO:0016491; GO:0005515; GO:0006950"	"3D-structure; Complete proteome; Cytoplasm; DNA condensation; DNA-binding; Direct protein sequencing; Iron; Iron storage; Metal-binding; Oxidoreductase"	167
P0ABT8	yijE		b3943	JW5557	YIJE_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	EamA transporter family	Uncharacterized inner membrane transporter yiJE	"GO:0016021; GO:0005886; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Repeat; Transmembrane; Transmembrane helix; Transport"	301
P0ABU0	menB		b2262	JW2257	MENB_ECOLI		Evidence at protein level	Enoyl-CoA hydratase/isomerase family	Naphthoate synthase (EC 4.1.3.36) (Dihydroxynaphthoic acid synthase) (DHNA synthase)	"GO:0008935; GO:0009234; GO:0005515"	"Complete proteome; Lyase; Menaquinone biosynthesis"	285
P0ABU7	exbB		b3006	JW2974	EXBB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	ExbB/tolQ family	Biopolymer transport protein exbB	"GO:0043213; GO:0016021; GO:0005886; GO:0008565"	"Bacteriocin transport; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Protein transport; Transmembrane; Transmembrane helix; Transport"	244
P0ABU9	tolQ	fii	b0737	JW0727	TOLQ_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	ExbB/tolQ family	Protein tolQ	"GO:0043213; GO:0016021; GO:0005886; GO:0005515; GO:0017038; GO:0008565"	"Bacteriocin transport; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Protein transport; Transmembrane; Transmembrane helix; Transport"	230
P0ABV2	exbD		b3005	JW2973	EXBD_ECOLI	"Cell inner membrane; Single-pass type II membrane protein. "	Evidence at protein level	ExbD/tolR family	Biopolymer transport protein exbD	"GO:0043213; GO:0016021; GO:0005886; GO:0005215"	"3D-structure; Bacteriocin transport; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Protein transport; Signal-anchor; Transmembrane; Transmembrane helix; Transport"	141
P0ABV6	tolR		b0738	JW0728	TOLR_ECOLI	"Cell inner membrane; Single-pass type II membrane protein. "	Evidence at protein level	ExbD/tolR family	Protein tolR	"GO:0043213; GO:0016021; GO:0005886; GO:0005515; GO:0005215"	"Bacteriocin transport; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Protein transport; Signal-anchor; Transmembrane; Transmembrane helix; Transport"	142
P0ABW0	hcaC	hcaA3 phdB yfhW	b2540	JW2524	HCAC_ECOLI		Evidence at protein level	Bacterial ring-hydroxylating dioxygenase ferredoxin component family	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit (Digoxigenin ferredoxin subunit)	"GO:0051537; GO:0019439; GO:0022900; GO:0046872; GO:0016491; GO:0006810"	"2Fe-2S; Aromatic hydrocarbons catabolism; Complete proteome; Electron transport; Iron; Iron-sulfur; Metal-binding; Transport"	106
P0ABW3	yfaE		b2236	JW2230	YFAE_ECOLI		Predicted		Uncharacterized ferredoxin-like protein yfaE	"GO:0051537; GO:0006732; GO:0005737; GO:0009055; GO:0022900; GO:0006124; GO:0046872; GO:0006810"	"2Fe-2S; Complete proteome; Electron transport; Iron; Iron-sulfur; Metal-binding; Transport"	84
P0ABW5	sfmA		b0530	JW0519	SFMA_ECOLI	Fimbrium. 	Inferred from homology	Fimbrial protein family	Sfm fimbrial protein, A chain (Type-1A pilin)	"GO:0007155; GO:0009289"	"Complete proteome; Disulfide bond; Fimbrium; Signal"	180
P0ABW9	flgB	fla FII flbA	b1073	JW1060	FLGB_ECOLI	Bacterial flagellum basal body. 	Inferred from homology	Flagella basal body rod proteins family	Flagellar basal-body rod protein flgB (Putative proximal rod protein)	"GO:0009425; GO:0001539; GO:0003774; GO:0005198"	"Bacterial flagellum; Complete proteome"	138
P0ABX2	flgC	fla FIII flaW	b1074	JW1061	FLGC_ECOLI	Bacterial flagellum basal body. 	Inferred from homology	Flagella basal body rod proteins family	Flagellar basal-body rod protein flgC (Putative proximal rod protein)	"GO:0009425; GO:0001539; GO:0003774; GO:0005198"	"Bacterial flagellum; Complete proteome"	134
P0ABX5	flgG	fla FVII flaL	b1078	JW1065	FLGG_ECOLI	Bacterial flagellum basal body. 	Inferred from homology	Flagella basal body rod proteins family	Flagellar basal-body rod protein flgG (Distal rod protein)	"GO:0009426; GO:0001539; GO:0043064; GO:0003774; GO:0005198"	"Bacterial flagellum; Complete proteome"	260
P0ABY4	fldB		b2895	JW2863	FLAW_ECOLI		Inferred from homology	Flavodoxin family	Flavodoxin-2	"GO:0010181; GO:0009055; GO:0022900; GO:0016491; GO:0006810"	"Complete proteome; Electron transport; FMN; Flavoprotein; Transport"	173
P0ABY7	flhC	flaI	b1891	JW1880	FLHC_ECOLI		Evidence at protein level	FlhC family	Flagellar transcriptional activator flhC	"GO:0003677; GO:0003899; GO:0043064; GO:0030092; GO:0006355; GO:0016987; GO:0006350; GO:0016563; GO:0016564"	"3D-structure; Activator; Bacterial flagellum biogenesis; Complete proteome; DNA-binding; DNA-directed RNA polymerase; Nucleotidyltransferase; Sigma factor; Transcription; Transcription regulation; Transferase"	192
P0ABZ6	surA		b0053	JW0052	SURA_ECOLI	Periplasm. 	Evidence at protein level		Chaperone surA (Peptidyl-prolyl cis-trans isomerase surA) (PPIase surA) (EC 5.2.1.8) (Rotamase surA) (Survival protein A)	"GO:0043165; GO:0042710; GO:0051085; GO:0060274; GO:0030288; GO:0042277; GO:0003755; GO:0050821; GO:0015031; GO:0051082"	"3D-structure; Chaperone; Complete proteome; Direct protein sequencing; Isomerase; Periplasm; Repeat; Rotamase; Signal"	428
P0AC02	yfiO		b2595	JW2577	YFIO_ECOLI	"Cell outer membrane; Lipid-anchor. "	Evidence at protein level	UPF0169 (ComL) family	UPF0169 lipoprotein yfiO	"GO:0009279; GO:0005886; GO:0005515"	"Cell membrane; Cell outer membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	245
P0AC13	folP	dhpS	b3177	JW3144	DHPS_ECOLI		Evidence at protein level	DHPS family	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	"GO:0005737; GO:0004156; GO:0046656; GO:0046677; GO:0042493"	"3D-structure; Antibiotic resistance; Complete proteome; Direct protein sequencing; Folate biosynthesis; Magnesium; Metal-binding; Transferase"	282
P0AC19	folX		b2303	JW2300	FOLX_ECOLI		Evidence at protein level	DHNA family	D-erythro-7,8-dihydroneopterin triphosphate epimerase (EC 5.-.-.-) (Dihydroneopterin triphosphate 2'-epimerase)	"GO:0004150; GO:0008719; GO:0006760; GO:0005515"	"3D-structure; Complete proteome; Direct protein sequencing; Isomerase"	120
P0AC23	focA	ycaE	b0904	JW0887	FOCA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	FNT transporter (TC 2.A.44) family	Probable formate transporter 1 (Formate channel 1)	"GO:0016021; GO:0005886; GO:0005215"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	285
P0AC26	nirC		b3367	JW3330	NIRC_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	FNT transporter (TC 2.A.44) family	Probable nitrite transporter	"GO:0016021; GO:0042128; GO:0015513; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Nitrate assimilation; Transmembrane; Transmembrane helix; Transport"	268
P0AC30	ftsX	ftsS	b3462	JW3427	FTSX_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	ABC-4 integral membrane protein family, FtsX subfamily	Cell division protein ftsX	"GO:0007049; GO:0032155; GO:0000910; GO:0016021; GO:0005886; GO:0005515"	"Cell cycle; Cell division; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	352
P0AC33	fumA		b1612	JW1604	FUMA_ECOLI		Evidence at protein level	Class-I fumarase family	Fumarate hydratase class I, aerobic (Fumarase) (EC 4.2.1.2)	"GO:0051539; GO:0005829; GO:0004333; GO:0046872; GO:0006099"	"4Fe-4S; Complete proteome; Direct protein sequencing; Iron; Iron-sulfur; Lyase; Metal-binding; Tricarboxylic acid cycle"	548
P0AC35	ttdB	ygjB	b3062	JW3034	TTDB_ECOLI		Evidence at protein level	Class-I fumarase family	L(+)-tartrate dehydratase subunit beta (L-TTD beta) (EC 4.2.1.32)	"GO:0008730; GO:0005515"	"Complete proteome; Lyase"	201
P0AC38	aspA		b4139	JW4099	ASPA_ECOLI		Evidence at protein level	Class-II fumarase/aspartase family, Aspartase subfamily	Aspartate ammonia-lyase (Aspartase) (EC 4.3.1.1)	"GO:0008797; GO:0006531; GO:0005829; GO:0016020; GO:0005515; GO:0006099"	"3D-structure; Complete proteome; Lyase"	478
P0AC41	sdhA		b0723	JW0713	DHSA_ECOLI	"Cell inner membrane; Peripheral membrane protein; Cytoplasmic side. "	Evidence at protein level	FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	"GO:0050660; GO:0009055; GO:0022900; GO:0045282; GO:0005515; GO:0000104; GO:0006810; GO:0006099"	"3D-structure; Acetylation; Cell inner membrane; Cell membrane; Complete proteome; Direct protein sequencing; Electron transport; FAD; Flavoprotein; Membrane; Oxidoreductase; Transport; Tricarboxylic acid cycle"	588
P0AC44	sdhD		b0722	JW0712	DHSD_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Succinate dehydrogenase hydrophobic membrane anchor subunit	"GO:0017004; GO:0009055; GO:0022900; GO:0020037; GO:0016021; GO:0016627; GO:0005886; GO:0006810; GO:0006099"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Electron transport; Heme; Iron; Membrane; Metal-binding; Transmembrane; Transmembrane helix; Transport; Tricarboxylic acid cycle"	115
P0AC47	frdB		b4153	JW4114	FRDB_ECOLI		Evidence at protein level	Succinate dehydrogenase/fumarate reductase iron-sulfur protein family	Fumarate reductase iron-sulfur subunit (EC 1.3.99.1)	"GO:0051537; GO:0051538; GO:0051539; GO:0009061; GO:0001539; GO:0005737; GO:0009055; GO:0022900; GO:0006113; GO:0009296; GO:0016020; GO:0046872; GO:0005515; GO:0000104; GO:0006810; GO:0006099"	"2Fe-2S; 3D-structure; 3Fe-4S; 4Fe-4S; Complete proteome; Electron transport; Iron; Iron-sulfur; Metal-binding; Oxidoreductase; Transport; Tricarboxylic acid cycle"	244
P0AC51	zur	yjbK	b4046	JW5714	ZUR_ECOLI		Evidence at protein level	Fur family	Zinc uptake regulation protein (Zinc uptake regulator)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350; GO:0016564"	"Complete proteome; DNA-binding; Repressor; Transcription; Transcription regulation; Zinc"	171
P0AC53	zwf		b1852	JW1841	G6PD_ECOLI		Evidence at protein level	Glucose-6-phosphate dehydrogenase family	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	"GO:0006006; GO:0004345; GO:0055114; GO:0005515"	"Carbohydrate metabolism; Complete proteome; Glucose metabolism; NADP; Oxidoreductase"	491
P0AC55	glnK	ybaI	b0450	JW0440	GLNK_ECOLI		Evidence at protein level	P(II) protein family	Nitrogen regulatory protein P-II 2	"GO:0030234; GO:0000166; GO:0005515; GO:0006808; GO:0045449; GO:0006350"	"3D-structure; Complete proteome; Nucleotide-binding; Transcription; Transcription regulation"	112
P0AC59	grxB		b1064	JW1051	GLRX2_ECOLI		Evidence at protein level	Glutaredoxin family	Glutaredoxin-2 (Grx2)	"GO:0045454; GO:0009055; GO:0022900; GO:0015035; GO:0006810"	"3D-structure; Complete proteome; Direct protein sequencing; Disulfide bond; Electron transport; Redox-active center; Transport"	215
P0AC62	grxC	yibM	b3610	JW3585	GLRX3_ECOLI		Evidence at protein level	Glutaredoxin family	Glutaredoxin-3 (Grx3)	"GO:0045454; GO:0009263; GO:0009055; GO:0022900; GO:0015035; GO:0006810"	"3D-structure; Complete proteome; Deoxyribonucleotide synthesis; Direct protein sequencing; Disulfide bond; Electron transport; Redox-active center; Transport"	83
P0AC65	nrdH	ygaN	b2673	JW2648	NRDH_ECOLI		Evidence at protein level	Glutaredoxin family	Glutaredoxin-like protein nrdH	"GO:0045454; GO:0009055; GO:0022900; GO:0015035; GO:0006810"	"3D-structure; Complete proteome; Disulfide bond; Electron transport; Redox-active center; Transport"	81
P0AC73	ebgC		b3077	JW3048	EBGC_ECOLI		Evidence at protein level		Evolved beta-galactosidase subunit beta		Complete proteome	149
P0AC75	waaA	kdtA	b3633	JW3608	KDTA_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Inferred from homology	Glycosyltransferase 1 family	3-deoxy-D-manno-octulosonic-acid transferase (EC 2.4.-.-) (KDO transferase)	"GO:0016021; GO:0009245; GO:0005886; GO:0005529; GO:0016740"	"Cell inner membrane; Cell membrane; Complete proteome; Lipopolysaccharide biosynthesis; Membrane; Signal-anchor; Transferase; Transmembrane; Transmembrane helix"	425
P0AC81	gloA		b1651	JW1643	LGUL_ECOLI		Evidence at protein level	Glyoxalase I family	Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)	"GO:0004462; GO:0019243; GO:0016151; GO:0005515"	"3D-structure; Complete proteome; Direct protein sequencing; Lyase; Metal-binding; Nickel"	135
P0AC84	gloB	yafR	b0212	JW0202	GLO2_ECOLI		Evidence at protein level	Metallo-beta-lactamase superfamily, Glyoxalase II family	Hydroxyacylglutathione hydrolase (EC 3.1.2.6) (Glyoxalase II) (Glx II)	"GO:0004416; GO:0019243; GO:0008270"	"Complete proteome; Hydrolase; Metal-binding; Zinc"	251
P0AC86	glgP	glgY	b3428	JW3391	PHSG_ECOLI		Inferred from homology	Glycogen phosphorylase family	Glycogen phosphorylase (EC 2.4.1.1)	"GO:0005737; GO:0005980; GO:0008184; GO:0030170"	"Allosteric enzyme; Carbohydrate metabolism; Complete proteome; Glycogen metabolism; Glycosyltransferase; Pyridoxal phosphate; Transferase"	815
P0AC88	gmd	yefA yefN	b2053	JW2038	GM4D_ECOLI		Evidence at protein level	GDP-mannose 4,6-dehydratase family	GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)	"GO:0008446; GO:0019673; GO:0050662; GO:0005622; GO:0009103"	"3D-structure; Complete proteome; Lipopolysaccharide biosynthesis; Lyase; NADP"	373
P0AC92	gnsA	yccL	b4517	JW0976	GNSA_ECOLI		Inferred from homology	Gns family	Protein gnsA		Complete proteome	57
P0AC94	gntP	yjiB	b4321	JW4284	GNTP_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	GntP permease family	High-affinity gluconate transporter (Gluconate permease 3) (Gnt-III system)	"GO:0019521; GO:0015128; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Gluconate utilization; Membrane; Sugar transport; Transmembrane; Transmembrane helix; Transport"	447
P0AC98	yaaH		b0010	JW0009	YAAH_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	GPR1/FUN34/yaaH family	Inner membrane protein yaaH	"GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	188
P0ACA1	yibF		b3592	JW3565	YIBF_ECOLI		Evidence at protein level	GST superfamily, HSP26 family	Uncharacterized GST-like protein yibF	"GO:0005515; GO:0016740"	"Complete proteome; Transferase"	202
P0ACA3	sspA	pog ssp	b3229	JW3198	SSPA_ECOLI		Evidence at protein level	GST superfamily, HSP26 family	Stringent starvation protein A	GO:0006950	"Complete proteome; Direct protein sequencing; Stress response"	212
P0ACA7	yliJ		b0838	JW0822	YLIJ_ECOLI		Evidence at protein level	GST superfamily	Uncharacterized GST-like protein yliJ	"GO:0005515; GO:0016740"	"Complete proteome; Transferase"	208
