Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location	Name	Accession	Comments	Description	Common Core	Category	Uniprot Subcellular Loci	EchoLOCATION	Total Len	1st Secr Sys	2nd Secr Sys	SignalP SP HMM	Smax HMM	SignalP SP NN	D-score NN	LipoP S	Peptidase	Score	Helixes Predicted	Expected No aas in helixes	Expected No aas in helixes in first 60 aas	Phobius Signal	Phobius TMHs	TatP Signal	TatP D-score
C6EHC2	fabD ECBD_2509 ECD_01088	fabD		ECBD_2509 ECD_01088	C6EHC2_ECOBD		Predicted		Acyl carrier protein S-malonyltransferase (EC 2.3.1.39) (Malonyl CoA-acyl carrier protein transacylase)	"GO:0004314; GO:0005488; GO:0006633"	"Acyltransferase; Complete proteome; Transferase"	309		FABD_ECOLI	P0AAI9		>P0AAI9|FABD_ECOLI Malonyl CoA-acyl carrier protein transacylase OS=Escherichia coli (strain K12) GN=fabD PE=1 SV=2	yes	A		Cytoplasmic	309			0	0	0	0		CYT 		0	0.06	0.00		0	36	0.108
C6EHB9	fabF ECBD_2506 ECD_01091	fabF		ECBD_2506 ECD_01091	C6EHB9_ECOBD		Inferred from homology	Beta-ketoacyl-ACP synthases family	3-oxoacyl-(Acyl carrier protein) synthase (EC 2.3.1.41) (3-oxoacyl-(Acyl-carrier-protein) synthase 2)	"GO:0004315; GO:0006633"	"Acyltransferase; Complete proteome; Signal; Transferase"	413		FABF_ECOLI	P0AAI5	CYTO	>P0AAI5|FABF_ECOLI 3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Escherichia coli (strain K12) GN=fabF PE=1 SV=2	yes	A		Cytoplasmic	413			21	0.875	0	0		CYT 		0	7.23	0.16	20	0	29	0.143
C6EHC1	fabG ECBD_2508 ECD_01089	fabG		ECBD_2508 ECD_01089	C6EHC1_ECOBD		Inferred from homology	Short-chain dehydrogenases/reductases (SDR) family	3-oxoacyl-(Acyl-carrier-protein) reductase (3-oxoacyl-[acyl-carrier-protein] reductase) (EC 1.1.1.100)	"GO:0004316; GO:0051287; GO:0006633; GO:0055114"	"Complete proteome; Oxidoreductase"	244		FABG_ECOLI	P0AEK2		>P0AEK2|FABG_ECOLI 3-oxoacyl-[acyl-carrier-protein] reductase OS=Escherichia coli (strain K12) GN=fabG PE=1 SV=1	yes	A		Cytoplasmic	244			0	0	23	0		CYT 		0	2.12	0.00		0	26	0.319
C6EHC3	fabH ECBD_2510 ECD_01087	fabH		ECBD_2510 ECD_01087	C6EHC3_ECOBD	Cytoplasm. 	Inferred from homology	FabH family	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III)	"GO:0004315; GO:0005737; GO:0006633"	"Acyltransferase; Complete proteome; Cytoplasm; Fatty acid biosynthesis; Lipid synthesis; Multifunctional enzyme; Transferase"	317		FABH_ECOLI	P0A6R0	notes: Bernsel Theoretical but no predictions	>P0A6R0|FABH_ECOLI 3-oxoacyl-[acyl-carrier-protein] synthase 3 OS=Escherichia coli (strain K12) GN=fabH PE=1 SV=1	yes	A	Cytoplasm. 	Cytoplasmic	317	SEC		0	0	0	0		CYT 		0	0.90	0.00		0	45	0.045
C6EFU4	fabI ECBD_2329 ECD_01265	fabI		ECBD_2329 ECD_01265	C6EFU4_ECOBD		Predicted		Enoyl-(Acyl carrier protein) reductase (EC 1.3.1.9) (Short-chain dehydrogenase/reductase SDR)	"GO:0005488; GO:0004318; GO:0006633; GO:0055114"	"Complete proteome; Oxidoreductase"	262		FABI_ECOLI	P0AEK4		>P0AEK4|FABI_ECOLI Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Escherichia coli (strain K12) GN=fabI PE=1 SV=2	yes	F1	"Cell inner membrane; Peripheral membrane protein. "	Cytoplasmic	262			0	0	0	0		CYT 		0	0.14	0.13		0	27	0.171
C6EE46	yijC ECBD_4061 ECD_03848	yijC		ECBD_4061 ECD_03848	C6EE46_ECOBD		Predicted		DNA-binding transcriptional repressor (Transcriptional regulator, TetR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0016566; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	234		FABR_ECOLI	P0ACU5		>P0ACU5|FABR_ECOLI HTH-type transcriptional repressor fabR OS=Escherichia coli (strain K12) GN=fabR PE=1 SV=1	yes	A	Cytoplasm. 	Cytoplasmic	215			0	0	0	0		CYT 		0	0.17	0.00		0	30	0.279
C6EAA5	fabZ ECBD_3439 ECD_00178	fabZ		ECBD_3439 ECD_00178	C6EAA5_ECOBD	Cytoplasm. 	Inferred from homology	Thioester dehydratase family, FabZ subfamily	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase ((3R)-hydroxymyristoyl ACP dehydrase) (EC 4.2.1.-)	"GO:0005737; GO:0006633; GO:0016836; GO:0009245"	"Complete proteome; Cytoplasm; Lipid A biosynthesis; Lipid synthesis; Lyase"	151		FABZ_ECOLI	P0A6Q6	Peripheral IM Peri side ref - Anna Lopez 2005 http://www.mcponline.org/content/4/8/1205.abstract - ref: Heath,R.J.,andRock,C.O.(1996)RolesoftheFabAandFabZ  -hy-droxyacyl acylcarrierproteindehydratases	>P0A6Q6|FABZ_ECOLI (3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli (strain K12) GN=fabZ PE=1 SV=1	yes	F1	Cytoplasm. 	Cytoplasmic >EXP<	151			0	0	0	0		CYT 		0	0.70	0.04		0	52	0.031
C6EF53	fadA ECBD_4180 ECD_03736	fadA		ECBD_4180 ECD_03736	C6EF53_ECOBD	Cytoplasm. 	Inferred from homology	Thiolase family	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	"GO:0003988; GO:0005737; GO:0006631; GO:0016042"	"Acyltransferase; Complete proteome; Cytoplasm; Fatty acid metabolism; Lipid degradation; Lipid metabolism; Transferase"	387		FADA_ECOLI	P21151		>P21151|FADA_ECOLI 3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadA PE=1 SV=3	yes	A	Cytoplasm. 	Cytoplasmic	387			0	0	28	0		CYT 		0	2.21	0.00		0	39	0.128
C6EF52	fadB ECBD_4179 ECD_03737	fadB		ECBD_4179 ECD_03737	C6EF52_ECOBD		Inferred from homology	"3-hydroxyacyl-CoA dehydrogenase family; Enoyl-CoA hydratase/isomerase family"	Fatty acid oxidation complex subunit alpha	"GO:0003857; GO:0008692; GO:0050662; GO:0004165; GO:0004300; GO:0016507; GO:0009062; GO:0055114"	"Complete proteome; Fatty acid metabolism; Isomerase; Lipid degradation; Lipid metabolism; Lyase; Multifunctional enzyme; NAD; Oxidoreductase"	729		FADB_ECOLI	P21177		>P21177|FADB_ECOLI Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadB PE=1 SV=2	yes	A		Cytoplasmic	729			0	0	0	0		CYT 		0	0.10	0.00		0	62	0.023
C6EA67	fadE ECBD_3401 ECD_00216	fadE		ECBD_3401 ECD_00216	C6EA67_ECOBD		Predicted		Acyl-CoA dehydrogenase (EC 1.3.99.3) (Putative uncharacterized protein)	"GO:0050660; GO:0003995; GO:0033539; GO:0055114"	"Complete proteome; Oxidoreductase; Signal"	814		FADE_ECOLI	Q47146		>Q47146|FADE_ECOLI Acyl-coenzyme A dehydrogenase OS=Escherichia coli (strain K12) GN=fadE PE=2 SV=2	yes	B		Integral Membrane Protein	814	SEC		0	0.749	29	0		TMH 	11.756	2	48.72	44.39	17	2	52	0.169
C6EHR5	fadH ECBD_0661 ECD_02950	fadH		ECBD_0661 ECD_02950	C6EHR5_ECOBD		Predicted		2,4-dienoyl-CoA reductase, NADH and FMN-linked (EC 1.3.1.34) (NADH:flavin oxidoreductase/NADH oxidase)	"GO:0008670; GO:0010181; GO:0055114"	"Complete proteome; Oxidoreductase"	672		FADH_ECOLI	P42593		>P42593|FADH_ECOLI 2,4-dienoyl-CoA reductase [NADPH] OS=Escherichia coli (strain K12) GN=fadH PE=1 SV=3	yes	A		Cytoplasmic	672			0	0	0	0		CYT 		0	0.05	0.01		0	61	0.042
C6ELB2	yfcY fadI ECBD_1318 ECD_02266	yfcY	fadI	ECBD_1318 ECD_02266	C6ELB2_ECOBD	Cytoplasm. 	Inferred from homology	Thiolase family	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	"GO:0003988; GO:0005737; GO:0006631; GO:0016042"	"Acyltransferase; Complete proteome; Cytoplasm; Fatty acid metabolism; Lipid degradation; Lipid metabolism; Transferase"	436		FADI_ECOLI	P76503		>P76503|FADI_ECOLI 3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadI PE=1 SV=1	yes	A	Cytoplasm. 	-	436			0	0	0	0		CYT 		0	7.78	0.00		0	31	0.233
C6ELB3	yfcX fadJ ECBD_1319 ECD_02265	yfcX	fadJ	ECBD_1319 ECD_02265	C6ELB3_ECOBD	Cytoplasm. 	Inferred from homology	"Enoyl-CoA hydratase/isomerase family; 3-hydroxyacyl-CoA dehydrogenase family"	Fatty acid oxidation complex subunit alpha	"GO:0003857; GO:0008692; GO:0051287; GO:0004300; GO:0006635; GO:0016507; GO:0055114"	"Complete proteome; Cytoplasm; Fatty acid metabolism; Isomerase; Lipid degradation; Lipid metabolism; Lyase; Multifunctional enzyme; NAD; Oxidoreductase"	714		FADJ_ECOLI	P77399		>P77399|FADJ_ECOLI Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadJ PE=1 SV=1	yes	A	Cytoplasm. 	-	714			0	0	0	0		CYT 		0	0.34	0.00		0	41	0.039
C6ECQ6	ECBD_1945			ECBD_1945	C6ECQ6_ECOBD		Predicted		AMP-dependent synthetase and ligase	GO:0016874	"Complete proteome; Ligase"	548		FADK_ECOLI	P38135		>P38135|FADK_ECOLI Short-chain-fatty-acid--CoA ligase OS=Escherichia coli (strain K12) GN=fadK PE=1 SV=3	yes	F1	"Membrane; Peripheral membrane protein. "	-	548			0	0	14	0.487		CYT 		0	0.65	0.00		0	13	0.261
C6ELB0	ECBD_1316			ECBD_1316	C6ELB0_ECOBD		Predicted		Membrane protein involved in aromatic hydrocarbon degradation	"GO:0009279; GO:0016021; GO:0005215"	"Complete proteome; Signal"	446		FADL_ECOLI	P10384		>P10384|FADL_ECOLI Long-chain fatty acid transport protein OS=Escherichia coli (strain K12) GN=fadL PE=1 SV=5	yes	H	"Cell outer membrane; Multi-pass membrane protein. "	Outer Membrane &#223-barrel protein >EXP<	446	SEC	BAM	26	1.000	26	0.845	25	SpI 	16.452	0	4.58	4.54	25	0	43	0.186
C6EGT0	fadR ECBD_2435 ECD_01162	fadR		ECBD_2435 ECD_01162	C6EGT0_ECOBD	Cytoplasm. 	Inferred from homology		Fatty acid metabolism regulator (Fatty acid metabolism transcriptional regulator FadR)	"GO:0003677; GO:0000062; GO:0005737; GO:0006631; GO:0019217; GO:0006355; GO:0003700; GO:0006350"	"Activator; Complete proteome; Cytoplasm; DNA-binding; Fatty acid metabolism; Lipid metabolism; Repressor; Transcription; Transcription regulation"	239		FADR_ECOLI	P0A8V6		>P0A8V6|FADR_ECOLI Fatty acid metabolism regulator protein OS=Escherichia coli (strain K12) GN=fadR PE=1 SV=2	yes	A	Cytoplasm. 	Cytoplasmic	239			0	0	0	0		CYT 		0	1.50	0.00		0	11	0.029
C6EAQ5	wcaG ECBD_1603 ECD_01958	wcaG		ECBD_1603 ECD_01958	C6EAQ5_ECOBD		Predicted		Bifunctional GDP-fucose synthetase: GDP-4-dehydro-6-deoxy-D-mannose epimerase/ GDP-4-dehydro-6-L-deoxygalactose reductase (EC 1.-.-.-) (EC 5.1.3.-) (NAD-dependent epimerase/dehydratase)	"GO:0044237; GO:0050662; GO:0016853; GO:0055114; GO:0016491"	"Complete proteome; Isomerase; Oxidoreductase"	321		FCL_ECOLI	P32055		>P32055|FCL_ECOLI GDP-L-fucose synthetase OS=Escherichia coli (strain K12) GN=fcl PE=1 SV=2	yes	A	Cytoplasm. 	Cytoplasmic	321			0	0	0	0		CYT 		0	0.11	0.00		0	20	0.144
C6EL94	yfdW ECBD_1298 ECD_02284	yfdW		ECBD_1298 ECD_02284	C6EL94_ECOBD		Predicted		Formyl-CoA transferase (Formyl-coenzyme A transferase)	GO:0033608	"Complete proteome; Transferase"	416		FCTA_ECOLI	P69902		>P69902|FCTA_ECOLI Formyl-coenzyme A transferase OS=Escherichia coli (strain K12) GN=frc PE=1 SV=1		B		-	416	SEC		0	0	0	0		CYT 		0	0.08	0.00		0	33	0.143
C6EF04	fdhD ECBD_4130 ECD_03780	fdhD		ECBD_4130 ECD_03780	C6EF04_ECOBD	Cytoplasm. 	Inferred from homology	FdhD family	Protein fdhD	"GO:0005737; GO:0008863; GO:0009326"	"Complete proteome; Cytoplasm"	277		FDHD_ECOLI	P32177	notes: Bernsel Theoretical but no predictions	>P32177|FDHD_ECOLI Protein fdhD OS=Escherichia coli (strain K12) GN=fdhD PE=3 SV=1	yes	A	Cytoplasm. 	Cytoplasmic	277	SEC		0	0	0	0		CYT 		0	2.12	0.06		0	11	0.095
C6EF08	fdhE ECBD_4134 ECD_03776	fdhE		ECBD_4134 ECD_03776	C6EF08_ECOBD	Cytoplasm. 	Inferred from homology	FdhE family	Protein fdhE	GO:0005737	"Complete proteome; Cytoplasm"	309		FDHE_ECOLI	P13024	notes: Bernsel Theoretical but no predictions	>P13024|FDHE_ECOLI Protein fdhE OS=Escherichia coli (strain K12) GN=fdhE PE=3 SV=2	yes	A	Cytoplasm. 	Cytoplasmic	309	SEC		0	0	0	0		CYT 		0	0.06	0.00		0	19	0.066
C6EEP2	fdnH ECBD_2164 ECD_01433	fdnH		ECBD_2164 ECD_01433	C6EEP2_ECOBD		Predicted		Formate dehydrogenase, beta subunit (Formate dehydrogenase-N, Fe-S (Beta) subunit, nitrate-inducible) (EC 1.2.1.2)	"GO:0045333; GO:0009055; GO:0008863; GO:0016021; GO:0051536; GO:0055114"	"Complete proteome; Oxidoreductase"	294		FDNH_ECOLI	P0AAJ3		>P0AAJ3|FDNH_ECOLI Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit OS=Escherichia coli (strain K12) GN=fdnH PE=1 SV=1	yes	B	"Cell membrane; Single-pass membrane protein. "	Membrane anchored >EXP<	294	SEC		0	0	0	0		CYT 		1	18.61	0.00		1	24	0.097
C6EEP1	fdnI ECBD_2163 ECD_01434	fdnI		ECBD_2163 ECD_01434	C6EEP1_ECOBD		Predicted		Formate dehydrogenase, gamma subunit (Formate dehydrogenase-N, cytochrome B556 (Gamma) subunit, nitrate-inducible) (EC 1.2.1.2)	"GO:0009055; GO:0008863; GO:0009326; GO:0016021; GO:0022904"	"Complete proteome; Oxidoreductase; Signal"	217		FDNI_ECOLI	P0AEK7		>P0AEK7|FDNI_ECOLI Formate dehydrogenase, nitrate-inducible, cytochrome b556(fdn) subunit OS=Escherichia coli (strain K12) GN=fdnI PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<	217	SEC		0	0.630	28	0		TMH 	22.146	4	89.08	27.78		4	48	0.142
C6EF06	fdoH ECBD_4132 ECD_03778	fdoH		ECBD_4132 ECD_03778	C6EF06_ECOBD		Predicted		Formate dehydrogenase, beta subunit (Formate dehydrogenase-O, Fe-S subunit) (EC 1.2.1.2)	"GO:0045333; GO:0009055; GO:0008863; GO:0016021; GO:0051536; GO:0055114"	"Complete proteome; Oxidoreductase"	300		FDOH_ECOLI	P0AAJ5		>P0AAJ5|FDOH_ECOLI Formate dehydrogenase-O iron-sulfur subunit OS=Escherichia coli (strain K12) GN=fdoH PE=1 SV=1	yes	B	"Cell membrane; Single-pass membrane protein. "	Membrane anchored	300	SEC		0	0	24	0		CYT 		0	13.32	0.00		0	23	0.231
C6EF07	fdoI ECBD_4133 ECD_03777	fdoI		ECBD_4133 ECD_03777	C6EF07_ECOBD		Predicted		Formate dehydrogenase, gamma subunit (Formate dehydrogenase-O, cytochrome b556 subunit) (EC 1.2.1.2)	"GO:0009055; GO:0008863; GO:0009326; GO:0016021; GO:0022904"	"Complete proteome; Oxidoreductase"	211		FDOI_ECOLI	P0AEL0		>P0AEL0|FDOI_ECOLI Formate dehydrogenase, cytochrome b556(fdo) subunit OS=Escherichia coli (strain K12) GN=fdoI PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	211	SEC		0	0	28	0		TMH 	16.496	4	89.19	28.37		4	44	0.210
C6EKU8	fdrA ECBD_3140 ECD_00468	fdrA		ECBD_3140 ECD_00468	C6EKU8_ECOBD		Predicted		FdrA family protein (Membrane protein FdrA)	"GO:0005488; GO:0003824"	Complete proteome	555		FDRA_ECOLI	Q47208		>Q47208|FDRA_ECOLI Protein fdrA OS=Escherichia coli (strain K12) GN=fdrA PE=1 SV=1		A	"Cell membrane; Multi-pass membrane protein. "	Integral Membrane Protein	555			0	0	0	0		CYT 		0	0.76	0.00		0	43	0.053
C6EEV9	feaB ECBD_2238 ECD_01357	feaB		ECBD_2238 ECD_01357	C6EEV9_ECOBD		Inferred from homology	Aldehyde dehydrogenase family	Phenylacetaldehyde dehydrogenase (EC 1.2.1.39)	"GO:0055114; GO:0008957"	"Complete proteome; Oxidoreductase"	499		FEAB_ECOLI	P80668		>P80668|FEAB_ECOLI Phenylacetaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=feaB PE=1 SV=2		A		Cytoplasmic	499			0	0	0	0		CYT 		0	1.42	0.00		0	38	0.037
C6EEW0	feaR ECBD_2239 ECD_01356	feaR		ECBD_2239 ECD_01356	C6EEW0_ECOBD		Predicted		DNA-binding transcriptional dual regulator (Transcriptional regulator, AraC family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	301		FEAR_ECOLI	Q47129		>Q47129|FEAR_ECOLI Transcriptional activator feaR OS=Escherichia coli (strain K12) GN=feaR PE=1 SV=1		A		Cytoplasmic	301			0	0	0	0		CYT 		0	0.00	0.00		0	41	0.064
C6EC65	fecA ECBD_3747 ECD_04157	fecA		ECBD_3747 ECD_04157	C6EC65_ECOBD	Cell outer membrane. 	Inferred from homology	TonB-dependent receptor family	Ferric citrate outer membrane transporter (TonB-dependent siderophore receptor)	"GO:0009279; GO:0016021; GO:0005506; GO:0005886; GO:0004872; GO:0015343"	"Cell membrane; Cell outer membrane; Complete proteome; Membrane; Receptor; Signal; TonB box; Transmembrane"	774		FECA_ECOLI	P13036		>P13036|FECA_ECOLI Fe(3+) dicitrate transport protein fecA OS=Escherichia coli (strain K12) GN=fecA PE=1 SV=2	yes	H	Cell outer membrane. 	Outer Membrane &#223-barrel protein >EXP<	774	SEC	BAM	34	1.000	34	0.864	33	SpI 	18.814	0	8.03	8.02	33	0	33	0.320
C6EC66	fecB ECBD_3748 ECD_04156	fecB		ECBD_3748 ECD_04156	C6EC66_ECOBD		Predicted		Iron-dicitrate transporter subunit (Periplasmic binding protein)	"GO:0006827; GO:0005381"	"Complete proteome; Signal"	300		FECB_ECOLI	P15028		>P15028|FECB_ECOLI Fe(3+) dicitrate-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fecB PE=3 SV=3	yes	G	Periplasm. 	Periplasmic >EXP<	300	SEC		22	1.000	22	0.665	21	SpI 	8.429	0	16.91	16.35	21	0	21	0.082
C6EC69	fecE ECBD_3751 ECD_04153	fecE		ECBD_3751 ECD_04153	C6EC69_ECOBD		Predicted	ABC transporter superfamily	ABC transporter related (Iron-dicitrate transporter subunit)	"GO:0005524; GO:0016887"	"ATP-binding; Complete proteome; Nucleotide-binding"	255		FECE_ECOLI	P15031		>P15031|FECE_ECOLI Fe(3+) dicitrate transport ATP-binding protein fecE OS=Escherichia coli (strain K12) GN=fecE PE=1 SV=1	yes	F1	"Cell inner membrane; Peripheral membrane protein. "	Cytoplasmic	255			0	0	0	0		CYT 		0	0.02	0.02		0	45	0.125
C6EC63	fecI ECBD_3745 ECD_04159	fecI		ECBD_3745 ECD_04159	C6EC63_ECOBD		Inferred from homology	Sigma-70 factor family, ECF subfamily	RNA polymerase sigma factor	"GO:0003677; GO:0006355; GO:0003700; GO:0016987; GO:0006352"	"Complete proteome; DNA-binding; Sigma factor; Transcription; Transcription regulation"	173		FECI_ECOLI	P23484		>P23484|FECI_ECOLI Probable RNA polymerase sigma factor fecI OS=Escherichia coli (strain K12) GN=fecI PE=1 SV=3		A		Cytoplasmic	173			0	0	0	0		CYT 		0	0.03	0.02		0	22	0.180
C6EC64	fecR ECBD_3746 ECD_04158	fecR		ECBD_3746 ECD_04158	C6EC64_ECOBD		Predicted		Anti-FecI sigma factor, FecR (Transmembrane signal transducer for ferric citrate transport)	GO:0016021	"Complete proteome; Membrane; Transmembrane"	317		FECR_ECOLI	P23485		>P23485|FECR_ECOLI Protein fecR OS=Escherichia coli (strain K12) GN=fecR PE=4 SV=1		B	Periplasm. 	Integral Membrane Protein	317	SEC		0	0	7	0		CYT 		0	0.95	0.00		0	21	0.186
C6EEX4	fpr ECBD_4100 ECD_03809	fpr		ECBD_4100 ECD_03809	C6EEX4_ECOBD		Predicted		Ferredoxin-NADP reductase (EC 1.18.1.2) (Oxidoreductase FAD/NAD(P)-binding domain protein)	"GO:0004324; GO:0055114"	"Complete proteome; Oxidoreductase"	248		FENR_ECOLI	P28861		>P28861|FENR_ECOLI Ferredoxin--NADP reductase OS=Escherichia coli (strain K12) GN=fpr PE=1 SV=4	yes	A		Cytoplasmic	248			0	0	27	0		CYT 		0	1.86	0.73		0	33	0.109
C6EFG6	feoA ECBD_0337 ECD_03260	feoA		ECBD_0337 ECD_03260	C6EFG6_ECOBD		Predicted		FeoA family protein (Ferrous iron transport protein A)	GO:0005506	Complete proteome	75		FEOA_ECOLI	P0AEL3		>P0AEL3|FEOA_ECOLI Ferrous iron transport protein A OS=Escherichia coli (strain K12) GN=feoA PE=1 SV=1		A		Cytoplasmic	75			0	0	0	0		CYT 		0	0.21	0.21		0	43	0.142
C6EFG5	ECBD_0336			ECBD_0336	C6EFG5_ECOBD		Predicted		Ferrous iron transport protein B	"GO:0005525; GO:0015093; GO:0016021; GO:0001882"	"Complete proteome; GTP-binding; Nucleotide-binding"	773		FEOB_ECOLI	P33650		>P33650|FEOB_ECOLI Ferrous iron transport protein B OS=Escherichia coli (strain K12) GN=feoB PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	773	SEC		0	0	0	0		CYT 		10	218.04	0.00		9	41	0.130
C6EFG4	ECBD_0335			ECBD_0335	C6EFG4_ECOBD		Inferred from homology		Putative uncharacterized protein	"GO:0051536; GO:0046872"	"Complete proteome; Iron; Iron-sulfur; Metal-binding"	78		FEOC_ECOLI	P64638		>P64638|FEOC_ECOLI Ferrous iron transport protein C OS=Escherichia coli (strain K12) GN=feoC PE=1 SV=1		A		Cytoplasmic	78			0	0	0	0		CYT 		0	0.00	0.00		0	35	0.140
C6EKB2	fepA ECBD_3072 ECD_00550	fepA		ECBD_3072 ECD_00550	C6EKB2_ECOBD	Cell outer membrane. 	Inferred from homology	TonB-dependent receptor family	Iron-enterobactin outer membrane transporter (TonB-dependent siderophore receptor)	"GO:0009279; GO:0016021; GO:0005506; GO:0005886; GO:0004872; GO:0015343"	"Cell membrane; Cell outer membrane; Complete proteome; Membrane; Receptor; Signal; TonB box; Transmembrane"	746		FEPA_ECOLI	P05825		>P05825|FEPA_ECOLI Ferrienterobactin receptor OS=Escherichia coli (strain K12) GN=fepA PE=1 SV=2	yes	H	"Cell outer membrane; Multi-pass membrane protein. "	Outer Membrane &#223-barrel protein >EXP<	746	SEC	BAM	23	1.000	23	0.618	22	SpI 	11.540	0	0.25	0.22	22	0	22	0.040
C6EKA3	fepB ECBD_3063 ECD_00559	fepB		ECBD_3063 ECD_00559	C6EKA3_ECOBD		Predicted		Iron-enterobactin transporter subunit (Periplasmic binding protein)	"GO:0006827; GO:0005381"	"Complete proteome; Signal"	318		FEPB_ECOLI	P0AEL6		>P0AEL6|FEPB_ECOLI Ferrienterobactin-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fepB PE=1 SV=1	yes	G	Periplasm. 	Periplasmic >EXP<	318	SEC		27	1.000	27	0.799	26	SpI 	13.373	0	12.98	12.66	26	0	26	0.090
C6EKA7	fepC ECBD_3067 ECD_00555	fepC		ECBD_3067 ECD_00555	C6EKA7_ECOBD		Predicted	ABC transporter superfamily	ABC transporter related (Iron-enterobactin transporter subunit)	"GO:0005524; GO:0016887"	"ATP-binding; Complete proteome; Nucleotide-binding"	271		FEPC_ECOLI	P23878		>P23878|FEPC_ECOLI Ferric enterobactin transport ATP-binding protein fepC OS=Escherichia coli (strain K12) GN=fepC PE=3 SV=2	yes	F1	"Cell inner membrane; Peripheral membrane protein. "	Cytoplasmic	271			0	0	0	0		CYT 		0	0.00	0.00		0	6	0.257
C6EKA8	fepE ECBD_3068 ECD_00554	fepE		ECBD_3068 ECD_00554	C6EKA8_ECOBD		Predicted		Lipopolysaccharide biosynthesis protein (Regulator of length of O-antigen component of lipopolysaccharide chains)	"GO:0009103; GO:0016020"	Complete proteome	377		FEPE_ECOLI	P26266		>P26266|FEPE_ECOLI Ferric enterobactin transport protein fepE OS=Escherichia coli (strain K12) GN=fepE PE=1 SV=2		B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	377	SEC		0	0	0	0		CYT 		2	41.79	17.54		2	51	0.094
C6EKA6	fepG ECBD_3066 ECD_00556	fepG		ECBD_3066 ECD_00556	C6EKA6_ECOBD		Predicted		Iron-enterobactin transporter subunit (Transport system permease protein)	"GO:0016021; GO:0005886; GO:0005215"	"Cell membrane; Complete proteome; Membrane; Signal; Transmembrane; Transmembrane helix; Transport"	330		FEPG_ECOLI	P23877		>P23877|FEPG_ECOLI Ferric enterobactin transport system permease protein fepG OS=Escherichia coli (strain K12) GN=fepG PE=1 SV=2	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	330	SEC		23	0.998	23	0.694		TMH 	10.936	8	180.55	23.13	41	8	41	0.178
C6EKI2	fdx ECBD_1159 ECD_02417	fdx		ECBD_1159 ECD_02417	C6EKI2_ECOBD		Predicted		Ferredoxin, 2Fe-2S type, ISC system ([2Fe-2S] ferredoxin)	"GO:0051537; GO:0009055; GO:0046872"	"Complete proteome; Iron; Iron-sulfur; Metal-binding"	111		FER_ECOLI	P0A9R4		>P0A9R4|FER_ECOLI 2Fe-2S ferredoxin OS=Escherichia coli (strain K12) GN=fdx PE=1 SV=2	yes	A		Cytoplasmic	111			0	0	0	0		CYT 		0	0.00	0.00		0	41	0.044
C6EKB1	ECBD_3071			ECBD_3071	C6EKB1_ECOBD		Predicted		Putative esterase	"GO:0005737; GO:0008849; GO:0005506; GO:0006826"	Complete proteome	400		FES_ECOLI	P13039		>P13039|FES_ECOLI Enterochelin esterase OS=Escherichia coli (strain K12) GN=fes PE=1 SV=1		A	Cytoplasm. 	Cytoplasmic	374			0	0	0	0		CYT 		0	0.01	0.00		0	46	0.055
