Reference Locus	Reference Common Name	Comparison Locus	Comparison Common Name	Percent Similarity	
b0049	diadenosine tetraphosphatase	ECBD_3566	bis(5nucleosyl)-tetraphosphatase, ApaH	100.0	
b1422	putative transcriptional regulator LYSR-type	ECBD_2217	transcriptional regulator, LysR family	100.0	
b2030	IS5 transposase	ECBD_0756	transposase IS4 family protein	100.0	
b0381	D-alanine-D-alanine ligase A	ECBD_3283	D-alanine/D-alanine ligase	100.0	
b4331	orf, hypothetical protein	ECBD_3700	phosphotransferase KptA/Tpt1	100.0	
b3444	IS1 protein InsA	ECBD_3078	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_3297	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_3380	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_1569	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_1442	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_0927	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_1062	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_3407	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_3690	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_0298	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_1313	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_3269	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_3683	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_1125	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_3723	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_3032	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_0372	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_0099	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_2223	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_3049	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_1546	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_3103	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_3596	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_3740	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_1626	Insertion element protein	100.0	
b3444	IS1 protein InsA	ECBD_2482	Insertion element protein	100.0	
b0676	transcriptional repressor of nag (N-acetylglucosamine) operon	ECBD_2986	ROK family protein	100.0	
b4395	phosphoglyceromutase 2	ECBD_3625	Phosphoglycerate mutase	100.0	
b1941	flagellum-specific ATP synthase	ECBD_1704	ATPase, FliI/YscN family	100.0	
b3743	regulator for asnA, asnC and gidA	ECBD_4289	transcriptional regulator, AsnC family	100.0	
b3412	biotin biosynthesis; reaction prior to pimeloyl CoA	ECBD_0333	bioH protein	100.0	
b1969	putative 2-component transcriptional regulator	ECBD_1678	two component heavy metal response transcriptional regulator, winged helix family	100.0	
b2559	putative deaminase	ECBD_1123	CMP/dCMP deaminase zinc-binding	100.0	
b2154	putative esterase (EC 3.1.1.-).	ECBD_1504	S-formylglutathione hydrolase	100.0	
b0712	putative carboxylase	ECBD_2949	urea amidolyase related protein	100.0	
b0525	peptidyl-prolyl cis-trans isomerase B (rotamase B)	ECBD_3133	peptidyl-prolyl cis-trans isomerase cyclophilin type	100.0	
b4088	putative LACI-type transcriptional regulator	ECBD_3942	periplasmic binding protein/LacI transcriptional regulator	100.0	
b0357	putative alpha helix chain	ECBD_3300	protein of unknown function DUF156	100.0	
b3336	bacterioferrin, an iron storage homoprotein	ECBD_0415	bacterioferritin	100.0	
b4353	orf, hypothetical protein	ECBD_3677	protein of unknown function DUF466	100.0	
b1435	putative collagenase	ECBD_2204	peptidase U32	100.0	
b1131	adenylosuccinate lyase	ECBD_2468	adenylosuccinate lyase	100.0	
b4062	regulation of superoxide response regulon	ECBD_3970	transcriptional regulator, AraC family	100.0	
b3015	orf, hypothetical protein	ECBD_0724	Radical SAM domain protein	100.0	
b3433	aspartate-semialdehyde dehydrogenase	ECBD_0309	aspartate-semialdehyde dehydrogenase	100.0	
b2729	pleiotrophic effects on 3 hydrogenase isozymes	ECBD_0996	hydrogenase expression/formation protein HypD	100.0	
b3515	putative ARAC-type regulatory protein	ECBD_0225	transcriptional regulator, AraC family	100.0	
b3006	uptake of enterochelin; tonB-dependent uptake of B colicins	ECBD_0733	tonB-system energizer ExbB	100.0	
b1061	damage-inducible protein I	ECBD_2539	DinI family protein	100.0	
b2221	acetyl-CoA:acetoacetyl-CoA transferase alpha subunit	ECBD_1438	3-oxoacid CoA-transferase, A subunit	100.0	
b3163	putative control proteins	ECBD_0577	Tetratricopeptide TPR_2 repeat protein	100.0	
b4268	gluconate kinase, thermosensitive glucokinase	ECBD_3768	carbohydrate kinase, thermoresistant glucokinase family	100.0	
b0096	UDP-3-O-acyl N-acetylglucosamine deacetylase; lipid A biosynthesis	ECBD_3521	UDP-3-0-acyl N-acetylglucosamine deacetylase	100.0	
b3446	orf, hypothetical protein	ECBD_0295	conserved hypothetical protein	100.0	
b4085	putative epimerase	ECBD_3945	Ribulose-phosphate 3-epimerase	100.0	
b2124	orf, hypothetical protein	ECBD_1535	protein of unknown function DUF1456	100.0	
b1419	orf, hypothetical protein	ECBD_2220	conserved hypothetical protein	100.0	
b2234	ribonucleoside diphosphate reductase 1, alpha subunit, B1	ECBD_1426	ribonucleoside-diphosphate reductase, alpha subunit	100.0	
b2431	orf, hypothetical protein	ECBD_1251	Dyp-type peroxidase family	100.0	
b4293	probable RNA polymerase sigma factor	ECBD_3745	RNA polymerase, sigma-24 subunit, ECF subfamily	100.0	
b4060	orf, hypothetical protein	ECBD_3972	conserved hypothetical protein	100.0	
b4126	orf, hypothetical protein	ECBD_3905	protein of unknown function DUF1271	100.0	
b3454	ATP-binding component of leucine transport	ECBD_0287	ABC transporter related	100.0	
b0622	orf, hypothetical protein	ECBD_3028	Antimicrobial peptide resistance and lipid A acylation PagP	100.0	
b4171	delta(2)-isopentenylpyrophosphate tRNA-adenosine transferase	ECBD_3863	tRNA delta(2)-isopentenylpyrophosphate transferase	100.0	
b1077	flagellar biosynthesis, cell-proximal portion of basal-body rod	ECBD_2523	flagellar basal-body rod protein FlgF	100.0	
b3386	D-ribulose-5-phosphate 3-epimerase	ECBD_0361	ribulose-phosphate 3-epimerase	100.0	
b1237	DNA-binding protein HLP-II (HU, BH2, HD, NS); pleiotropic regulator	ECBD_2385	histone family protein nucleoid-structuring protein H-NS	100.0	
b4236	cytochrome b(562)	ECBD_3798	cytochrome b562	100.0	
b2566	GTP-binding protein	ECBD_1115	GTP-binding protein Era	100.0	
b3892	formate dehydrogenase, cytochrome B556 (FDO) subunit	ECBD_4133	formate dehydrogenase, gamma subunit	100.0	
b1951	positive regulator for ctr capsule biosynthesis, positive transcription factor	ECBD_1694	transcriptional regulator, LuxR family	100.0	
b2930	orf, hypothetical protein	ECBD_0808	fructose-1,6-bisphosphatase, class II	100.0	
b4324	regulator for uxu operon	ECBD_3710	regulatory protein GntR HTH	100.0	
b3206	phosphocarrier protein HPr-like NPr, nitrogen related, exchanges phosphate with Enzyme I, Hpr	ECBD_0536	Phosphotransferase system, phosphocarrier protein HPr	100.0	
b0632	D-alanyl-D-alanine carboxypeptidase, fraction A; penicillin-binding protein 5	ECBD_3019	Beta-lactamase	100.0	
b2562	orf, hypothetical protein	ECBD_1120	4Fe-4S ferredoxin iron-sulfur binding domain protein	100.0	
b2101	putative transcriptional regulator	ECBD_1556	transcriptional regulator, GntR family	100.0	
b0191	orf, hypothetical protein	ECBD_3427	Class I peptide chain release factor	100.0	
b2052	putative nucleotide di-P-sugar epimerase or dehydratase	ECBD_1603	NAD-dependent epimerase/dehydratase	100.0	
b0344	beta-D-galactosidase	ECBD_2907	Beta-galactosidase	100.0	
b4278	IS4 hypothetical protein	ECBD_3764	transposase IS4 family protein	100.0	
b3119	threonine dehydratase operon activator protein	ECBD_0621	DNA-binding transcriptional activator TdcR	100.0	
b2696	carbon storage regulator; controls glycogen synthesis, gluconeogenesis, cell size and surface properties	ECBD_1029	carbon storage regulator, CsrA	100.0	
b0889	regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system	ECBD_2706	transcriptional regulator, AsnC family	100.0	
b4021	peptidase E, a dipeptidase where amino-terminal residue is aspartate	ECBD_4016	Dipeptidase E	100.0	
b3331	putative export protein I for general secretion pathway (GSP)	ECBD_0420	general secretion pathway protein J	100.0	
b3471	orf, hypothetical protein	ECBD_0270	membrane protein, putative	100.0	
b0931	nicotinate phosphoribosyltransferase	ECBD_2664	nicotinate phosphoribosyltransferase	100.0	
b3354	orf, hypothetical protein	ECBD_0394	protein of unknown function UPF0270	100.0	
b1233	orf, hypothetical protein	ECBD_2389	SEC-C motif domain protein	100.0	
b1027	orf, hypothetical protein	ECBD_2567	transposase IS3/IS911 family protein	100.0	
b1027	orf, hypothetical protein	ECBD_0875	transposase IS3/IS911 family protein	100.0	
b1027	orf, hypothetical protein	ECBD_2089	transposase IS3/IS911 family protein	100.0	
b1027	orf, hypothetical protein	ECBD_2236	transposase IS3/IS911 family protein	100.0	
b3425	protein of glp regulon	ECBD_0317	Thiosulfate sulfurtransferase	100.0	
b3033	putative enzyme	ECBD_0706	protein of unknown function DUF1249	100.0	
b3382	orf, hypothetical protein	ECBD_0365	conserved hypothetical protein	100.0	
b1741	putative excinuclease subunit	ECBD_1904	Excinuclease ABC C subunit domain protein	100.0	
b3938	repressor of all met genes but metF	ECBD_4085	methionine repressor, MetJ	100.0	
b1897	trehalose-6-phosphate phophatase, biosynthetic	ECBD_1743	trehalose-phosphatase	100.0	
b1167	orf, hypothetical protein	ECBD_2455	uncharacterized protein YmgC	100.0	
b0346	transcriptional regulator for mhp operon	ECBD_3311	transcriptional regulator, IclR family	100.0	
b4397	orf, hypothetical protein	ECBD_3623	CreA family protein	100.0	
b0682	orf, hypothetical protein	ECBD_2979	lipoprotein, putative	100.0	
b1308	phage shock protein	ECBD_2309	phage shock operon rhodanese PspE	100.0	
b0494	acyl-CoA thioesterase I; also functions as protease I	ECBD_3162	Lysophospholipase	100.0	
b0495	putative ATP-binding component of a transport system	ECBD_3161	ABC transporter related	100.0	
b2259	polymyxin resistance protein B	ECBD_1399	polymyxin resistance protein B	100.0	
b4202	30S ribosomal subunit protein S18	ECBD_3832	ribosomal protein S18	100.0	
b1290	putative ATP-binding protein of peptide transport system	ECBD_2327	ABC transporter related	100.0	
b3914	orf, hypothetical protein	ECBD_4110	protein of unknown function Spy-related	100.0	
b3509	orf, hypothetical protein	ECBD_0232	acid-resistance protein	100.0	
b2544	orf, hypothetical protein	ECBD_1140	Aldose 1-epimerase	100.0	
b0610	regulator of nucleoside diphosphate kinase	ECBD_3042	GreA/GreB family elongation factor	100.0	
b3188	regulatory factor of maltose metabolism; similar to Ner repressor protein of phage Mu	ECBD_0554	putative transcriptional regulator, Nlp	100.0	
b1434	orf, hypothetical protein	ECBD_2205	transcriptional regulator, XRE family	100.0	
b2500	phosphoribosylglycinamide formyltransferase 1	ECBD_1188	phosphoribosylglycinamide formyltransferase	100.0	
b2311	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	ECBD_1348	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	100.0	
b3964	orf, hypothetical protein	ECBD_4060	protein of unknown function DUF1422	100.0	
b1869	orf, hypothetical protein	ECBD_1769	conserved hypothetical protein	100.0	
b0429	cytochrome o ubiquinol oxidase subunit IV	ECBD_3229	cytochrome o ubiquinol oxidase subunit IV	100.0	
b3186	50S ribosomal subunit protein L21	ECBD_0556	ribosomal protein L21	100.0	
b3577	orf, hypothetical protein	ECBD_0157	Tripartite ATP-independent periplasmic transporter DctQ component	100.0	
b1893	IS1 protein InsB	ECBD_3724	IS1 transposase	100.0	
b1893	IS1 protein InsB	ECBD_0100	IS1 transposase	100.0	
b1893	IS1 protein InsB	ECBD_1547	IS1 transposase	100.0	
b1893	IS1 protein InsB	ECBD_2481	IS1 transposase	100.0	
b1893	IS1 protein InsB	ECBD_1568	IS1 transposase	100.0	
b1893	IS1 protein InsB	ECBD_3741	IS1 transposase	100.0	
b1893	IS1 protein InsB	ECBD_3689	IS1 transposase	100.0	
b1893	IS1 protein InsB	ECBD_0928	IS1 transposase	100.0	
b1019	orf, hypothetical protein	ECBD_2575	Dyp-type peroxidase family	100.0	
b2949	orf, hypothetical protein	ECBD_0791	Holliday junction resolvase YqgF	100.0	
b3020	putative transport periplasmic protein	ECBD_0719	extracellular solute-binding protein family 5	100.0	
b4018	repressor of aceBA operon	ECBD_4019	transcriptional regulator, IclR family	100.0	
b2799	L-1,2-propanediol oxidoreductase	ECBD_0929	lactaldehyde reductase	100.0	
b1117	putative ATP-binding component of a transport system	ECBD_2484	lipoprotein releasing system, ATP-binding protein	100.0	
b2617	small membrane protein A	ECBD_1070	SmpA/OmlA domain protein	100.0	
b0927	orf, hypothetical protein	ECBD_2668	beta-lactamase domain protein	100.0	
b2042	homolog of Salmonella UTP--glucose-1-P uridyltransferase, probably a UDP-gal transferase	ECBD_1613	regulatory protein GalF	100.0	
b3565	D-xylose isomerase	ECBD_0169	xylose isomerase	100.0	
b1811	orf, hypothetical protein	ECBD_1831	conserved hypothetical protein	100.0	
b2762	3-phosphoadenosine 5-phosphosulfate reductase	ECBD_0967	phosphoadenosine phosphosulfate reductase	100.0	
b2203	cytochrome c-type protein	ECBD_1457	Nitrate reductase cytochrome c-type subunit (NapB)	100.0	
b3724	negative regulator for pho regulon and putative enzyme in phosphate metabolism	ECBD_4308	phosphate uptake regulator, PhoU	100.0	
b0639	orf, hypothetical protein	ECBD_3012	Nicotinate-nucleotide adenylyltransferase	100.0	
b0226	damage-inducible protein J	ECBD_3396	addiction module antitoxin, RelB/DinJ family	100.0	
b2490	putative protein processing element	ECBD_1198	formate hydrogenlyase maturation HycH	100.0	
b1957	orf, hypothetical protein	ECBD_1689	conserved hypothetical protein	100.0	
b0324	putative deaminase	ECBD_3333	Amidohydrolase 3	100.0	
b2718	processing of large subunit (HycE) of hydrogenase 3 (part of the FHL complex)	ECBD_1007	formate hydrogenlyase maturation HycH	100.0	
b2787	putative glucarate dehydratase	ECBD_0942	glucarate dehydratase	100.0	
b1347	orf, hypothetical protein	ECBD_2269	protein of unknown function DUF1187	100.0	
b0054	organic solvent tolerance	ECBD_3561	Organic solvent tolerance protein	100.0	
b3351	putative NAD(P)H oxidoreductase	ECBD_0397	NAD(P)H dehydrogenase (quinone)	100.0	
b3211	orf, hypothetical protein	ECBD_0531	conserved hypothetical protein	100.0	
b2464	transaldolase A	ECBD_1226	transaldolase	100.0	
b3321	30S ribosomal subunit protein S10	ECBD_0430	ribosomal protein S10	100.0	
b2743	L-isoaspartate protein carboxylmethyltransferase type II	ECBD_0981	protein-L-isoaspartate O-methyltransferase	100.0	
b2927	D-erythrose 4-phosphate dehydrogenase	ECBD_0811	D-erythrose-4-phosphate dehydrogenase	100.0	
b3203	probable sigma-54 modulation protein	ECBD_0539	sigma 54 modulation protein/ribosomal protein S30EA	100.0	
b1318	putative ATP-binding component of a transport system	ECBD_2299	ABC transporter related	100.0	
b0502	orf, hypothetical protein	ECBD_3155	conserved hypothetical protein	100.0	
b0995	response transcriptional regulator for torA (sensor TorS)	ECBD_2599	two component transcriptional regulator, winged helix family	100.0	
b3357	cyclic AMP receptor protein	ECBD_0391	transcriptional regulator, Crp/Fnr family	100.0	
b3385	phosphoglycolate phosphatase	ECBD_0362	phosphoglycolate phosphatase	100.0	
b0288	putative ferredoxin	ECBD_3369	protein of unknown function UPF0153	100.0	
b2994	probable large subunit, hydrogenase-2	ECBD_0744	Cytochrome-c3 hydrogenase	100.0	
b2434	orf, hypothetical protein	ECBD_1248	GCN5-related N-acetyltransferase	100.0	
b1257	orf, hypothetical protein	ECBD_2365	protein of unknown function DUF892	100.0	
b0382	orf, hypothetical protein	ECBD_3282	conserved hypothetical protein	100.0	
b1649	orf, hypothetical protein	ECBD_1994	transcriptional regulator, TetR family	100.0	
b3537	orf, hypothetical protein	ECBD_0202	cellulose biosynthesis protein BcsF	100.0	
b3850	protoporphyrin oxidase	ECBD_4175	Protoporphyrinogen oxidase	100.0	
b3319	50S ribosomal subunit protein L4, regulates expression of S10 operon	ECBD_0432	ribosomal protein L4/L1e	100.0	
b4035	ATP-binding component of transport system for maltose	ECBD_4000	ABC transporter related	100.0	
b4041	glycerol-3-phosphate acyltransferase	ECBD_3992	Glycerol-3-phosphate O-acyltransferase	100.0	
b4401	negative response regulator of genes in aerobic pathways, (sensors, ArcB and CpxA)	ECBD_3619	two component transcriptional regulator, winged helix family	100.0	
b1580	starvation sensing protein	ECBD_2066	Alcohol dehydrogenase GroES domain protein	100.0	
b1345	putative transposase	ECBD_2271	integrase family protein	100.0	
b0113	transcriptional regulator for pyruvate dehydrogenase complex	ECBD_3506	regulatory protein GntR HTH	100.0	
b2614	phage lambda replication; host DNA synthesis; heat shock protein; protein repair	ECBD_1073	GrpE protein	100.0	
b3484	putative receptor	ECBD_0256	transposase IS4 family protein	100.0	
b0901	orf, hypothetical protein	ECBD_2694	NAD(P)H dehydrogenase (quinone)	100.0	
b0921	S-adenosylmethionine-dependent methyltransferase	ECBD_2674	Methyltransferase type 11	100.0	
b2684	regulator of plasmid mcrB operon (microcin B17 synthesis)	ECBD_1036	transcriptional regulator, MarR family	100.0	
b2171	putative elongation factor	ECBD_1486	elongation factor P-like protein YeiP	100.0	
b1036	orf, hypothetical protein	ECBD_2563	protein of unknown function DUF1097	100.0	
b3507	orf, hypothetical protein	ECBD_0234	transcriptional regulator, LuxR family	100.0	
b0736	orf, hypothetical protein	ECBD_2924	tol-pal system-associated acyl-CoA thioesterase	100.0	
b1744	orf, hypothetical protein	ECBD_1901	succinylglutamate desuccinylase	100.0	
