Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
C6EID5	glcB ECBD_0763 ECD_02844	glcB		ECBD_0763 ECD_02844	C6EID5_ECOBD	Cytoplasm. 	Inferred from homology	Malate synthase family, GlcB subfamily	Malate synthase (EC 2.3.3.9) (Malate synthase G) (EC 2.3.3.9)	"GO:0008415; GO:0005737; GO:0006097; GO:0004474; GO:0006099"	"Acyltransferase; Complete proteome; Cytoplasm; Glyoxylate bypass; Transferase; Tricarboxylic acid cycle"	723	
C6EJI7	ECBD_2908 ECBD_3312			ECBD_2908 ECBD_3312	C6EJI7_ECOBD		Predicted		Transcriptional regulator, LacI family	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	363	
C6EIJ3	iciA ECBD_0822 ECD_02747	iciA		ECBD_0822 ECD_02747	C6EIJ3_ECOBD		Predicted		Chromosome replication initiation inhibitor protein (Transcriptional regulator, ArgP, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	297	
C6EK39	ECBD_2995 ECD_00624			ECBD_2995 ECD_00624	C6EK39_ECOBD		Predicted		40-residue YVTN family beta-propeller repeat protein (Putative uncharacterized protein)	GO:0016021	"Complete proteome; Signal"	625	
C6EA37	yagT ECBD_3371 ECD_00245	yagT		ECBD_3371 ECD_00245	C6EA37_ECOBD		Predicted		(2Fe-2S)-binding domain protein (Predicted xanthine dehydrogenase, 2Fe-2S subunit)	"GO:0051537; GO:0009055; GO:0046872; GO:0055114; GO:0016491"	"2Fe-2S; Complete proteome; Iron; Iron-sulfur; Metal-binding"	229	
C6ELS2	ykgG ECBD_3349 ECD_00264	ykgG		ECBD_3349 ECD_00264	C6ELS2_ECOBD		Predicted		Predicted transporter (Putative uncharacterized protein)	"GO:0030272; GO:0005524; GO:0009396"	Complete proteome	231	
C6EDU6	ydfH ECBD_2099 ECD_01499	ydfH		ECBD_2099 ECD_01499	C6EDU6_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, GntR family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	228	
C6EB80	cobS ECBD_1657 ECD_01901	cobS		ECBD_1657 ECD_01901	C6EB80_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	CobS family	Cobalamin synthase (EC 2.-.-.-)	"GO:0008818; GO:0009236; GO:0015420; GO:0005886"	"Cell inner membrane; Cell membrane; Cobalamin biosynthesis; Complete proteome; Membrane; Transferase; Transmembrane; Transmembrane helix"	247	
C6EEZ2	rhaS ECBD_4118 ECD_03791	rhaS		ECBD_4118 ECD_03791	C6EEZ2_ECOBD		Inferred from homology		DNA-binding transcriptional activator, L-rhamnose-binding (Transcriptional regulator, AraC family)	"GO:0005737; GO:0006355; GO:0019299; GO:0043565; GO:0003700; GO:0006350"	"Activator; Complete proteome; Cytoplasm; DNA-binding; Repeat; Rhamnose metabolism; Transcription; Transcription regulation"	278	
C6EC44	yeaJ ECBD_1858 ECD_01755	yeaJ		ECBD_1858 ECD_01755	C6EC44_ECOBD		Predicted		Diguanylate cyclase (Predicted diguanylate cyclase)	"GO:0009190; GO:0016849"	"Complete proteome; Signal"	496	
C6EA32	yagX ECBD_3366 ECD_00250	yagX		ECBD_3366 ECD_00250	C6EA32_ECOBD		Predicted		Predicted aromatic compound dioxygenase (Putative uncharacterized protein)	"GO:0004180; GO:0016702"	"Complete proteome; Dioxygenase; Oxidoreductase; Signal"	841	
C6EE47	udhA sthA ECBD_4062 ECD_03847	udhA	sthA	ECBD_4062 ECD_03847	C6EE47_ECOBD	Cytoplasm. 	Inferred from homology	Class-I pyridine nucleotide-disulfide oxidoreductase family	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	"GO:0050660; GO:0003957; GO:0045454; GO:0005737; GO:0055114"	"Complete proteome; Cytoplasm; FAD; Flavoprotein; NAD; NADP; Oxidoreductase"	466	
C6EC15	yoaE ECBD_1826 ECD_01786	yoaE		ECBD_1826 ECD_01786	C6EC15_ECOBD		Predicted		Fused predicted membrane protein/conserved protein (Integral membrane protein TerC)	"GO:0050660; GO:0003824; GO:0016021; GO:0055114"	Complete proteome	518	
C6EI75	serC ECBD_2688 ECD_00911	serC		ECBD_2688 ECD_00911	C6EI75_ECOBD	Cytoplasm. 	Inferred from homology	"Class-V pyridoxal-phosphate-dependent aminotransferase family; Class-V pyridoxal-phosphate-dependent aminotransferase family, SerC subfamily"	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase)	"GO:0006564; GO:0004648; GO:0030170"	"Amino-acid biosynthesis; Aminotransferase; Complete proteome; Cytoplasm; Pyridoxal phosphate; Pyridoxine biosynthesis; Serine biosynthesis; Transferase"	362	
C6EJZ5	yfiO ECBD_1089 ECD_02485	yfiO		ECBD_1089 ECD_02485	C6EJZ5_ECOBD		Predicted		Outer membrane assembly lipoprotein YfiO (Predicted lipoprotein)	GO:0005488	"Complete proteome; Lipoprotein; Signal"	245	
C6EIP9	yqeF ECBD_0878 ECD_02692	yqeF		ECBD_0878 ECD_02692	C6EIP9_ECOBD		Inferred from homology	Thiolase family	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	GO:0003985	"Acyltransferase; Complete proteome; Transferase"	393
C6EDJ0	ECBD_0126 ECD_03457			ECBD_0126 ECD_03457	C6EDJ0_ECOBD		Predicted		Putative cytoplasmic protein (Putative uncharacterized protein)		Complete proteome	69
C6EEW0	feaR ECBD_2239 ECD_01356	feaR		ECBD_2239 ECD_01356	C6EEW0_ECOBD		Predicted		DNA-binding transcriptional dual regulator (Transcriptional regulator, AraC family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	301
C6ELP1	cynT ECBD_3318 ECD_00293	cynT		ECBD_3318 ECD_00293	C6ELP1_ECOBD		Inferred from homology	Beta-class carbonic anhydrase family	Carbonic anhydrase (EC 4.2.1.1)	"GO:0015976; GO:0004089; GO:0008270"	"Complete proteome; Lyase; Zinc"	219
C6EF29	yihL ECBD_4155 ECD_03757	yihL		ECBD_4155 ECD_03757	C6EF29_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, GntR family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350; GO:0030528"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	236
C6EEF6	yhjJ ECBD_0212 ECD_03375	yhjJ		ECBD_0212 ECD_03375	C6EEF6_ECOBD		Inferred from homology	Peptidase M16 family	Peptidase M16 domain protein (Predicted zinc-dependent peptidase)	"GO:0004222; GO:0006508; GO:0008270"	"Complete proteome; Signal"	498
C6EB81	cobT ECBD_1658 ECD_01900	cobT		ECBD_1658 ECD_01900	C6EB81_ECOBD		Inferred from homology	CobT family	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase)	"GO:0009236; GO:0015420; GO:0008939; GO:0009163"	"Cobalamin biosynthesis; Complete proteome; Glycosyltransferase; Transferase"	359
C6E9V1	yfaY ECBD_1410 ECD_02175	yfaY		ECBD_1410 ECD_02175	C6E9V1_ECOBD		Inferred from homology	CinA family	CinA-like protein	GO:0006777	Complete proteome	400
C6EC09	yebN ECBD_1820 ECD_01791	yebN		ECBD_1820 ECD_01791	C6EC09_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	UPF0059 family	UPF0059 membrane protein yebN	"GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Signal; Transmembrane; Transmembrane helix"	188
C6EIM7	xdhD ECBD_0856 ECD_02714	xdhD		ECBD_0856 ECD_02714	C6EIM7_ECOBD		Predicted		Fused predicted xanthine/hypoxanthine oxidase: molybdopterin-binding subunit/Fe-S binding subunit (Selenate reductase, molybdenum-binding subunit) (EC 1.17.1.4)	"GO:0009055; GO:0051536; GO:0046872; GO:0055114; GO:0004854"	"Complete proteome; Oxidoreductase"	956
C6EIJ6	serA ECBD_0825 ECD_02744	serA		ECBD_0825 ECD_02744	C6EIJ6_ECOBD		Inferred from homology	D-isomer specific 2-hydroxyacid dehydrogenase family	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95) (D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding)	"GO:0051287; GO:0016597; GO:0055114; GO:0004617"	"Complete proteome; Oxidoreductase"	410
C6EHC9	rne ECBD_2516 ECD_01080	rne		ECBD_2516 ECD_01080	C6EHC9_ECOBD		Predicted		Fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein (EC 3.1.4.-) (Ribonuclease, Rne/Rng family)	"GO:0003723; GO:0006396; GO:0005737; GO:0004540"	"Complete proteome; Hydrolase"	1061
C6EAP1	udk ECBD_1589 ECD_01972	udk		ECBD_1589 ECD_01972	C6EAP1_ECOBD	Cytoplasm. 	Inferred from homology	Uridine kinase family	Uridine kinase (EC 2.7.1.48) (Cytidine monophosphokinase) (Uridine monophosphokinase)	"GO:0005524; GO:0016773; GO:0004849"	"ATP-binding; Complete proteome; Cytoplasm; Kinase; Nucleotide-binding; Transferase"	213
C6EC91	pepA ECBD_3776 ECD_04126	pepA		ECBD_3776 ECD_04126	C6EC91_ECOBD	Cytoplasm. 	Inferred from homology	Peptidase M17 family	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (Leucyl aminopeptidase)	"GO:0004177; GO:0005737; GO:0030145; GO:0008235; GO:0006508"	"Aminopeptidase; Complete proteome; Cytoplasm; Hydrolase; Manganese; Metal-binding; Protease"	503
C6EES9	ydcN ECBD_2205 ECD_01392	ydcN		ECBD_2205 ECD_01392	C6EES9_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, XRE family)	GO:0043565	"Complete proteome; DNA-binding"	178
C6EK94	ybdL ECBD_3053 ECD_00568	ybdL		ECBD_3053 ECD_00568	C6EK94_ECOBD		Predicted		Aminotransferase class I and II (Putative aminotransferase)	"GO:0009058; GO:0030170; GO:0008483"	"Aminotransferase; Complete proteome; Transferase"	386
C6EFI5	hofQ ECBD_0356 ECD_03243	hofQ		ECBD_0356 ECD_03243	C6EFI5_ECOBD	Cell outer membrane. 	Inferred from homology	GSP D family	Predicted fimbrial transporter (Type IV pilus secretin PilQ)	"GO:0009279; GO:0009297; GO:0009306; GO:0008565"	"Complete proteome; Signal; Transport"	412
C6EG36	ppiC ECBD_4264 ECD_03653	ppiC		ECBD_4264 ECD_03653	C6EG36_ECOBD		Predicted		Peptidyl-prolyl cis-trans isomerase C (Rotamase C) (EC 5.2.1.8) (PpiC-type peptidyl-prolyl cis-trans isomerase)	"GO:0003755; GO:0006457"	"Complete proteome; Isomerase; Rotamase"	93
C6EL87	ypdB ECBD_1291 ECD_02291	ypdB		ECBD_1291 ECD_02291	C6EL87_ECOBD		Predicted		Predicted response regulator in two-component system withYpdA (Two component transcriptional regulator, LytTR family)	"GO:0006355; GO:0000156; GO:0000160"	Complete proteome	244
C6EAG6	yeiT ECBD_1512 ECD_02075	yeiT		ECBD_1512 ECD_02075	C6EAG6_ECOBD		Predicted		FAD-dependent pyridine nucleotide-disulphide oxidoreductase (Predicted oxidoreductase)	"GO:0050660; GO:0051536; GO:0055114; GO:0016491"	"Complete proteome; FAD; Flavoprotein; Oxidoreductase"	412
C6EB63	hisB ECBD_1637 ECD_01924	hisB		ECBD_1637 ECD_01924	C6EB63_ECOBD		Inferred from homology		Histidinol-phosphatase (EC 3.1.3.15) (Imidazole glycerol-phosphate dehydratase/histidinol phosphatase) (EC 3.1.3.15) (EC 4.2.1.19)	"GO:0005737; GO:0000105; GO:0004401; GO:0004424"	"Complete proteome; Hydrolase; Lyase"	355
C6EJK8	farR ECBD_2931 ECD_00689	farR		ECBD_2931 ECD_00689	C6EJK8_ECOBD		Predicted		DNA-binding transcriptional dual regulator, fatty-acyl-binding (Transcriptional regulator, GntR family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350; GO:0030528"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	240
C6EC00	htpX ECBD_1811 ECD_01800	htpX		ECBD_1811 ECD_01800	C6EC00_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	Peptidase M48B family	Protease HtpX (EC 3.4.24.-) (Heat shock protein HtpX)	"GO:0016021; GO:0046872; GO:0004222; GO:0006508; GO:0006950"	"Cell inner membrane; Cell membrane; Complete proteome; Hydrolase; Membrane; Metal-binding; Metalloprotease; Protease; Signal; Stress response; Transmembrane; Transmembrane helix; Zinc"	293
C6EI71	rpsA ECBD_2684 ECD_00915	rpsA		ECBD_2684 ECD_00915	C6EI71_ECOBD		Predicted		30S ribosomal protein S1 (Ribosomal protein S1)	"GO:0003723; GO:0005840; GO:0003735; GO:0006412"	"Complete proteome; Ribonucleoprotein; Ribosomal protein"	557
C6EK07	yfiD grcA ECBD_1101 ECD_02473	yfiD	grcA	ECBD_1101 ECD_02473	C6EK07_ECOBD		Inferred from homology		Autonomous glycyl radical cofactor	"GO:0016829; GO:0016740"	"Acetylation; Complete proteome; Lyase; Organic radical; Pyruvate; Transferase"	127
C6EBG1	talB ECBD_3610 ECD_00008	talB		ECBD_3610 ECD_00008	C6EBG1_ECOBD		Inferred from homology	Transaldolase family, Type 1 subfamily	Transaldolase (EC 2.2.1.2)	"GO:0005737; GO:0006098; GO:0004801"	"Complete proteome; Pentose shunt; Transferase"	317
C6ELD3	pdxB ECBD_1339 ECD_02245	pdxB		ECBD_1339 ECD_02245	C6ELD3_ECOBD	Cytoplasm. 	Inferred from homology	D-isomer specific 2-hydroxyacid dehydrogenase family, PdxB subfamily	Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)	"GO:0033711; GO:0051287; GO:0005737; GO:0055114; GO:0008615"	"Complete proteome; Cytoplasm; NAD; Oxidoreductase; Pyridoxine biosynthesis"	378
C6EJ28	ygeA ECBD_0884 ECD_02688	ygeA		ECBD_0884 ECD_02688	C6EJ28_ECOBD		Predicted		Aspartate racemase (Predicted racemase)	"GO:0006520; GO:0016855"	Complete proteome	230
C6ECF3	sgaH ECBD_3838 ECD_04063	sgaH		ECBD_3838 ECD_04063	C6ECF3_ECOBD		Predicted		3-dehydro-L-gulonate-6-phosphate decarboxylase (EC 4.1.1.85) (3-keto-L-gulonate 6-phosphate decarboxylase) (EC 4.1.2.-)	"GO:0006207; GO:0033982; GO:0004590"	"Complete proteome; Lyase"	216
C6EBS6	yjhS ECBD_3728 ECD_04176	yjhS		ECBD_3728 ECD_04176	C6EBS6_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein yjhS)		Complete proteome	326
C6EBL5	hpaR ECBD_3665 ECD_04231	hpaR		ECBD_3665 ECD_04231	C6EBL5_ECOBD		Predicted		Homoprotocatechuate degradative operon repressor (Transcriptional regulator, MarR family)	"GO:0003677; GO:0005622; GO:0010124; GO:0006355; GO:0003700; GO:0006350; GO:0016564"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	148
C6EKR6	yffI ECBD_1244 ECD_02338	yffI		ECBD_1244 ECD_02338	C6EKR6_ECOBD		Predicted		Microcompartments protein (Predicted carboxysome structural protein with predicted role in ethanolamine utilization)		Complete proteome	166
C6ELF7	ackA ECBD_1363 ECD_02221	ackA		ECBD_1363 ECD_02221	C6ELF7_ECOBD	Cytoplasm. 	Inferred from homology	Acetokinase family	Acetate kinase (EC 2.7.2.1) (Acetokinase)	"GO:0005524; GO:0005737; GO:0016301; GO:0006082; GO:0016774"	"ATP-binding; Complete proteome; Cytoplasm; Kinase; Nucleotide-binding; Transferase"	400
C6EGN9	narG ECBD_2394 ECD_01202	narG		ECBD_2394 ECD_01202	C6EGN9_ECOBD		Predicted		Nitrate reductase 1, alpha subunit (EC 1.7.99.4) (Nitrate reductase, alpha subunit)	"GO:0009055; GO:0030151; GO:0042126; GO:0008940; GO:0009325; GO:0055114"	"Complete proteome; Iron; Iron-sulfur; Metal-binding; Molybdenum; Oxidoreductase"	1247
C6EBG3	yaaA ECBD_3612 ECD_00006	yaaA		ECBD_3612 ECD_00006	C6EBG3_ECOBD		Inferred from homology	UPF0246 family	UPF0246 protein yaaA		Complete proteome	258
C6EAK6	thiM ECBD_1553 ECD_02032	thiM		ECBD_1553 ECD_02032	C6EAK6_ECOBD		Inferred from homology	Thz kinase family	Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase)	"GO:0005524; GO:0004417; GO:0046872; GO:0009228"	"ATP-binding; Complete proteome; Kinase; Magnesium; Metal-binding; Nucleotide-binding; Thiamine biosynthesis; Transferase"	262
C6EAL5	gatZ ECBD_1562 ECD_02021	gatZ		ECBD_1562 ECD_02021	C6EAL5_ECOBD		Predicted		D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit (Putative tagatose 6-phosphate kinase 1)	"GO:0019402; GO:0009024"	"Complete proteome; Kinase; Transferase"	420
C6ED62	soxS ECBD_3970 ECD_03934	soxS		ECBD_3970 ECD_03934	C6ED62_ECOBD		Predicted		DNA-binding transcriptional dual regulator (Transcriptional regulator, AraC family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	107
C6EK37	ybeX ECBD_2993 ECD_00626	ybeX		ECBD_2993 ECD_00626	C6EK37_ECOBD		Predicted		Predicted ion transport (Transporter-associated region)	"GO:0050660; GO:0003824; GO:0055114"	Complete proteome	292
C6EH96	agaR ECBD_0611 ECD_02996	agaR		ECBD_0611 ECD_02996	C6EH96_ECOBD		Predicted		DNA-binding transcriptional dual regulator (Transcriptional regulator, DeoR family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	269
C6EIL7	prfB ECBD_0846 ECD_02723	prfB		ECBD_0846 ECD_02723	C6EIL7_ECOBD	Cytoplasm. 	Inferred from homology	Prokaryotic/mitochondrial release factor family	Peptide chain release factor 2 (RF-2)	"GO:0005737; GO:0016149"	"Complete proteome; Cytoplasm; Protein biosynthesis"	365
C6EAB5	tsf ECBD_3449 ECD_00168	tsf		ECBD_3449 ECD_00168	C6EAB5_ECOBD	Cytoplasm. 	Inferred from homology	EF-Ts family	Elongation factor Ts (EF-Ts)	"GO:0005737; GO:0003746"	"Complete proteome; Cytoplasm; Elongation factor; Protein biosynthesis"	283
C6EDZ9	pgi ECBD_4012 ECD_03897	pgi		ECBD_4012 ECD_03897	C6EDZ9_ECOBD	Cytoplasm. 	Inferred from homology	GPI family	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (Phosphohexose isomerase)	"GO:0005737; GO:0006094; GO:0004347; GO:0006096"	"Acetylation; Complete proteome; Cytoplasm; Gluconeogenesis; Glycolysis; Isomerase"	549
C6ECR2	ydiO ECBD_1951 ECD_01664	ydiO		ECBD_1951 ECD_01664	C6ECR2_ECOBD		Inferred from homology	Acyl-CoA dehydrogenase family	Acyl-CoA dehydrogenase domain protein (Predicted acyl-CoA dehydrogenase)	"GO:0050660; GO:0003995; GO:0055114"	"Complete proteome; FAD; Flavoprotein; Oxidoreductase"	383
C6ECH0	rnr ECBD_3855 ECD_04046	rnr		ECBD_3855 ECD_04046	C6ECH0_ECOBD		Inferred from homology	Ribonuclease II (RNB) family	Exoribonuclease R, RNase R (EC 3.1.-.-) (VacB and RNase II family 3'-5' exoribonuclease) (EC 3.1.13.1)	"GO:0003723; GO:0016070; GO:0008859"	"Complete proteome; Exonuclease; Hydrolase; Nuclease; RNA-binding"	813
C6EIY5	rhlE ECBD_2826 ECD_00764	rhlE		ECBD_2826 ECD_00764	C6EIY5_ECOBD		Inferred from homology	DEAD box helicase family	DEAD/DEAH box helicase domain protein (RNA helicase)	"GO:0005524; GO:0008026; GO:0003676"	"ATP-binding; Complete proteome; Helicase; Hydrolase; Nucleotide-binding"	454
C6EH02	rpsI ECBD_0517 ECD_03090	rpsI		ECBD_0517 ECD_03090	C6EH02_ECOBD		Inferred from homology	Ribosomal protein S9P family	30S ribosomal protein S9	"GO:0005840; GO:0003735; GO:0006412"	"Complete proteome; Ribonucleoprotein; Ribosomal protein"	130
C6EH25	rpoN ECBD_0540 ECD_03067	rpoN		ECBD_0540 ECD_03067	C6EH25_ECOBD		Predicted		DNA-directed RNA polymerase subunit N (RNA polymerase, sigma 54 subunit, RpoN)	"GO:0003677; GO:0003899; GO:0006355; GO:0003700; GO:0016987; GO:0006352"	"Complete proteome; DNA-directed RNA polymerase; Transcription"	477
C6EF33	glnG ECBD_4159 ECD_03753	glnG		ECBD_4159 ECD_03753	C6EF33_ECOBD		Predicted		Fused DNA-binding response regulator in two-component regulatory system with GlnL: response regulator/sigma54 interaction protein (Nitrogen metabolism transcriptional regulator, NtrC, Fis Family)	"GO:0005524; GO:0003677; GO:0050906; GO:0005622; GO:0009399; GO:0017111; GO:0006355; GO:0003700; GO:0006350; GO:0008134; GO:0000156; GO:0000160"	"ATP-binding; Complete proteome; DNA-binding; Nucleotide-binding; Transcription; Transcription regulation"	469
C6EBI8	deoB ECBD_3637 ECD_04259	deoB		ECBD_3637 ECD_04259	C6EBI8_ECOBD	Cytoplasm. 	Inferred from homology	Phosphopentomutase family	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	"GO:0043094; GO:0005737; GO:0000287; GO:0009117; GO:0008973"	"Acetylation; Complete proteome; Cytoplasm; Isomerase; Manganese; Metal-binding"	407
C6EDD8	recG ECBD_0073 ECD_03509	recG		ECBD_0073 ECD_03509	C6EDD8_ECOBD		Predicted		ATP-dependent DNA helicase (EC 3.6.1.-) (ATP-dependent DNA helicase RecG)	"GO:0005524; GO:0004003; GO:0006310; GO:0006281; GO:0003676"	"ATP-binding; Complete proteome; Helicase; Hydrolase; Nucleotide-binding"	693
C6EDP4	ydgH ECBD_2042 ECD_01573	ydgH		ECBD_2042 ECD_01573	C6EDP4_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein ydgH)		"Complete proteome; Signal"	314
C6ECF8	yjfQ ECBD_3843 ECD_04058	yjfQ		ECBD_3843 ECD_04058	C6ECF8_ECOBD		Predicted		DNA-binding transcriptional dual regulator (Transcriptional regulator, DeoR family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	251
C6EIK4	gcvH ECBD_0833 ECD_02736	gcvH		ECBD_0833 ECD_02736	C6EIK4_ECOBD		Inferred from homology	GcvH family	Glycine cleavage system H protein	"GO:0005960; GO:0019464; GO:0005739"	"Complete proteome; Lipoyl"	129
C6EI03	yghU ECBD_0749 ECD_02865	yghU		ECBD_0749 ECD_02865	C6EI03_ECOBD		Predicted	GST superfamily	Glutathione S-transferase domain protein (Predicted S-transferase)	GO:0016740	"Complete proteome; Transferase"	288
C6EC84	idnD ECBD_3769 ECD_04133	idnD		ECBD_3769 ECD_04133	C6EC84_ECOBD		Predicted		Alcohol dehydrogenase zinc-binding domain protein (L-idonate 5-dehydrogenase, NAD-binding) (EC 1.1.1.-)	"GO:0055114; GO:0016491; GO:0008270"	"Complete proteome; Oxidoreductase"	343
C6ED34	rpiR ECBD_3941 ECD_03961	rpiR		ECBD_3941 ECD_03961	C6ED34_ECOBD		Predicted		DNA-binding transcriptional repressor (Transcriptional regulator, RpiR family)	"GO:0003677; GO:0005975; GO:0006355; GO:0003700; GO:0005529"	"Complete proteome; DNA-binding"	296
C6EC51	yeaA msrB ECBD_1866 ECD_01747	yeaA	msrB	ECBD_1866 ECD_01747	C6EC51_ECOBD		Inferred from homology	MsrB Met sulfoxide reductase family	Peptide methionine sulfoxide reductase msrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	"GO:0046872; GO:0055114; GO:0033743; GO:0008113"	"Complete proteome; Metal-binding; Oxidoreductase; Zinc"	137
C6EJY6	rplS ECBD_1080 ECD_02495	rplS		ECBD_1080 ECD_02495	C6EJY6_ECOBD		Inferred from homology	Ribosomal protein L19P family	50S ribosomal protein L19	"GO:0005840; GO:0003735; GO:0006412"	"Complete proteome; Ribonucleoprotein; Ribosomal protein"	115
C6EHN6	yhaK ECBD_0632 ECD_02975	yhaK		ECBD_0632 ECD_02975	C6EHN6_ECOBD		Inferred from homology	Pirin family	Pirin domain protein (Predicted pirin-related protein)		Complete proteome	233
C6EJ49	recB ECBD_0905 ECD_02668	recB		ECBD_0905 ECD_02668	C6EJ49_ECOBD		Predicted		Exodeoxyribonuclease V, beta subunit (EC 3.1.11.5) (Exonuclease V (RecBCD complex), beta subunit) (EC 3.1.11.5)	"GO:0005524; GO:0004003; GO:0003677; GO:0006281; GO:0008854"	"ATP-binding; Complete proteome; Exonuclease; Helicase; Hydrolase; Nuclease; Nucleotide-binding"	1180
C6EB27	ileS ECBD_3590 ECD_00030	ileS		ECBD_3590 ECD_00030	C6EB27_ECOBD	Cytoplasm. 	Inferred from homology	"Class-I aminoacyl-tRNA synthetase family; Class-I aminoacyl-tRNA synthetase family, IleS type 1 subfamily"	Isoleucyl-tRNA synthetase (EC 6.1.1.5) (Isoleucine--tRNA ligase)	"GO:0005524; GO:0005737; GO:0004822; GO:0006428; GO:0008270"	"ATP-binding; Acetylation; Aminoacyl-tRNA synthetase; Complete proteome; Cytoplasm; Ligase; Metal-binding; Nucleotide-binding; Protein biosynthesis; Zinc"	938
C6EGR9	dhaM ECBD_2424 ECD_01173	dhaM		ECBD_2424 ECD_01173	C6EGR9_ECOBD		Predicted		Dihydroxyacetone kinase, phosphotransfer subunit (Fused predicted dihydroxyacetone-specific PTS enzymes: HPr component/EI component)	"GO:0005737; GO:0016021; GO:0016301; GO:0009401; GO:0008965; GO:0005351"	"Complete proteome; Kinase; Phosphotransferase system; Transferase"	472
C6E9U2	yfbW ECBD_1401 ECD_02184	yfbW		ECBD_1401 ECD_02184	C6E9U2_ECOBD		Inferred from homology		Putative uncharacterized protein yfbW (Small multidrug resistance protein)	GO:0016020	"Cell membrane; Complete proteome; Membrane; Signal"	111
C6EGP3	narL ECBD_2398 ECD_01199	narL		ECBD_2398 ECD_01199	C6EGP3_ECOBD		Predicted		DNA-binding response regulator in two-component regulatory system with NarX (Or NarQ) (Two component transcriptional regulator, LuxR family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350; GO:0000156; GO:0000160"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	216
C6ELJ7	aroM ECBD_3274 ECD_00337	aroM		ECBD_3274 ECD_00337	C6ELJ7_ECOBD		Predicted		AroM family protein (Putative uncharacterized protein aroM)		Complete proteome	225
C6EK61	dacA ECBD_3019 ECD_00601	dacA		ECBD_3019 ECD_00601	C6EK61_ECOBD		Inferred from homology	Peptidase S11 family	Beta-lactamase (EC 3.5.2.6) (D-alanyl-D-alanine carboxypeptidase (Penicillin-binding protein 5)) (EC 3.4.16.4)	"GO:0008800; GO:0006508; GO:0009002"	"Carboxypeptidase; Complete proteome; Hydrolase; Protease; Signal"	403
